Model,HO_Total,HO_Range,HO_LB,HO_Overload,HO_Failed,AvgQoSMean,AvgQoSStd,MinQoSMean,MinQoSStd,AvgQoS_Load,AvgQoS_Range,GiniMean,GiniStd,EvalSum,EvalProd
ARHC-Oracle,5410,3565,1845,0,0,0.9734711138069585,0.02472147280730374,0.6855106320912961,0.16383003144835723,0.9997322337656258,0.9737054886572771,0.1741336503415932,0.0859508475635655,3.9881474214669597,0.9881831716932253
ARHC-01s,5417,3568,1849,0,0,0.9734711138069585,0.02472147280730374,0.6855106320912961,0.16383003144835723,0.9997322337656258,0.9737054886572771,0.1741472460841694,0.08601746224908399,3.986786199560114,0.9868291654128674
ARHC-02s,5417,3600,1817,0,0,0.9734711138069585,0.02472147280730374,0.6855106320912961,0.16383003144835723,0.9997322337656258,0.9737054886572771,0.17475784885656395,0.08586437727958886,3.983292478926702,0.9833811908113061
ARHC-03s,5420,3620,1800,0,0,0.9734711138069585,0.02472147280730374,0.6855106320912961,0.16383003144835723,0.9997322337656258,0.9737054886572771,0.17539063855179665,0.08547827624907131,3.9791485705667125,0.979290918955632
ARHC-04s,5432,3643,1789,0,0,0.9734711138069585,0.02472147280730374,0.6855106320912961,0.16383003144835723,0.9997322337656258,0.9737054886572771,0.17576999653560565,0.08539436497281525,3.974816207987686,0.9750186381687983
ARHC-05s,5424,3665,1759,0,0,0.9734711138069585,0.02472147280730374,0.6855106320912961,0.16383003144835723,0.9997322337656258,0.9737054886572771,0.17661052876425143,0.08491014981411507,3.9715599073930696,0.9718095250256887
ARHC-10s,5470,3785,1685,0,0,0.9734711138069585,0.02472147280730374,0.6855106320912961,0.16383003144835723,0.9997322337656258,0.9737054886572771,0.17892899920879946,0.08448974052992782,3.950455257229154,0.9511507701659608
ARHC-15s,5540,3879,1661,0,0,0.9734711138069585,0.02472147280730374,0.6855106320912961,0.16383003144835723,0.9997322337656258,0.9737054886572771,0.18117854668988856,0.08330982597599626,3.9259628187070326,0.9274721694517966
ARHC-20s,5649,3962,1687,0,0,0.9734711138069585,0.02472147280730374,0.6855106320912961,0.16383003144835723,0.9997322337656258,0.9737054886572771,0.18396244547768356,0.0828238533959442,3.89270795395253,0.895811584048024
ARHC-25s,5691,4046,1641,4,0,0.9734711138069585,0.02472147280730374,0.6855106320912961,0.16383003144835723,0.9997322337656258,0.9737054886572771,0.18637879491723658,0.08282917038121435,3.8734177235141902,0.8776721912458169
ARHC-30s,5640,4100,1537,3,0,0.9734711138069585,0.02472147280730374,0.6855106320912961,0.16383003144835723,0.9997322337656258,0.9737054886572771,0.18825335327109122,0.08213221433206518,3.8726499945338304,0.8767900208198142
EarliestHO,5392,5392,0,0,0,0.9726744118447102,0.025608821427077207,0.6852713650978458,0.16370148442717292,0.9989305963236783,0.9737054886572771,0.27447434040876245,0.08186546776473388,3.624722658447106,0.6282877629434058
LatestHO,5372,5372,0,0,0,0.9732871295345548,0.02565790620446594,0.6853984491932752,0.1640092104416901,0.9995200545126705,0.9737054886572771,0.22579003873456757,0.09109264592813411,3.766038970202047,0.7672262878064269
NearestRSU,5743,5743,0,0,0,0.9738791033271382,0.025313073658320886,0.6885468597178399,0.16685731939134027,0.9993210938953788,0.9745116322561208,0.264542262725783,0.08579894993754186,3.5936447250878594,0.6157222220183068
