Model,HO_Total,HO_Range,HO_LB,HO_Overload,HO_Failed,AvgQoSMean,AvgQoSStd,MinQoSMean,MinQoSStd,AvgQoS_Load,AvgQoS_Range,GiniMean,GiniStd,EvalSum,EvalProd
ARHC-Oracle,5498,3475,1682,341,0,0.9118150059664111,0.09143984232885533,0.6309782013370362,0.18109019115123373,0.9349011821247875,0.9737054886572771,0.17172657777529657,0.08758864934874268,3.9770825754819934,0.9770825754819934
ARHC-01s,5538,3477,1700,361,0,0.9118128476045697,0.09143894559689289,0.6309745106983112,0.18109084797044966,0.9348988955806784,0.9737054886572771,0.1718999001571,0.08759339942551736,3.9690087886465966,0.969039265736221
ARHC-02s,5556,3504,1664,388,0,0.9118028802793644,0.09143626977590943,0.6309612017994426,0.18109835117224635,0.9348883461592061,0.9737054886572771,0.17252753688270642,0.08722567349044913,3.9621999093191933,0.9623551702359526
ARHC-03s,5564,3512,1660,392,0,0.9118009598733136,0.0914351291814478,0.6309615364503316,0.18109836079217975,0.934886427648984,0.9737054886572771,0.17316761851769202,0.08687538653323267,3.9571289832569763,0.9574179224000742
ARHC-04s,5596,3532,1653,411,0,0.911784737849651,0.09143152623265889,0.6309360330644443,0.18110607776343127,0.93486928519527,0.9737054886572771,0.17345351238589246,0.08680363311525058,3.9499152014252736,0.9503186953364701
ARHC-05s,5603,3552,1634,417,0,0.9117737141303002,0.09142476368742107,0.6309249008242783,0.18109913776075545,0.9348580178403478,0.9737054886572771,0.17424666305736033,0.0863436361197154,3.944179581929144,0.9447830033452799
ARHC-10s,5751,3692,1541,518,7,0.9116254120717804,0.09137358892588163,0.6307187206935162,0.18111527061266408,0.9346991355881864,0.9737054886572771,0.17691547270695118,0.08541011054204761,3.904149454759704,0.9061401795672427
ARHC-15s,5893,3772,1492,629,17,0.911541188036012,0.09135649055772584,0.6305933129248704,0.18109940401911934,0.9346106617109374,0.9737054886572771,0.17950150421237607,0.08399242793508588,3.867365744888432,0.871311714317888
ARHC-20s,6005,3892,1389,724,119,0.9112807933629538,0.09130959479889082,0.6302716462562877,0.18110046526836462,0.9343343889307055,0.9737054886572771,0.18251728678622772,0.08339983654308561,3.8337606153235693,0.8402633079864409
ARHC-25s,6056,3961,1375,720,89,0.9111177717766474,0.091343892716294,0.6300996465205213,0.18119906495138044,0.9341562753504847,0.9737054886572771,0.18443686949003452,0.08341201131028884,3.8159830749860464,0.8241429984573244
ARHC-30s,6021,4005,1268,748,151,0.9107812970379695,0.09129593485405214,0.6296680902246975,0.18113488940271744,0.9338025289217288,0.9737054886572771,0.18649540730212819,0.08236491542923917,3.809809211358598,0.8189199451806861
EarliestHO,5392,5392,0,0,0,0.8667794683881763,0.11245330095564575,0.6034552689179116,0.17716269985328495,0.8895956734037844,0.9737054886572771,0.27447434040876245,0.08186546776473388,3.5289364622930353,0.5667016716907793
LatestHO,5372,5372,0,0,0,0.895020207620325,0.1026379543121325,0.6151257974021431,0.1868137869871183,0.9170189442106791,0.9737054886572771,0.22579003873456757,0.09109264592813411,3.717016075659901,0.7277939282400541
NearestRSU,5743,5743,0,0,0,0.8791069958648038,0.11020085913766117,0.6104885607211458,0.18666230405188486,0.9007149643403811,0.9745116322561208,0.264542262725783,0.08579894993754186,3.516201574601694,0.5664190024621273
