Model,HO_Total,HO_Range,HO_LB,HO_Overload,HO_Failed,AvgQoSMean,AvgQoSStd,MinQoSMean,MinQoSStd,AvgQoS_Load,AvgQoS_Range,GiniMean,GiniStd,EvalSum,EvalProd
ARHC-Oracle,7228,3715,3513,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.12287578145292635,0.052432767513497486,3.9559286316509388,0.9560242876565941
ARHC-01s,7241,3691,3550,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.1225944684960108,0.05286267336443598,3.956497721309211,0.9564977213092114
ARHC-02s,7243,3765,3478,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.1253861939509006,0.0528618672963389,3.933968590132781,0.9349430495651275
ARHC-03s,7254,3845,3409,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.1285343250345198,0.05307804605753252,3.9085713474342363,0.910660899163329
ARHC-04s,7266,3886,3380,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.1307077366561791,0.05336430283106705,3.8911348881193373,0.8940394327865094
ARHC-05s,7317,3947,3370,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.13342729855641808,0.053624863671543364,3.865373790582901,0.8697123039457493
ARHC-10s,7560,4174,3386,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.14755448974268956,0.05749171163400156,3.746979573790435,0.7611655747359481
ARHC-15s,7898,4313,3585,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.1570183695488267,0.059365758645568506,3.657696003559937,0.6846770479754832
ARHC-20s,8376,4481,3895,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.1682896598089884,0.06615259793620712,3.5553593130860617,0.6023643503141811
ARHC-25s,8420,4505,3915,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.17407352113848112,0.06490740292903906,3.5268336533455193,0.5793067069055466
ARHC-30s,8007,4682,3325,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.18271187054576027,0.0684022576723541,3.535964689288551,0.5803857890139515
EarliestHO,10466,10466,0,0,0,0.999998935322349,7.825923919076191e-05,0.9999983269351198,0.0001229788044426258,0.999998935322349,1.0,0.2404542762352919,0.080367825949591,3.171604399249604,0.3373952296936603
LatestHO,6926,6926,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.27428058138886885,0.09105825596084619,3.4469673641321297,0.4469673641321298
NearestRSU,7874,7874,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.2635443180817145,0.09173434551781434,3.3447796711313686,0.40917048082100416
