Model,HO_Total,HO_Range,HO_LB,HO_Overload,HO_Failed,AvgQoSMean,AvgQoSStd,MinQoSMean,MinQoSStd,AvgQoS_Load,AvgQoS_Range,GiniMean,GiniStd,EvalSum,EvalProd
DefaultShare01,7926,3322,4013,591,0,0.9950759893462819,0.017323116381088605,0.9514571635315574,0.13340722631079902,0.9962008704047622,0.9988620887196633,0.10901121627438534,0.05733848068063704,3.8727175334395536,0.8728582628607803
DefaultShare02,8001,3429,3947,625,0,0.9949498133078083,0.017912107230726917,0.9525196242974123,0.13199053055984972,0.9960844094615684,0.9988521598454585,0.11276338471270761,0.05686281508478051,3.8322402886859663,0.8367317074517837
DefaultShare03,8046,3492,3914,640,0,0.9950412550693029,0.017327890757233396,0.951282675846668,0.13114753580367214,0.9961594125256616,0.9988684566551241,0.11617039096897214,0.05658716217366007,3.7978403839465247,0.8066751697876258
DefaultShare04,8190,3529,3991,670,0,0.9948509265406936,0.017571931239986828,0.9485508548014572,0.13391695308167068,0.9960485227550724,0.998789462136909,0.11858081044084223,0.056473464598774066,3.7605716325976024,0.7740050707954499
DefaultShare05,8317,3604,4039,674,3,0.994584626454731,0.01796538545210634,0.9404705143569025,0.14808100320410408,0.9960669591636844,0.9985030927760621,0.12180423782313667,0.05621628860722797,3.71457931306845,0.7354977006860208
DefaultShare10,9200,3830,4534,836,37,0.9941525349803777,0.018463632438630802,0.9363634955847471,0.15104898447222675,0.9957259697203026,0.9984111342513533,0.13599149424435822,0.05790003547051063,3.5365397924906117,0.5926815647622107
DefaultShare15,9706,3946,4799,961,143,0.9934087321195052,0.019922721937817106,0.9232926446140163,0.16734277206587064,0.9953651420162772,0.9980236434148703,0.1462738456354076,0.060159472611079255,3.4264741872031617,0.5146167004312943
DefaultShare20,10823,4084,5620,1119,345,0.9930643049987435,0.019524568594310555,0.9062985248565804,0.18483865710028263,0.9955042938404763,0.9975417884362596,0.15834778169605052,0.06340005376668591,3.277815818362485,0.4183237250615927
DefaultShare25,10988,4131,5724,1133,587,0.992454689966932,0.019610901183223683,0.8917311410653107,0.20081917848794928,0.9954014728221258,0.9970354828272557,0.16307369410161512,0.06351834188151383,3.232349345739285,0.39342826260703456
DefaultShare30,10818,4291,5215,1312,1008,0.9916782507029948,0.0208727711852391,0.8818095148421108,0.21183170787799824,0.9950951412726106,0.9965619032489191,0.16817998150677196,0.0646234146562159,3.210761767800755,0.3828668674464942
EarliestHO,10481,10481,0,0,0,0.9710314472717491,0.05742519466887948,0.942107787396749,0.10922570750384573,0.9710314472717491,1.0,0.24075904607682305,0.08020857760298723,3.078501840129701,0.2887832815188997
LatestHO,6926,6926,0,0,0,0.9580672284131998,0.06358017268096094,0.9197670592703966,0.11613959008404896,0.9580672284131998,1.0,0.2742806857296639,0.09105828735387236,3.32586693162955,0.3695044016140282
NearestRSU,7874,7874,0,0,0,0.964267110928579,0.05909558017280878,0.9311482034636779,0.10878672396979938,0.964267110928579,1.0,0.2635444187369469,0.09173438038595452,3.2398407801744034,0.34465963479066386
