Model,HO_Total,HO_Range,HO_LB,HO_Overload,HO_Failed,AvgQoSMean,AvgQoSStd,MinQoSMean,MinQoSStd,AvgQoS_Load,AvgQoS_Range,GiniMean,GiniStd,EvalSum,EvalProd
ARHC-Oracle,11474,4427,6642,405,0,0.9999978756622501,0.00012333100914178516,0.9999857117097205,0.0008135532744290518,0.9999978756622501,1.0,0.08424837450663701,0.033047826988420195,3.708558480041834,0.7085584800418337
ARHC-01s,13847,4012,9349,486,24,0.9999788481575684,0.0006054173521745783,0.9998720142706853,0.003576480038096532,0.9999788481575684,1.0,0.08752486240791205,0.03477164165126946,3.549563120659843,0.5650765717382982
ARHC-02s,15394,4032,10747,615,99,0.9999908228100618,0.00025204927565108167,0.9999384948717026,0.0017278999552965784,0.9999908228100618,1.0,0.0948013979005498,0.03634871662745236,3.416756400923669,0.4693126738653221
ARHC-03s,16836,4017,12122,697,183,0.999957274720345,0.0008400518291921403,0.9997495658581594,0.0047915549994285,0.999957274720345,1.0,0.10123891157897044,0.03793576348770835,3.3147908956679712,0.40174038169254106
ARHC-04s,19222,4059,14405,758,181,0.9999538925500356,0.0008398079161835418,0.9997210748712141,0.0049535367193594285,0.9999538925500356,1.0,0.10728468986491387,0.04006651012794564,3.2079228748212745,0.33203334730008743
ARHC-05s,21128,4003,16222,903,517,0.9999262896122196,0.001122161927898522,0.9995902778951956,0.006056299388894167,0.9999262896122196,1.0,0.11541345977851773,0.0443041400142105,3.114300497218164,0.2807594388934024
ARHC-10s,30641,4071,25290,1280,3083,0.9997402700030241,0.002301539002149557,0.9986050176952994,0.01206618106675979,0.9997402700030241,1.0,0.14223944942887878,0.051664771153153204,2.8559920847254476,0.1568979020267041
ARHC-15s,39664,4092,33851,1721,7769,0.9996053030298562,0.0028161105557912435,0.9979460912648325,0.014051944269608036,0.9996053030298562,1.0,0.16808990093929443,0.06023975002012679,2.703749749503217,0.10248415063205224
ARHC-20s,50332,4106,43567,2659,27776,0.9986413737824549,0.006425904737339725,0.9935302194383437,0.029175467108085332,0.9986413737824549,1.0,0.20001619556353012,0.06643546471289864,2.5749231324565613,0.06750570693730691
ARHC-25s,49949,4035,43334,2580,22740,0.9986874564839678,0.006197950965476638,0.9935324841239829,0.02971329293290228,0.9986874564839678,1.0,0.2028589139590286,0.06839814818618707,2.5703075420595454,0.06707334666393965
ARHC-30s,49269,4218,42129,2922,26673,0.9985898268064081,0.006414489837502429,0.9931739425906152,0.029397503906362036,0.9985898268064081,1.0,0.20873532926127672,0.06681811837297152,2.5604059573154867,0.06605442995275115
EarliestHO,80037,80037,0,0,0,0.9498669731964005,0.06075957290156513,0.8552670726987235,0.1559032735244723,0.9498669731964005,1.0,0.3380313298534725,0.07197880546870714,2.155958748437442,0.02056723867626902
LatestHO,8130,8130,0,0,0,0.7951654766926085,0.13069174848445791,0.6273018086785922,0.20134753549551945,0.7951654766926085,1.0,0.5669809749979531,0.04521934663173859,2.5710691219958446,0.0741197981323883
NearestRSU,13835,13835,0,0,0,0.8142739547908919,0.11974870141592243,0.6466781611964092,0.1890417003741025,0.8142739547908919,1.0,0.5392789689881915,0.05575382118689727,2.204827234638053,0.04834207580741501
