Model,HO_Total,HO_Range,HO_LB,HO_Overload,HO_Failed,AvgQoSMean,AvgQoSStd,MinQoSMean,MinQoSStd,AvgQoS_Load,AvgQoS_Range,GiniMean,GiniStd,EvalSum,EvalProd
ARHC-Oracle,5397,3490,1906,1,0,0.9544289626146362,0.04279087746128332,0.6186501850156939,0.1831720933680079,0.9987224674387744,0.9554820160553547,0.18476569507372345,0.07867144346551028,3.992099884858733,0.9921139551450956
ARHC-01s,5400,3488,1911,1,0,0.9544289626146362,0.04279087746128332,0.6186501850156939,0.1831720933680079,0.9987224674387744,0.9554820160553547,0.18484844958259675,0.07872981782557487,3.9910995231507664,0.9911188695587674
ARHC-02s,5404,3509,1894,1,0,0.9544289626146362,0.04279087746128332,0.6186501850156939,0.1831720933680079,0.9987224674387744,0.9554820160553547,0.18512354566383574,0.0786735372374386,3.988878231761344,0.9889135250377606
ARHC-03s,5414,3527,1885,2,0,0.9544289626146362,0.04279087746128332,0.6186501850156939,0.1831720933680079,0.9987224674387744,0.9554820160553547,0.1853976957223466,0.07854225434973189,3.985567276435108,0.9856273205956161
ARHC-04s,5420,3551,1866,3,0,0.9544289626146362,0.04279087746128332,0.6186501850156939,0.1831720933680079,0.9987224674387744,0.9554820160553547,0.18576153867028372,0.0783989840135118,3.9825174874715157,0.9826078524887694
ARHC-05s,5416,3560,1855,1,0,0.9544289626146362,0.04279087746128332,0.6186501850156939,0.1831720933680079,0.9987224674387744,0.9554820160553547,0.18632707555262212,0.07789559628501784,3.9802301780656464,0.9803489620272041
ARHC-10s,5458,3644,1809,5,0,0.9544289626146362,0.04279087746128332,0.6186501850156939,0.1831720933680079,0.9987224674387744,0.9554820160553547,0.18818701006938746,0.0773073407954964,3.96280121363454,0.9631903950732967
ARHC-15s,5557,3699,1848,10,0,0.9544289626146362,0.04279087746128332,0.6186501850156939,0.1831720933680079,0.9987224674387744,0.9554820160553547,0.1900888472517682,0.0762485862104952,3.935453252919621,0.9365657741671513
ARHC-20s,5628,3774,1834,20,0,0.9544289626146362,0.04279087746128332,0.6186501850156939,0.1831720933680079,0.9987224674387744,0.9554820160553547,0.19180586051807055,0.07590791785446384,3.9145634098033373,0.9164723256420036
ARHC-25s,5681,3873,1776,32,0,0.9544289626146362,0.04279087746128332,0.6186501850156939,0.1831720933680079,0.9987224674387744,0.9554820160553547,0.19368680645198502,0.07526238324857466,3.896308575245815,0.8991051575853033
ARHC-30s,5651,3906,1698,47,0,0.9544289626146362,0.04279087746128332,0.6186501850156939,0.1831720933680079,0.9987224674387744,0.9554820160553547,0.19579363436458314,0.07441088740066157,3.89106098076781,0.8941521835851406
EarliestHO,5392,5392,0,0,0,0.9532886890194656,0.045054968783832174,0.6186219837757171,0.1832100394329326,0.9975712786666544,0.9554820160553547,0.2769503594516428,0.07058426480524697,3.6589259213135614,0.6616747051354862
LatestHO,5369,5369,0,0,0,0.9531174891366428,0.04557131998057273,0.6176323998677872,0.18452340015395563,0.9971302539685818,0.9554820160553547,0.23718896441272488,0.08492224191666535,3.77325414430967,0.7745245459178444
NearestRSU,5799,5799,0,0,0,0.9539568455845114,0.04554135033838781,0.6203325564965362,0.1865863485279282,0.9972285391823339,0.9563519286166731,0.2718509507873489,0.07476998264320062,3.60501270451914,0.628949676656503
