Model,HO_Total,HO_Range,HO_LB,HO_Overload,HO_Failed,AvgQoSMean,AvgQoSStd,MinQoSMean,MinQoSStd,AvgQoS_Load,AvgQoS_Range,GiniMean,GiniStd,EvalSum,EvalProd
ARHC-Oracle,5457,3406,1661,390,0,0.8631574139547318,0.1375778450847693,0.5502596671048746,0.22298634994230304,0.8961478643113298,0.9554820160553547,0.14167037999541335,0.06376411305501102,3.983873923401136,0.9838739234011361
ARHC-01s,5472,3410,1650,412,0,0.8631574139547318,0.1375778450847693,0.5502596671048746,0.22298634994230304,0.8961478643113298,0.9554820160553547,0.14195788720552716,0.06371534273247556,3.979151601281083,0.9791897236912225
ARHC-02s,5492,3434,1618,440,0,0.8631557463931783,0.13757645652182857,0.5502582086205511,0.22298506414326566,0.8961461578319475,0.9554820160553547,0.1422886313377868,0.06367012699636596,3.973254153979631,0.9733515887632477
ARHC-03s,5512,3439,1621,452,0,0.8631514393396714,0.13757390204989198,0.5502530558270423,0.22298784098333055,0.8961413876313115,0.9554820160553547,0.1424747484015115,0.06382082323519025,3.9683919761176476,0.9685390400147859
ARHC-04s,5536,3470,1580,486,0,0.8631456258601867,0.13757055255034314,0.5502469013624481,0.22298324823354818,0.8961352891656861,0.9554820160553547,0.14296145775388516,0.06364318307948537,3.9607660087236263,0.9610398729582517
ARHC-05s,5566,3487,1587,492,0,0.8631082583671086,0.1375466572633208,0.5501763414067906,0.22295365245261034,0.8960946031405344,0.9554820160553547,0.14338216564697373,0.06354504684886872,3.952459538135034,0.9528918704725421
ARHC-10s,5730,3570,1510,650,1,0.8630296155947332,0.1374978887446501,0.5500548347801438,0.22289547775430385,0.8960101200467685,0.9554820160553547,0.14544160185477947,0.06336428055318899,3.9105484913042323,0.9122275641433341
ARHC-15s,5843,3628,1475,740,14,0.8628163170021589,0.13736500466405166,0.5497247383609829,0.22275062954140004,0.895785891835019,0.9554820160553547,0.14728765445849143,0.06300702850368306,3.8793718552841105,0.8826248991433904
ARHC-20s,5911,3697,1334,880,58,0.8626389383170622,0.13727040691368636,0.5495286124897227,0.22268839943785765,0.8955974418901816,0.9554820160553547,0.14937966458651675,0.06305881964013652,3.854768649009442,0.8597688470130515
ARHC-25s,5955,3801,1226,928,58,0.8625608920088329,0.1372322823611462,0.5493667758303638,0.2226365802827713,0.8955140712792363,0.9554820160553547,0.15149434781051943,0.06302159019491932,3.8344344412301687,0.8411796070534469
ARHC-30s,5963,3835,1185,943,104,0.8624760173059596,0.137208866853263,0.5493285687750442,0.22263593005605312,0.8954229154104012,0.9554820160553547,0.1527055978989761,0.0635211576786257,3.825639522697034,0.8332478903646435
EarliestHO,5392,5392,0,0,0,0.8151103775570518,0.15186525735587064,0.5273021659731439,0.21239415846428453,0.8477635090990656,0.9554820160553547,0.22834080819513483,0.059496204940592406,3.518782835277551,0.5590586052845945
LatestHO,5369,5369,0,0,0,0.8421840916080174,0.14983423249380254,0.5335998733230465,0.22793784131425096,0.8732052734480651,0.9554820160553547,0.19170495949552738,0.07315364793172355,3.6844275495513354,0.6992150627735855
NearestRSU,5799,5799,0,0,0,0.8249583041540502,0.15560561308114054,0.5312711834714888,0.22427589075583063,0.8558988025736712,0.9563519286166731,0.22733411367494016,0.06635394909245641,3.4702673204626606,0.5324089110045842
