Model,HO_Total,HO_Range,HO_LB,HO_Overload,HO_Failed,AvgQoSMean,AvgQoSStd,MinQoSMean,MinQoSStd,AvgQoS_Load,AvgQoS_Range,GiniMean,GiniStd,EvalSum,EvalProd
ARHC-Oracle,8821,4338,4483,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.2230258593894529,0.05770461294365878,3.9161705180539608,0.9166901515671636
ARHC-01s,8909,4328,4581,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.22152250529915207,0.05837869184369813,3.913795038724885,0.913795038724885
ARHC-02s,8897,4325,4572,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.22259146843371685,0.05864099015431935,3.910225182896989,0.9106332507831554
ARHC-03s,8917,4268,4649,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.2233859563510947,0.05788771793910112,3.904633370750475,0.9053593180220167
ARHC-04s,8968,4335,4633,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.22617892412209048,0.05744702042010667,3.887195905126662,0.8890944016763864
ARHC-05s,9023,4343,4680,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.22529394152658774,0.05845914067255218,3.8855097366029057,0.8871460816381929
ARHC-10s,9679,4338,5341,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.23283633476643195,0.06145695486874947,3.792507947286985,0.8002291458258525
ARHC-15s,10283,4328,5955,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.24021994898705526,0.06308415608365768,3.7138603471825817,0.7300736985344222
ARHC-20s,12038,4280,7758,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.25256192295303975,0.06822883462462677,3.5533768815054874,0.5931621007733611
ARHC-25s,11392,4334,7058,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.2563270256443749,0.06349025973807927,3.5788425936670674,0.6175913928228562
ARHC-30s,12635,4354,8281,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.25738797987025364,0.06554716482495963,3.504977314471889,0.5545390085094825
EarliestHO,91561,91561,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.3643122858899806,0.07793168608496269,2.6969700442730336,0.05406438467023273
LatestHO,8141,8141,0,0,0,0.9999994037677078,4.3826115376684345e-05,0.9999986546553405,9.888969623456769e-05,0.9999994037677078,1.0,0.6288034565549611,0.05001648552215703,3.352290182440324,0.35229144001529017
NearestRSU,13954,13954,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.5927516604654537,0.05677805106146685,2.9571358528116463,0.21803394424356257
