Model,HO_Total,HO_Range,HO_LB,HO_Overload,HO_Failed,AvgQoSMean,AvgQoSStd,MinQoSMean,MinQoSStd,AvgQoS_Load,AvgQoS_Range,GiniMean,GiniStd,EvalSum,EvalProd
ARHC-Oracle,12001,4565,5988,1448,0,0.9988088445609543,0.006611270573532375,0.9938799825628687,0.030668986301599845,0.9988088445609543,1.0,0.08060716669812107,0.03327718503236313,3.6783601366552787,0.6783601366552787
ARHC-01s,14706,4230,8437,2039,25,0.9986933739666412,0.0067185123896494215,0.9935813703771759,0.030136634466887555,0.9986933739666412,1.0,0.08441739767208348,0.03437644218575175,3.5080318992901427,0.5283773281986539
ARHC-02s,16192,4165,9745,2282,77,0.9985071309963797,0.007067185627204475,0.9927708395056076,0.03129616248167035,0.9985071309963797,1.0,0.09082974974071638,0.03560662446099245,3.3888144651176426,0.4455604748043965
ARHC-03s,18319,4189,11224,2906,223,0.9981421984480023,0.008235524122105658,0.9909321836628818,0.03762568456404787,0.9981421984480023,1.0,0.09674096862179392,0.037431225662792944,3.2739953848024648,0.36894297385972313
ARHC-04s,20423,4217,13068,3138,407,0.9977435429427738,0.00906935734975566,0.9894347276593661,0.039603223186945834,0.9977435429427738,1.0,0.10474817008624941,0.039973684955342474,3.1626129386927664,0.3050529161384005
ARHC-05s,21842,4239,14250,3353,666,0.9977471395333376,0.009203064020949907,0.9896408858027769,0.03960664954022806,0.9977471395333376,1.0,0.1092605454787978,0.04172362871818887,3.1051459309465916,0.2735126651460139
ARHC-10s,32776,4309,23539,4928,4847,0.9958202460789116,0.013989011674969187,0.9817868659758598,0.05738447240529749,0.9958202460789116,1.0,0.13896431968761122,0.050900295780240294,2.813279788614941,0.14189725720867505
ARHC-15s,40335,4376,29601,6358,11056,0.9946101612209064,0.01667761380254686,0.9771074182698841,0.06525497134146153,0.9946101612209064,1.0,0.15773513236993306,0.056123135041625145,2.6917837175423664,0.10097637931318164
ARHC-20s,50313,4457,38602,7254,28831,0.9924287012206688,0.021314840927632604,0.9707016841892182,0.0774165886551756,0.9924287012206688,1.0,0.19073072447632983,0.06774429524769011,2.5547211847824545,0.06636197682441407
ARHC-25s,51320,4435,38045,8840,35797,0.9908336892367413,0.02557559726727316,0.9658765769194434,0.08831943003262856,0.9908336892367413,1.0,0.19502239548120714,0.06862590631281082,2.535794219743158,0.06321008180061395
ARHC-30s,50771,4564,38618,7589,37673,0.9909584524635425,0.024530147956628903,0.9658425946062402,0.0851007396616189,0.9909584524635425,1.0,0.19954962833403347,0.06813935201298758,2.528223115738158,0.062449684375719135
EarliestHO,91727,91727,0,0,0,0.9274175868191993,0.08376005010442315,0.8121485705696257,0.18881436014605063,0.9274175868191993,1.0,0.36326311373521103,0.07744737835713184,2.0563231088214433,0.014942642573897647
LatestHO,8141,8141,0,0,0,0.7449598440774917,0.15254437019725853,0.5706636893218798,0.2005825139374769,0.7449598440774917,1.0,0.6288040742929553,0.05001665474031025,2.448217160335827,0.054897818775586776
NearestRSU,13954,13954,0,0,0,0.7738877720765925,0.14371105197721049,0.6026931718248345,0.19385406789720877,0.7738877720765925,1.0,0.5927521305502796,0.05677807707022242,2.1006199936896333,0.037276703669345455
