,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
1,4,4,0,4,0,0,0,0.98097433050647,0.7747766735278289,1.0,1.0,0.98097433050647,0.7747766735278289,0.11252696019420905,26
2,5,9,0,9,0,0,0,0.9869777249472103,0.809824237807976,1.0,1.0,0.9869777249472103,0.809824237807976,0.11007994845979306,27
3,4,13,0,13,0,0,0,0.9749206027241764,0.5101714572172686,1.0,1.0,0.9749206027241764,0.5101714572172686,0.10092828916301998,28
4,6,19,1,18,0,0,0,0.9641441542369328,0.42302562872501087,1.0,1.0,0.9641441542369328,0.42302562872501087,0.07893610064760541,29
5,1,20,1,19,0,0,0,0.9739267400839272,0.5348815526492213,1.0,1.0,0.9739267400839272,0.5348815526492213,0.025652706025792796,29
6,0,20,1,19,0,0,0,0.98489502639029,0.6668916949291851,1.0,1.0,0.98489502639029,0.6668916949291851,0.018878050824527103,32
7,0,20,1,19,0,0,0,0.9905382255446691,0.7561321147016735,1.0,1.0,0.9905382255446691,0.7561321147016735,0.005270869250731764,33
8,2,22,2,20,0,0,0,0.9779037516132316,0.46361570093751203,1.0,1.0,0.9779037516132316,0.46361570093751203,0.019155704642937362,35
9,1,23,3,20,0,0,0,0.9857689690464669,0.6050532568269896,1.0,1.0,0.9857689690464669,0.6050532568269896,0.05405486116798547,35
10,1,24,4,20,0,0,0,0.9896316322560181,0.7287125990546124,1.0,1.0,0.9896316322560181,0.7287125990546124,0.060408231035519816,35
11,1,25,5,20,0,0,0,0.967853205519944,0.45460279827158323,1.0,1.0,0.967853205519944,0.45460279827158323,0.0747442572853519,35
12,0,25,5,20,0,0,0,0.9614772102563064,0.48622085658258746,1.0,1.0,0.9614772102563064,0.48622085658258746,0.07288980772035716,34
13,2,27,7,20,0,0,0,0.9585150324989181,0.3111643102891117,1.0,1.0,0.9585150324989181,0.3111643102891117,0.05503967623445151,32
14,2,29,9,20,0,0,0,0.9879829833669161,0.7223092832179786,1.0,1.0,0.9879829833669161,0.7223092832179786,0.1163338926616187,31
15,2,31,11,20,0,0,0,0.9898565848113191,0.7902158466978775,1.0,1.0,0.9898565848113191,0.7902158466978775,0.09798613956327419,30
16,0,31,11,20,0,0,0,0.9911329793788345,0.8285393963763433,1.0,1.0,0.9911329793788345,0.8285393963763433,0.13651251472841325,30
17,0,31,11,20,0,0,0,0.991197223115254,0.8392694853536812,1.0,1.0,0.991197223115254,0.8392694853536812,0.14201768188154926,29
18,0,31,11,20,0,0,0,0.9913263712799798,0.8430147821307257,1.0,1.0,0.9913263712799798,0.8430147821307257,0.14201768188154926,29
19,1,32,11,21,0,0,0,0.9910358947823201,0.8435550689162751,1.0,1.0,0.9910358947823201,0.8435550689162751,0.12382323515599122,28
20,0,32,11,21,0,0,0,0.9699491921455768,0.4095723261711891,1.0,1.0,0.9699491921455768,0.4095723261711891,0.14750246121692617,28
21,1,33,11,22,0,0,0,0.9734145035821103,0.545184763968158,1.0,1.0,0.9734145035821103,0.545184763968158,0.126148062104743,28
22,1,34,12,22,0,0,0,0.971242263561732,0.6725538323390984,1.0,1.0,0.971242263561732,0.6725538323390984,0.18642706804143142,28
23,2,36,13,23,0,0,0,0.9536140779069586,0.44520185323002603,1.0,1.0,0.9536140779069586,0.44520185323002603,0.20668061718417396,27
24,4,40,16,24,0,0,0,0.9686286066660339,0.5811866080449797,1.0,1.0,0.9686286066660339,0.5811866080449797,0.2635345843377344,28
25,3,43,17,26,0,0,0,0.9681494533225568,0.6867393307088898,1.0,1.0,0.9681494533225568,0.6867393307088898,0.09171722821489997,28
26,3,46,19,27,0,0,0,0.9578333177533858,0.37776309185458634,1.0,1.0,0.9578333177533858,0.37776309185458634,0.10126022048645286,30
27,0,46,19,27,0,0,0,0.9636265587607791,0.5098725562831801,1.0,1.0,0.9636265587607791,0.5098725562831801,0.10858404355169131,30
28,0,46,19,27,0,0,0,0.9669803330673529,0.627463105214495,1.0,1.0,0.9669803330673529,0.627463105214495,0.10600867469508783,31
29,0,46,19,27,0,0,0,0.9684624984041115,0.7067071047548589,1.0,1.0,0.9684624984041115,0.7067071047548589,0.09299896132135453,30
30,0,46,19,27,0,0,0,0.969980952400248,0.7510812327071091,1.0,1.0,0.969980952400248,0.7510812327071091,0.09299896132135453,30
31,0,46,19,27,0,0,0,0.9732784192983032,0.7825441961765872,1.0,1.0,0.9732784192983032,0.7825441961765872,0.09067123551228379,31
32,0,46,19,27,0,0,0,0.9624843742260231,0.5160177131727607,1.0,1.0,0.9624843742260231,0.5160177131727607,0.0860845895985135,31
33,0,46,19,27,0,0,0,0.9716287166039264,0.6266782281507491,1.0,1.0,0.9716287166039264,0.6266782281507491,0.0711995172412129,31
34,2,48,20,28,0,0,0,0.9758106620889297,0.6630931251225747,1.0,1.0,0.9758106620889297,0.6630931251225747,0.014668020396629344,29
35,0,48,20,28,0,0,0,0.9860637709857466,0.7383956888576635,1.0,1.0,0.9860637709857466,0.7383956888576635,0.03910851734490266,30
36,0,48,20,28,0,0,0,0.9914559165474841,0.8375912042316562,1.0,1.0,0.9914559165474841,0.8375912042316562,0.022333368501253194,30
37,0,48,20,28,0,0,0,0.9794391727526097,0.47588512181283393,1.0,1.0,0.9794391727526097,0.47588512181283393,0.03901635563311814,31
38,1,49,21,28,0,0,0,0.9867155201637285,0.6105921232805238,1.0,1.0,0.9867155201637285,0.6105921232805238,0.035399321575575134,32
39,0,49,21,28,0,0,0,0.9582098343953819,0.3769163492967998,1.0,1.0,0.9582098343953819,0.3769163492967998,0.020085830144949968,36
40,3,52,22,30,0,0,0,0.9689470441549772,0.5163019493869715,1.0,1.0,0.9689470441549772,0.5163019493869715,0.022193939291930424,37
41,0,52,22,30,0,0,0,0.9765021109078215,0.6324450859239941,1.0,1.0,0.9765021109078215,0.6324450859239941,0.022193939291930424,37
42,1,53,23,30,0,0,0,0.9667219839306448,0.4905886583821513,1.0,1.0,0.9667219839306448,0.4905886583821513,0.014868262088470002,38
43,1,54,24,30,0,0,0,0.977456639308085,0.6307053830618558,1.0,1.0,0.977456639308085,0.6307053830618558,0.03153154163921994,40
44,1,55,25,30,0,0,0,0.9812373489236383,0.7339006677763791,1.0,1.0,0.9812373489236383,0.7339006677763791,0.016095990559189643,39
45,0,55,25,30,0,0,0,0.9835524879903284,0.7959184123888845,1.0,1.0,0.9835524879903284,0.7959184123888845,0.03296709087536122,40
46,0,55,25,30,0,0,0,0.9843689377825499,0.8016148288733398,1.0,1.0,0.9843689377825499,0.8016148288733398,0.04018368087339053,39
47,2,57,27,30,0,0,0,0.9847007246377032,0.8020910894783873,1.0,1.0,0.9847007246377032,0.8020910894783873,0.07046077785143623,39
48,0,57,27,30,0,0,0,0.9848824609540179,0.80207190861883,1.0,1.0,0.9848824609540179,0.80207190861883,0.07046077785143623,39
49,1,58,27,31,0,0,0,0.9840756237275017,0.8022562115826624,1.0,1.0,0.9840756237275017,0.8022562115826624,0.029378875224791864,37
50,0,58,27,31,0,0,0,0.9831656593690732,0.8022562115826624,1.0,1.0,0.9831656593690732,0.8022562115826624,0.04470966900157868,35
51,0,58,27,31,0,0,0,0.9826705317034578,0.8022562115826624,1.0,1.0,0.9826705317034578,0.8022562115826624,0.049085125635053586,34
52,1,59,28,31,0,0,0,0.9826705317034578,0.8022562115826624,1.0,1.0,0.9826705317034578,0.8022562115826624,0.049090487465605445,34
53,0,59,28,31,0,0,0,0.9687124029067972,0.4941360238203419,1.0,1.0,0.9687124029067972,0.4941360238203419,0.060731650931342036,35
54,1,60,28,32,0,0,0,0.9580854550928211,0.4602029972690515,1.0,1.0,0.9580854550928211,0.4602029972690515,0.07880829599283004,36
55,1,61,29,32,0,0,0,0.9639133154047119,0.5795864829483219,1.0,1.0,0.9639133154047119,0.5795864829483219,0.0651377592773162,36
56,2,63,30,33,0,0,0,0.9398291825838773,0.3699670556464761,1.0,1.0,0.9398291825838773,0.3699670556464761,0.07932109427240949,36
57,2,65,32,33,0,0,0,0.9519540375719918,0.4875249028311283,1.0,1.0,0.9519540375719918,0.4875249028311283,0.18601114947006595,37
58,3,68,34,34,0,0,0,0.9599661083702449,0.5926748563673542,1.0,1.0,0.9599661083702449,0.5926748563673542,0.19416685735017566,38
59,0,68,34,34,0,0,0,0.9530351793418799,0.6518046806497412,1.0,1.0,0.9530351793418799,0.6518046806497412,0.21133526707708747,37
60,1,69,35,34,0,0,0,0.9492602457917111,0.42661766656202427,1.0,1.0,0.9492602457917111,0.42661766656202427,0.1783258335699231,38
61,2,71,36,35,0,0,0,0.9494417053187226,0.4620786213981193,1.0,1.0,0.9494417053187226,0.4620786213981193,0.194242581708674,37
62,1,72,37,35,0,0,0,0.9588781254617769,0.5795212281012023,1.0,1.0,0.9588781254617769,0.5795212281012023,0.18442890663306646,39
63,0,72,37,35,0,0,0,0.965750439879362,0.6737112796519166,1.0,1.0,0.965750439879362,0.6737112796519166,0.18442890663306646,39
64,1,73,38,35,0,0,0,0.9690730291821306,0.7247496530361891,1.0,1.0,0.9690730291821306,0.7247496530361891,0.16818173133759567,38
65,0,73,38,35,0,0,0,0.9691289156932549,0.6116999156683167,1.0,1.0,0.9691289156932549,0.6116999156683167,0.16336094102339166,39
66,2,75,38,37,0,0,0,0.9706897654145792,0.38995974309866543,1.0,1.0,0.9706897654145792,0.38995974309866543,0.09513409636271636,39
67,1,76,39,37,0,0,0,0.9830255255005534,0.7842369939438616,1.0,1.0,0.9830255255005534,0.7842369939438616,0.10723001056673984,36
68,1,77,40,37,0,0,0,0.9775814815111619,0.5585707780080839,1.0,1.0,0.9775814815111619,0.5585707780080839,0.14930808974901025,36
69,0,77,40,37,0,0,0,0.9560638467914349,0.36755964372282235,1.0,1.0,0.9560638467914349,0.36755964372282235,0.16014774504860768,37
70,1,78,40,38,0,0,0,0.9546235188266048,0.4143177215595065,1.0,1.0,0.9546235188266048,0.4143177215595065,0.1588091404080514,36
71,1,79,40,39,0,0,0,0.9588016003985808,0.5078233216502533,1.0,1.0,0.9588016003985808,0.5078233216502533,0.08942050849199096,38
72,0,79,40,39,0,0,0,0.9568437691257906,0.35828614821561483,1.0,1.0,0.9568437691257906,0.35828614821561483,0.08942050849199096,38
73,1,80,40,40,0,0,0,0.9706687234679469,0.7302314738986247,1.0,1.0,0.9706687234679469,0.7302314738986247,0.06319328811494371,37
74,3,83,42,41,0,0,0,0.9662351401968352,0.5038420919432862,1.0,1.0,0.9662351401968352,0.5038420919432862,0.10352231240469759,38
75,0,83,42,41,0,0,0,0.9637417536598029,0.6304289572816494,1.0,1.0,0.9637417536598029,0.6304289572816494,0.10352231240469759,38
76,2,85,44,41,0,0,0,0.9766193944465269,0.7204080521204754,1.0,1.0,0.9766193944465269,0.7204080521204754,0.16982889297900575,39
77,1,86,44,42,0,0,0,0.9750377692671484,0.7781423944602183,1.0,1.0,0.9750377692671484,0.7781423944602183,0.1669685528697195,40
78,1,87,45,42,0,0,0,0.9808366650539163,0.8022562115826624,1.0,1.0,0.9808366650539163,0.8022562115826624,0.1719354048454408,41
79,0,87,45,42,0,0,0,0.9809642210812691,0.8022562115826624,1.0,1.0,0.9809642210812691,0.8022562115826624,0.1719354048454408,41
80,0,87,45,42,0,0,0,0.9809859621520203,0.8022562115826624,1.0,1.0,0.9809859621520203,0.8022562115826624,0.1719354048454408,41
81,0,87,45,42,0,0,0,0.9809905229583804,0.8022562115826624,1.0,1.0,0.9809905229583804,0.8022562115826624,0.17262956711975355,41
82,0,87,45,42,0,0,0,0.9822866236657636,0.8022562115826624,1.0,1.0,0.9822866236657636,0.8022562115826624,0.14452430187017595,44
83,0,87,45,42,0,0,0,0.9822865229283043,0.8022562115826624,1.0,1.0,0.9822865229283043,0.8022562115826624,0.14452430187017595,44
84,1,88,46,42,0,0,0,0.9719249938226255,0.5160177131727607,1.0,1.0,0.9719249938226255,0.5160177131727607,0.16725293750196302,45
85,1,89,47,42,0,0,0,0.9742474282464622,0.6205272622454072,1.0,1.0,0.9742474282464622,0.6205272622454072,0.18337970067864012,45
86,0,89,47,42,0,0,0,0.9750126319013781,0.6549614267166293,1.0,1.0,0.9750126319013781,0.6549614267166293,0.18337970067864012,45
87,1,90,48,42,0,0,0,0.9758147876142073,0.7152436461797286,1.0,1.0,0.9758147876142073,0.7152436461797286,0.20614555536698628,44
88,0,90,48,42,0,0,0,0.9764367353694765,0.7426093474115767,1.0,1.0,0.9764367353694765,0.7426093474115767,0.20614555536698628,44
89,0,90,48,42,0,0,0,0.9630225704754286,0.4348612414237854,1.0,1.0,0.9630225704754286,0.4348612414237854,0.22334191396255612,43
90,0,90,48,42,0,0,0,0.9669183389308528,0.5678350214600815,1.0,1.0,0.9669183389308528,0.5678350214600815,0.23716219494633015,44
91,1,91,49,42,0,0,0,0.9702091049491898,0.67184195301793,1.0,1.0,0.9702091049491898,0.67184195301793,0.25241592816143954,44
92,0,91,49,42,0,0,0,0.9750475639555023,0.7371051905010954,1.0,1.0,0.9750475639555023,0.7371051905010954,0.25882578909789006,43
93,0,91,49,42,0,0,0,0.9804204761654237,0.7659490835534515,1.0,1.0,0.9804204761654237,0.7659490835534515,0.2698882373162251,44
94,0,91,49,42,0,0,0,0.9849174354958552,0.7275045726183852,1.0,1.0,0.9849174354958552,0.7275045726183852,0.2698882373162251,44
95,1,92,49,43,0,0,0,0.9889740896644978,0.7567789740140995,1.0,1.0,0.9889740896644978,0.7567789740140995,0.24857752387511287,43
96,0,92,49,43,0,0,0,0.9942112004505098,0.811600091281667,1.0,1.0,0.9942112004505098,0.811600091281667,0.24364849207504355,44
97,1,93,50,43,0,0,0,0.9963565397401021,0.8396877485644929,1.0,1.0,0.9963565397401021,0.8396877485644929,0.25420263779926155,44
98,1,94,51,43,0,0,0,0.996352891477746,0.8431743335430764,1.0,1.0,0.996352891477746,0.8431743335430764,0.2926255456139761,43
99,0,94,51,43,0,0,0,0.9963625052373873,0.8435877252076587,1.0,1.0,0.9963625052373873,0.8435877252076587,0.2926255456139761,43
100,2,96,51,45,0,0,0,0.9863328593777042,0.5140566655444407,1.0,1.0,0.9863328593777042,0.5140566655444407,0.22636970482918498,47
101,0,96,51,45,0,0,0,0.9892574225740045,0.6515437920619381,1.0,1.0,0.9892574225740045,0.6515437920619381,0.22636970482918498,47
102,0,96,51,45,0,0,0,0.9914230082764184,0.7533263200753877,1.0,1.0,0.9914230082764184,0.7533263200753877,0.22636970482918498,47
103,2,98,51,47,0,0,0,0.9852156396652526,0.8260362948751316,1.0,1.0,0.9852156396652526,0.8260362948751316,0.1621552576517306,46
104,3,101,53,48,0,0,0,0.9904807850726363,0.8435550689162751,1.0,1.0,0.9904807850726363,0.8435550689162751,0.15133302932750195,45
105,3,104,54,50,0,0,0,0.9754401446195174,0.4016318944248891,1.0,1.0,0.9754401446195174,0.4016318944248891,0.14396111811487258,44
106,2,106,55,51,0,0,0,0.9796479381151103,0.5404447423382973,1.0,1.0,0.9796479381151103,0.5404447423382973,0.1439811125063271,45
107,3,109,56,53,0,0,0,0.9802575649660681,0.6517256444375765,1.0,1.0,0.9802575649660681,0.6517256444375765,0.13709036488809928,44
108,3,112,57,55,0,0,0,0.9728551372820959,0.441976583772022,1.0,1.0,0.9728551372820959,0.441976583772022,0.12791129996074802,46
109,5,117,58,59,0,0,0,0.977003491789484,0.5809431972693321,1.0,1.0,0.977003491789484,0.5809431972693321,0.10416113012182243,46
110,1,118,59,59,0,0,0,0.9795583734523088,0.6897027677107441,1.0,1.0,0.9795583734523088,0.6897027677107441,0.12987564739239849,46
111,1,119,60,59,0,0,0,0.9851986516807648,0.772483620086996,1.0,1.0,0.9851986516807648,0.772483620086996,0.13571134982905442,46
112,0,119,60,59,0,0,0,0.9865359981331546,0.80207190861883,1.0,1.0,0.9865359981331546,0.80207190861883,0.13571134982905442,46
113,2,121,60,61,0,0,0,0.9871133532840759,0.8022562115826624,1.0,1.0,0.9871133532840759,0.8022562115826624,0.0989702093198846,46
114,2,123,62,61,0,0,0,0.9871580751938318,0.8022562115826624,1.0,1.0,0.9871580751938318,0.8022562115826624,0.09237597052911421,46
115,1,124,62,62,0,0,0,0.9768391805040112,0.5013495621522741,1.0,1.0,0.9768391805040112,0.5013495621522741,0.08637774061365999,47
116,0,124,62,62,0,0,0,0.9796428348751078,0.6326129589595377,1.0,1.0,0.9796428348751078,0.6326129589595377,0.08637774061365999,47
117,0,124,62,62,0,0,0,0.980839897344096,0.7269973025667623,1.0,1.0,0.980839897344096,0.7269973025667623,0.09082296481322316,45
118,1,125,62,63,0,0,0,0.9809666549933256,0.7833081130901729,1.0,1.0,0.9809666549933256,0.7833081130901729,0.0529033876478432,46
119,1,126,62,64,0,0,0,0.97517776301347,0.6727829509393889,1.0,1.0,0.97517776301347,0.6727829509393889,0.03580450865834592,46
120,2,128,62,66,0,0,0,0.9677278454981342,0.4518645766820293,1.0,1.0,0.9677278454981342,0.4518645766820293,0.020701551623904562,47
121,0,128,62,66,0,0,0,0.9742757554106316,0.5966702477226908,1.0,1.0,0.9742757554106316,0.5966702477226908,0.03529517832372632,46
122,0,128,62,66,0,0,0,0.9719435329823329,0.39476210625446506,1.0,1.0,0.9719435329823329,0.39476210625446506,0.03529517832372632,46
123,0,128,62,66,0,0,0,0.9890359670184586,0.8205471189031684,1.0,1.0,0.9890359670184586,0.8205471189031684,0.05086189656928795,45
124,0,128,62,66,0,0,0,0.9804074876508464,0.4067546692440364,1.0,1.0,0.9804074876508464,0.4067546692440364,0.05212126296369843,46
125,1,129,62,67,0,0,0,0.9855531957906443,0.513763704069939,1.0,1.0,0.9855531957906443,0.513763704069939,0.061219869160644556,44
126,0,129,62,67,0,0,0,0.9911001253786351,0.667876313766184,1.0,1.0,0.9911001253786351,0.667876313766184,0.049902716597014514,45
127,0,129,62,67,0,0,0,0.9936483005433109,0.7825441961765872,1.0,1.0,0.9936483005433109,0.7825441961765872,0.05622054278364253,45
128,1,130,63,67,0,0,0,0.9959688028745449,0.8829356039566663,1.0,1.0,0.9959688028745449,0.8829356039566663,0.048682777293406636,46
129,1,131,63,68,0,0,0,0.9978788875102297,0.9316293282724,1.0,1.0,0.9978788875102297,0.9316293282724,0.02066969402805566,48
130,1,132,64,68,0,0,0,0.9978319552131497,0.9316293282724,1.0,1.0,0.9978319552131497,0.9316293282724,0.020085409945588148,48
131,1,133,65,68,0,0,0,0.9869212344750584,0.46320663904667553,1.0,1.0,0.9869212344750584,0.46320663904667553,0.04303657676154443,49
132,2,135,66,69,0,0,0,0.988532759628088,0.6094679765063828,1.0,1.0,0.988532759628088,0.6094679765063828,0.05963735312697059,51
133,1,136,67,69,0,0,0,0.9870135117649337,0.7319798230837747,1.0,1.0,0.9870135117649337,0.7319798230837747,0.010746048329164797,49
134,5,141,72,69,0,0,0,0.9921832015700944,0.7592098733165573,1.0,1.0,0.9921832015700944,0.7592098733165573,0.024963050400228528,49
135,1,142,73,69,0,0,0,0.9936262039401852,0.8146110719799551,1.0,1.0,0.9936262039401852,0.8146110719799551,0.07617129215895761,49
136,4,146,77,69,0,0,0,0.9931760759349285,0.8363270486313367,1.0,1.0,0.9931760759349285,0.8363270486313367,0.08253449293921321,48
137,3,149,78,71,0,0,0,0.9931685953443782,0.8363232090430534,1.0,1.0,0.9931685953443782,0.8363232090430534,0.0937469857387296,47
138,2,151,80,71,0,0,0,0.9964895868164415,0.8431418280444509,1.0,1.0,0.9964895868164415,0.8431418280444509,0.09643248741833929,48
139,2,153,82,71,0,0,0,0.9908458651587849,0.8434282532472234,1.0,1.0,0.9908458651587849,0.8434282532472234,0.08778821284566046,48
140,2,155,84,71,0,0,0,0.9878027267337116,0.5007586362415252,1.0,1.0,0.9878027267337116,0.5007586362415252,0.15188650999907016,49
141,4,159,84,75,0,0,0,0.9871840057385824,0.6341090130524772,1.0,1.0,0.9871840057385824,0.6341090130524772,0.0999057279915663,49
142,2,161,85,76,0,0,0,0.9802951937963341,0.4035735080634923,1.0,1.0,0.9802951937963341,0.4035735080634923,0.12297537159249368,49
143,0,161,85,76,0,0,0,0.9820402638864842,0.544984615696727,1.0,1.0,0.9820402638864842,0.544984615696727,0.11318224865843916,47
144,0,161,85,76,0,0,0,0.9798600767977328,0.658947184289933,1.0,1.0,0.9798600767977328,0.658947184289933,0.0992730297385904,46
145,0,161,85,76,0,0,0,0.9760825337269053,0.43423841575318256,1.0,1.0,0.9760825337269053,0.43423841575318256,0.05119656053491833,44
146,1,162,85,77,0,0,0,0.9777900404818296,0.44902108097553234,1.0,1.0,0.9777900404818296,0.44902108097553234,0.06437791742784871,44
147,1,163,85,78,0,0,0,0.9810320214617387,0.5783814543382721,1.0,1.0,0.9810320214617387,0.5783814543382721,0.03961070324227506,43
