,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
1,5,5,0,5,0,0,0,0.98097433050647,0.7747766735278289,1.0,1.0,0.98097433050647,0.7747766735278289,0.1374221350526854,26
2,7,12,0,12,0,0,0,0.9869777249472103,0.809824237807976,1.0,1.0,0.9869777249472103,0.809824237807976,0.16561052055479208,27
3,4,16,0,16,0,0,0,0.9749206027241764,0.5101714572172686,1.0,1.0,0.9749206027241764,0.5101714572172686,0.08266016801687408,28
4,7,23,0,23,0,0,0,0.9641441542369328,0.42302562872501087,1.0,1.0,0.9641441542369328,0.42302562872501087,0.07893610064760541,29
5,3,26,0,26,0,0,0,0.9739267400839272,0.5348815526492213,1.0,1.0,0.9739267400839272,0.5348815526492213,0.10338344159810299,29
6,2,28,0,28,0,0,0,0.98489502639029,0.6668916949291851,1.0,1.0,0.98489502639029,0.6668916949291851,0.0962637446275108,32
7,2,30,0,30,0,0,0,0.9905382255446691,0.7561321147016735,1.0,1.0,0.9905382255446691,0.7561321147016735,0.15102338883848862,33
8,4,34,0,34,0,0,0,0.9779037516132316,0.46361570093751203,1.0,1.0,0.9779037516132316,0.46361570093751203,0.14322893414903123,35
9,2,36,0,36,0,0,0,0.9857689690464669,0.6050532568269896,1.0,1.0,0.9857689690464669,0.6050532568269896,0.08907224662347886,35
10,3,39,1,38,0,0,0,0.9896316322560181,0.7287125990546124,1.0,1.0,0.9896316322560181,0.7287125990546124,0.11696354305344066,35
11,2,41,1,40,0,0,0,0.967853205519944,0.45460279827158323,1.0,1.0,0.967853205519944,0.45460279827158323,0.03953255047231417,35
12,3,44,1,43,0,0,0,0.9614772102563064,0.48622085658258746,1.0,1.0,0.9614772102563064,0.48622085658258746,0.07272235823172218,34
13,5,49,2,47,0,0,0,0.9585150324989181,0.3111643102891117,1.0,1.0,0.9585150324989181,0.3111643102891117,0.039462434005994224,32
