,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.0,0
1,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.08481934425336168,26
2,2,2,2,0,0,0,0,1.0,1,1.0,1,1.0,1,0.06711313582573764,27
3,1,3,3,0,0,0,0,1.0,1,1.0,1,1.0,1,0.11142962675694469,28
4,2,5,5,0,0,0,0,1.0,1,1.0,1,1.0,1,0.14879911035443355,29
5,1,6,6,0,0,0,0,1.0,1,1.0,1,1.0,1,0.205589554010726,29
6,2,8,8,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2547320002113068,32
7,3,11,11,0,0,0,0,1.0,1,1.0,1,1.0,1,0.1364395796304322,33
8,3,14,14,0,0,0,0,1.0,1,1.0,1,1.0,1,0.1194797839867547,35
9,3,17,17,0,0,0,0,1.0,1,1.0,1,1.0,1,0.1790090220039265,35
10,2,19,19,0,0,0,0,1.0,1,1.0,1,1.0,1,0.1662561224652598,35
11,0,19,19,0,0,0,0,1.0,1,1.0,1,1.0,1,0.14481415319633748,35
12,2,21,21,0,0,0,0,1.0,1,1.0,1,1.0,1,0.12804773071831185,34
13,2,23,23,0,0,0,0,1.0,1,1.0,1,1.0,1,0.13582724477196656,32
14,1,24,24,0,0,0,0,1.0,1,1.0,1,1.0,1,0.1601661256824904,31
15,0,24,24,0,0,0,0,1.0,1,1.0,1,1.0,1,0.17254782292820348,30
16,1,25,25,0,0,0,0,1.0,1,1.0,1,1.0,1,0.25417351328674653,30
17,0,25,25,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2543418193816499,29
18,0,25,25,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2543418193816499,29
19,3,28,28,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2551505405106884,28
20,1,29,29,0,0,0,0,1.0,1,1.0,1,1.0,1,0.24789646438602297,28
21,3,32,32,0,0,0,0,1.0,1,1.0,1,1.0,1,0.24742109200408344,28
22,2,34,34,0,0,0,0,1.0,1,1.0,1,1.0,1,0.24644462275334603,28
23,4,38,38,0,0,0,0,1.0,1,1.0,1,1.0,1,0.16364872883903991,27
24,2,40,40,0,0,0,0,1.0,1,1.0,1,1.0,1,0.12427976136349911,28
25,2,42,42,0,0,0,0,1.0,1,1.0,1,1.0,1,0.14485585985880542,28
26,4,46,46,0,0,0,0,1.0,1,1.0,1,1.0,1,0.04110024962495896,30
27,0,46,46,0,0,0,0,1.0,1,1.0,1,1.0,1,0.05028277023082355,30
28,1,47,47,0,0,0,0,1.0,1,1.0,1,1.0,1,0.10209132714462585,31
29,0,47,47,0,0,0,0,1.0,1,1.0,1,1.0,1,0.08705701701812064,30
30,0,47,47,0,0,0,0,1.0,1,1.0,1,1.0,1,0.08705701701812064,30
31,1,48,48,0,0,0,0,1.0,1,1.0,1,1.0,1,0.08608655641256961,31
32,0,48,48,0,0,0,0,1.0,1,1.0,1,1.0,1,0.07437510518623075,31
33,2,50,50,0,0,0,0,1.0,1,1.0,1,1.0,1,0.08678975449491404,31
34,0,50,50,0,0,0,0,1.0,1,1.0,1,1.0,1,0.11224407462267788,29
35,2,52,52,0,0,0,0,1.0,1,1.0,1,1.0,1,0.1313512920333282,30
36,1,53,53,0,0,0,0,1.0,1,1.0,1,1.0,1,0.15377974019229973,30
37,1,54,54,0,0,0,0,1.0,1,1.0,1,1.0,1,0.1781802679464503,31
38,3,57,57,0,0,0,0,1.0,1,1.0,1,1.0,1,0.17331950021754206,32
39,0,57,57,0,0,0,0,1.0,1,1.0,1,1.0,1,0.13618917395272384,36
40,1,58,58,0,0,0,0,1.0,1,1.0,1,1.0,1,0.1499287276866062,37
41,3,61,61,0,0,0,0,1.0,1,1.0,1,1.0,1,0.1518196724194986,37
42,0,61,61,0,0,0,0,1.0,1,1.0,1,1.0,1,0.13704699392570527,38
43,1,62,62,0,0,0,0,1.0,1,1.0,1,1.0,1,0.18119364721093453,40
44,3,65,65,0,0,0,0,1.0,1,1.0,1,1.0,1,0.1949422732027424,39
45,0,65,65,0,0,0,0,1.0,1,1.0,1,1.0,1,0.1833448306068764,40
46,1,66,66,0,0,0,0,1.0,1,1.0,1,1.0,1,0.213611092705683,39
47,1,67,67,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2426955894910883,39
48,0,67,67,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2426955894910883,39
49,0,67,67,0,0,0,0,1.0,1,1.0,1,1.0,1,0.21532053959895917,37
50,0,67,67,0,0,0,0,1.0,1,1.0,1,1.0,1,0.21013670962336217,35
51,0,67,67,0,0,0,0,1.0,1,1.0,1,1.0,1,0.1994922320510981,34
52,1,68,68,0,0,0,0,1.0,1,1.0,1,1.0,1,0.19948986718883494,34
