,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,9,9,9,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.14974825838190967,26
2,2,11,11,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07545760099869835,27
3,3,14,14,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.18066073185369078,28
4,6,20,20,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1557254010051947,29
5,4,24,24,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13322586114113916,29
6,3,27,27,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.16360940908192506,32
7,1,28,28,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.15308377587863334,33
8,4,32,32,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1594511934088826,35
9,1,33,33,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.19238648937341749,35
10,4,37,37,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.24704847142283717,35
11,1,38,38,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.20084348416374606,35
12,1,39,39,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13908608578853673,34
13,2,41,41,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1133367360099549,32
14,2,43,43,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.23779074852787901,31
15,1,44,44,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.19056177323508897,30
16,4,48,48,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12397907513000578,30
17,0,48,48,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1188970058370888,29
18,2,50,50,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13832403902150922,29
19,3,53,53,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1508305475866249,28
20,1,54,54,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1419829890766286,28
21,4,58,58,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.24608097066721524,28
22,3,61,61,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2593025970731889,28
23,7,68,68,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.31667538987325394,27
24,3,71,71,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2164314631605885,28
25,2,73,73,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.056164643070423556,28
26,3,76,76,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.15412673022007384,30
27,1,77,77,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1351854438846335,30
