,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0848193184355487,26
2,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10743807512841938,27
3,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08776584532278082,28
4,1,1,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04011396491166462,29
5,1,2,2,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.02841615783458838,29
6,0,2,2,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05437726335110066,32
7,2,4,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09972664707707839,33
8,1,5,5,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11114209331067564,35
9,2,7,7,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12091070234012277,35
10,2,9,9,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07194238623021416,35
11,3,12,12,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.056174920795431925,35
12,1,13,13,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0459024396361083,34
13,0,13,13,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.048052712939493675,32
14,2,15,15,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13431150433553432,31
15,1,16,16,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10716513624282567,30
16,0,16,16,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12196465254338434,30
17,0,16,16,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09826302157563414,29
18,0,16,16,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09826302157563414,29
19,0,16,16,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0937627427437996,28
20,1,17,17,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13230563447874788,28
21,1,18,18,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11927727270325506,28
22,2,20,20,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1638678384760978,28
23,2,22,22,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2590637576504763,27
24,6,28,28,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2265270203321871,28
25,2,30,30,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.21968228813466806,28
26,1,31,31,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.26219991159679235,30
27,1,32,32,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.20528255008660243,30
28,1,33,33,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.24199385638085605,31
29,2,35,35,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.19732874523196378,30
30,0,35,35,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.19732874523196378,30
31,1,36,36,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1955090606620875,31
