,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.0,0
1,11,11,0,11,0,0,0,1.0,1,1.0,1,1.0,1,0.2655469490441757,26
2,9,20,0,20,0,0,0,1.0,1,1.0,1,1.0,1,0.16272410082778538,27
3,4,24,0,24,0,0,0,1.0,1,1.0,1,1.0,1,0.20302033641249814,28
4,4,28,0,28,0,0,0,1.0,1,1.0,1,1.0,1,0.17522474033099672,29
5,0,28,0,28,0,0,0,1.0,1,1.0,1,1.0,1,0.17522474033099672,29
6,0,28,0,28,0,0,0,1.0,1,1.0,1,1.0,1,0.2196400860913381,32
7,0,28,0,28,0,0,0,1.0,1,1.0,1,1.0,1,0.22532051787790866,33
8,1,29,0,29,0,0,0,1.0,1,1.0,1,1.0,1,0.20323698097767046,35
9,2,31,1,30,0,0,0,1.0,1,1.0,1,1.0,1,0.21024979129516602,35
10,1,32,2,30,0,0,0,1.0,1,1.0,1,1.0,1,0.21201702991717686,35
11,1,33,2,31,0,0,0,1.0,1,1.0,1,1.0,1,0.1697964563972485,35
12,2,35,4,31,0,0,0,1.0,1,1.0,1,1.0,1,0.2282503802768466,34
13,1,36,5,31,0,0,0,1.0,1,1.0,1,1.0,1,0.26612224866078454,32
14,2,38,7,31,0,0,0,1.0,1,1.0,1,1.0,1,0.30892683130886844,31
15,0,38,7,31,0,0,0,1.0,1,1.0,1,1.0,1,0.3370731892212715,30
16,3,41,9,32,0,0,0,1.0,1,1.0,1,1.0,1,0.3974832856708387,30
17,1,42,9,33,0,0,0,1.0,1,1.0,1,1.0,1,0.4041825414627186,29
18,0,42,9,33,0,0,0,1.0,1,1.0,1,1.0,1,0.4041825414627186,29
19,1,43,9,34,0,0,0,1.0,1,1.0,1,1.0,1,0.35513442764755715,28
20,0,43,9,34,0,0,0,1.0,1,1.0,1,1.0,1,0.33478601795446666,28
