,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.0,0
1,6,6,0,6,0,0,0,1.0,1,1.0,1,1.0,1,0.23721377639462204,26
2,1,7,0,7,0,0,0,1.0,1,1.0,1,1.0,1,0.16483643870906695,27
3,0,7,0,7,0,0,0,1.0,1,1.0,1,1.0,1,0.17861729782544383,28
4,0,7,0,7,0,0,0,1.0,1,1.0,1,1.0,1,0.19636586656685945,29
5,1,8,0,8,0,0,0,1.0,1,1.0,1,1.0,1,0.12792962975771857,29
6,0,8,0,8,0,0,0,1.0,1,1.0,1,1.0,1,0.13246147427320376,32
7,1,9,1,8,0,0,0,1.0,1,1.0,1,1.0,1,0.15742328350272414,33
8,0,9,1,8,0,0,0,1.0,1,1.0,1,1.0,1,0.173466133582377,35
9,2,11,2,9,0,0,0,1.0,1,1.0,1,1.0,1,0.172292875187397,35
10,2,13,4,9,0,0,0,1.0,1,1.0,1,1.0,1,0.1973406634974985,35
11,2,15,5,10,0,0,0,1.0,1,1.0,1,1.0,1,0.22282771659257652,35
12,3,18,6,12,0,0,0,1.0,1,1.0,1,1.0,1,0.17271131603054035,34
13,1,19,7,12,0,0,0,1.0,1,1.0,1,1.0,1,0.22525756437271355,32
14,1,20,8,12,0,0,0,1.0,1,1.0,1,1.0,1,0.2169195043400957,31
15,0,20,8,12,0,0,0,1.0,1,1.0,1,1.0,1,0.2508177828685076,30
16,2,22,9,13,0,0,0,1.0,1,1.0,1,1.0,1,0.2989071154103041,30
17,0,22,9,13,0,0,0,1.0,1,1.0,1,1.0,1,0.33351859542070134,29
18,1,23,10,13,0,0,0,1.0,1,1.0,1,1.0,1,0.3697840743567479,29
19,0,23,10,13,0,0,0,1.0,1,1.0,1,1.0,1,0.3587843544970159,28
20,0,23,10,13,0,0,0,1.0,1,1.0,1,1.0,1,0.3308305410956466,28
21,0,23,10,13,0,0,0,1.0,1,1.0,1,1.0,1,0.3308305410956466,28
22,6,29,14,15,0,0,0,1.0,1,1.0,1,1.0,1,0.4405041785398311,28
23,7,36,18,18,0,0,0,1.0,1,1.0,1,1.0,1,0.35863284426722186,27
24,3,39,21,18,0,0,0,1.0,1,1.0,1,1.0,1,0.3744995212504139,28
25,4,43,23,20,0,0,0,1.0,1,1.0,1,1.0,1,0.24513699236881334,28
26,3,46,24,22,0,0,0,1.0,1,1.0,1,1.0,1,0.15281584069235668,30
27,0,46,24,22,0,0,0,1.0,1,1.0,1,1.0,1,0.14631514005025004,30
28,3,49,26,23,0,0,0,1.0,1,1.0,1,1.0,1,0.12518498790299298,31
29,0,49,26,23,0,0,0,1.0,1,1.0,1,1.0,1,0.12247921400639496,30
30,0,49,26,23,0,0,0,1.0,1,1.0,1,1.0,1,0.12247921400639496,30
31,0,49,26,23,0,0,0,1.0,1,1.0,1,1.0,1,0.14006669061989271,31
32,4,53,28,25,0,0,0,1.0,1,1.0,1,1.0,1,0.18981533575154408,31
33,2,55,30,25,0,0,0,1.0,1,1.0,1,1.0,1,0.2090791062968671,31
34,2,57,31,26,0,0,0,1.0,1,1.0,1,1.0,1,0.19249741466860923,29
35,1,58,32,26,0,0,0,1.0,1,1.0,1,1.0,1,0.22077199614891108,30
36,0,58,32,26,0,0,0,1.0,1,1.0,1,1.0,1,0.24429960208488302,30
37,0,58,32,26,0,0,0,1.0,1,1.0,1,1.0,1,0.2606672423909643,31
38,1,59,32,27,0,0,0,1.0,1,1.0,1,1.0,1,0.21780294515524504,32
39,1,60,32,28,0,0,0,1.0,1,1.0,1,1.0,1,0.23087800504175543,36
40,1,61,32,29,0,0,0,1.0,1,1.0,1,1.0,1,0.20391553869909143,37
41,0,61,32,29,0,0,0,1.0,1,1.0,1,1.0,1,0.20391553869909143,37
42,0,61,32,29,0,0,0,1.0,1,1.0,1,1.0,1,0.22003162745222138,38
