,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.0,0
1,27,27,27,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3905046259170005,26
2,21,48,48,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3793838538830105,27
3,18,66,66,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2989232820026153,28
4,19,85,85,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3156896039502257,29
5,20,105,105,0,0,0,0,1.0,1,1.0,1,1.0,1,0.38186577740202965,29
6,10,115,115,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2578966812195085,32
7,12,127,127,0,0,0,0,1.0,1,1.0,1,1.0,1,0.19542688825460758,33
8,18,145,145,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2591264093477705,35
9,21,166,166,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3054145038319389,35
10,18,184,184,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2707802349279975,35
11,14,198,198,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3879603249546353,35
12,12,210,210,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3439353225171717,34
13,13,223,223,0,0,0,0,1.0,1,1.0,1,1.0,1,0.41259472174903283,32
14,9,232,232,0,0,0,0,1.0,1,1.0,1,1.0,1,0.43407040474076924,31
15,12,244,244,0,0,0,0,1.0,1,1.0,1,1.0,1,0.45979083336513016,30
16,9,253,253,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4152640567073253,30
17,6,259,259,0,0,0,0,1.0,1,1.0,1,1.0,1,0.31044030209094353,29
18,8,267,267,0,0,0,0,1.0,1,1.0,1,1.0,1,0.31004409721014253,29
19,8,275,275,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3773299863977065,28
20,7,282,282,0,0,0,0,1.0,1,1.0,1,1.0,1,0.37493769317439957,28
21,7,289,289,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3038264737269074,28
22,10,299,299,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4071182188363583,28
23,9,308,308,0,0,0,0,1.0,1,1.0,1,1.0,1,0.34717960203152265,27
24,12,320,320,0,0,0,0,1.0,1,1.0,1,1.0,1,0.41153370600908057,28
25,9,329,329,0,0,0,0,1.0,1,1.0,1,1.0,1,0.34965947823508026,28
26,14,343,343,0,0,0,0,1.0,1,1.0,1,1.0,1,0.19790114474796044,30
27,15,358,358,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2626867881781276,30
28,7,365,365,0,0,0,0,1.0,1,1.0,1,1.0,1,0.21963033904938373,31
29,8,373,373,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2622404229564622,30
30,6,379,379,0,0,0,0,1.0,1,1.0,1,1.0,1,0.22608287821044692,30
31,6,385,385,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2750801106774929,31
32,5,390,390,0,0,0,0,1.0,1,1.0,1,1.0,1,0.31455861967321885,31
33,16,406,406,0,0,0,0,1.0,1,1.0,1,1.0,1,0.16752714277846958,31
34,10,416,416,0,0,0,0,1.0,1,1.0,1,1.0,1,0.32877592222971086,29
35,13,429,429,0,0,0,0,1.0,1,1.0,1,1.0,1,0.27552808154134195,30
36,14,443,443,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3067991610148014,30
37,11,454,454,0,0,0,0,1.0,1,1.0,1,1.0,1,0.30161527428738494,31
38,16,470,470,0,0,0,0,1.0,1,1.0,1,1.0,1,0.28684402111841784,32
39,11,481,481,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2726138884234451,36
40,10,491,491,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3047072886266699,37
41,12,503,503,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3461253794653765,37
42,10,513,513,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2865692114447036,38
43,15,528,528,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3551698318363256,40
44,10,538,538,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3784125061053523,39
45,11,549,549,0,0,0,0,1.0,1,1.0,1,1.0,1,0.33612232239988926,40
46,11,560,560,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3487237135022875,39
47,12,572,572,0,0,0,0,1.0,1,1.0,1,1.0,1,0.35561066171221467,39
48,4,576,576,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3547133412242818,39
49,5,581,581,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3724762470571141,37
50,9,590,590,0,0,0,0,1.0,1,1.0,1,1.0,1,0.44510847106951956,35
51,14,604,604,0,0,0,0,1.0,1,1.0,1,1.0,1,0.468302040620056,34
52,9,613,613,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4307897820379462,34
53,9,622,622,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3624411693933601,35
54,10,632,632,0,0,0,0,1.0,1,1.0,1,1.0,1,0.31164685921934804,36
55,15,647,647,0,0,0,0,1.0,1,1.0,1,1.0,1,0.29871962935349317,36
56,10,657,657,0,0,0,0,1.0,1,1.0,1,1.0,1,0.41698626928140436,36
57,8,665,665,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3459515568613656,37
58,6,671,671,0,0,0,0,1.0,1,1.0,1,1.0,1,0.40404937525419976,38
59,4,675,675,0,0,0,0,1.0,1,1.0,1,1.0,1,0.49312048153576143,37
60,7,682,682,0,0,0,0,1.0,1,1.0,1,1.0,1,0.44572734073823744,38
61,6,688,688,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4637008755832956,37
62,7,695,695,0,0,0,0,1.0,1,1.0,1,1.0,1,0.39447794090660904,39
63,20,715,715,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3383195298772599,39
64,11,726,726,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3812295992248002,38
65,17,743,743,0,0,0,0,1.0,1,1.0,1,1.0,1,0.39393995396940223,39
66,9,752,752,0,0,0,0,1.0,1,1.0,1,1.0,1,0.37527910509892504,39
67,10,762,762,0,0,0,0,1.0,1,1.0,1,1.0,1,0.27059409704206966,36
68,8,770,770,0,0,0,0,1.0,1,1.0,1,1.0,1,0.33298095952935713,36
69,11,781,781,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3850010040818209,37
70,7,788,788,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4538762170510375,36
71,9,797,797,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4544361562716286,38
72,10,807,807,0,0,0,0,1.0,1,1.0,1,1.0,1,0.5035288930677289,38
73,7,814,814,0,0,0,0,1.0,1,1.0,1,1.0,1,0.49649361563086825,37
74,15,829,829,0,0,0,0,1.0,1,1.0,1,1.0,1,0.44576301461252815,38
75,11,840,840,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4999007979749771,38
76,20,860,860,0,0,0,0,1.0,1,1.0,1,1.0,1,0.46150419336577025,39
77,6,866,866,0,0,0,0,1.0,1,1.0,1,1.0,1,0.41786288393889987,40
78,17,883,883,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4522407202916914,41
79,15,898,898,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3532016335050169,41
80,11,909,909,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4317921276746205,41
81,11,920,920,0,0,0,0,1.0,1,1.0,1,1.0,1,0.5017260430177682,41
82,14,934,934,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4147170548122917,44
83,13,947,947,0,0,0,0,1.0,1,1.0,1,1.0,1,0.412694116392855,44
84,13,960,960,0,0,0,0,1.0,1,1.0,1,1.0,1,0.38627380950857326,45
85,10,970,970,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4055487640058598,45
86,14,984,984,0,0,0,0,1.0,1,1.0,1,1.0,1,0.40886113225278703,45
87,9,993,993,0,0,0,0,1.0,1,1.0,1,1.0,1,0.46378720274244734,44
88,13,1006,1006,0,0,0,0,1.0,1,1.0,1,1.0,1,0.45304407559790955,44
89,9,1015,1015,0,0,0,0,1.0,1,1.0,1,1.0,1,0.5024663735227667,43
90,10,1025,1025,0,0,0,0,1.0,1,1.0,1,1.0,1,0.47307289507153416,44
91,7,1032,1032,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4813029445511747,44
92,12,1044,1044,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4635949453649707,43
93,12,1056,1056,0,0,0,0,1.0,1,1.0,1,1.0,1,0.5127284714762005,44
94,10,1066,1066,0,0,0,0,1.0,1,1.0,1,1.0,1,0.37618676355248365,44
95,21,1087,1087,0,0,0,0,1.0,1,1.0,1,1.0,1,0.5138409589482963,43
96,10,1097,1097,0,0,0,0,1.0,1,1.0,1,1.0,1,0.48516772657061336,44
97,17,1114,1114,0,0,0,0,1.0,1,1.0,1,1.0,1,0.5070548764938654,44
98,11,1125,1125,0,0,0,0,1.0,1,1.0,1,1.0,1,0.42401725532859935,43
99,14,1139,1139,0,0,0,0,1.0,1,1.0,1,1.0,1,0.5027294714523927,43
100,10,1149,1149,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4496930559734885,47
101,10,1159,1159,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4551404587819005,47
102,9,1168,1168,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3200626295360158,47
103,18,1186,1186,0,0,0,0,1.0,1,1.0,1,1.0,1,0.26534484973218836,46
104,16,1202,1202,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2868491997091887,45
105,14,1216,1216,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4425465921414941,44
106,23,1239,1239,0,0,0,0,1.0,1,1.0,1,1.0,1,0.23584511797975785,45
107,20,1259,1259,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3047314456229199,44
108,16,1275,1275,0,0,0,0,1.0,1,1.0,1,1.0,1,0.22175754532438174,46
109,27,1302,1302,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3383576664998906,46
110,19,1321,1321,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4050658088783387,46
111,11,1332,1332,0,0,0,0,1.0,1,1.0,1,1.0,1,0.34747772204455374,46
112,18,1350,1350,0,0,0,0,1.0,1,1.0,1,1.0,1,0.39031906309508674,46
113,9,1359,1359,0,0,0,0,1.0,1,1.0,1,1.0,1,0.30158049569789297,46
114,10,1369,1369,0,0,0,0,1.0,1,1.0,1,1.0,1,0.32615548183255444,46
115,9,1378,1378,0,0,0,0,1.0,1,1.0,1,1.0,1,0.19983644741778325,47
116,16,1394,1394,0,0,0,0,1.0,1,1.0,1,1.0,1,0.36798852455464603,47
117,4,1398,1398,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3769327113409138,45
118,14,1412,1412,0,0,0,0,1.0,1,1.0,1,1.0,1,0.38634353983173353,46
119,18,1430,1430,0,0,0,0,1.0,1,1.0,1,1.0,1,0.37663485914480105,46
120,7,1437,1437,0,0,0,0,1.0,1,1.0,1,1.0,1,0.39970760062228444,47
121,9,1446,1446,0,0,0,0,1.0,1,1.0,1,1.0,1,0.41368998457396133,46
122,4,1450,1450,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4334377515833706,46
123,9,1459,1459,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3928041103749013,45
124,10,1469,1469,0,0,0,0,1.0,1,1.0,1,1.0,1,0.34787474049153394,46
125,11,1480,1480,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3756656965925902,44
126,13,1493,1493,0,0,0,0,1.0,1,1.0,1,1.0,1,0.32725035539701813,45
