,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.0,0
1,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.5196669869965538,26
2,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.5056809412044001,27
3,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.5093744382558829,28
4,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.513304918433636,29
5,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.513304918433636,29
6,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4721163789075401,32
7,2,2,2,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4843256653907884,33
8,0,2,2,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4632249183087079,35
9,2,4,4,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4634167059427742,35
10,3,7,7,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4704792732386065,35
11,0,7,7,0,0,0,0,1.0,1,1.0,1,1.0,1,0.45620664217509044,35
12,2,9,9,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4473190094935782,34
13,1,10,10,0,0,0,0,1.0,1,1.0,1,1.0,1,0.426571576990106,32
14,3,13,13,0,0,0,0,1.0,1,1.0,1,1.0,1,0.44450479236004703,31
15,0,13,13,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4327607861639252,30
16,2,15,15,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4370330077135597,30
17,1,16,16,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4487245475842983,29
18,0,16,16,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4487245475842983,29
19,1,17,17,0,0,0,0,1.0,1,1.0,1,1.0,1,0.45634753712711396,28
20,1,18,18,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4554552770253597,28
