,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.0,0
1,21,21,0,21,0,0,0,1.0,1,1.0,1,1.0,1,0.2165790718897854,26
2,17,38,0,38,0,0,0,1.0,1,1.0,1,1.0,1,0.18791858244832024,27
3,3,41,0,41,0,0,0,1.0,1,1.0,1,1.0,1,0.139929518525462,28
4,0,41,0,41,0,0,0,1.0,1,1.0,1,1.0,1,0.1445640904882246,29
5,1,42,0,42,0,0,0,1.0,1,1.0,1,1.0,1,0.12253090729499469,29
6,2,44,0,44,0,0,0,1.0,1,1.0,1,1.0,1,0.10077057840895226,32
7,0,44,0,44,0,0,0,1.0,1,1.0,1,1.0,1,0.1189156190161297,33
8,1,45,1,44,0,0,0,1.0,1,1.0,1,1.0,1,0.11521730039126515,35
9,0,45,1,44,0,0,0,1.0,1,1.0,1,1.0,1,0.11521730039126515,35
10,0,45,1,44,0,0,0,1.0,1,1.0,1,1.0,1,0.10894599132459407,35
11,1,46,1,45,0,0,0,1.0,1,1.0,1,1.0,1,0.11008889678737091,35
12,4,50,3,47,0,0,0,1.0,1,1.0,1,1.0,1,0.10201232441667506,34
13,1,51,4,47,0,0,0,1.0,1,1.0,1,1.0,1,0.144305906005814,32
14,2,53,6,47,0,0,0,1.0,1,1.0,1,1.0,1,0.18136615218637342,31
15,1,54,6,48,0,0,0,1.0,1,1.0,1,1.0,1,0.18688453754130768,30
16,2,56,7,49,0,0,0,1.0,1,1.0,1,1.0,1,0.2101744797521194,30
17,3,59,7,52,0,0,0,1.0,1,1.0,1,1.0,1,0.16247589202088542,29
18,1,60,8,52,0,0,0,1.0,1,1.0,1,1.0,1,0.20986201641425326,29
19,0,60,8,52,0,0,0,1.0,1,1.0,1,1.0,1,0.18604456112100315,28
20,0,60,8,52,0,0,0,1.0,1,1.0,1,1.0,1,0.18361723362832874,28
21,1,61,9,52,0,0,0,1.0,1,1.0,1,1.0,1,0.21357844729952502,28
22,4,65,13,52,0,0,0,1.0,1,1.0,1,1.0,1,0.292831396110637,28
23,5,70,15,55,0,0,0,1.0,1,1.0,1,1.0,1,0.2327535144082892,27
24,3,73,17,56,0,0,0,1.0,1,1.0,1,1.0,1,0.2117582034140176,28
25,3,76,19,57,0,0,0,1.0,1,1.0,1,1.0,1,0.15266437928426163,28
26,4,80,20,60,0,0,0,1.0,1,1.0,1,1.0,1,0.11719238251040583,30
27,3,83,20,63,0,0,0,1.0,1,1.0,1,1.0,1,0.11539963239654186,30
28,2,85,22,63,0,0,0,1.0,1,1.0,1,1.0,1,0.1541788837109003,31
29,2,87,22,65,0,0,0,1.0,1,1.0,1,1.0,1,0.09248876924663162,30
30,1,88,23,65,0,0,0,1.0,1,1.0,1,1.0,1,0.13932986086072152,30
31,5,93,24,69,0,0,0,1.0,1,1.0,1,1.0,1,0.11981902104979404,31
32,3,96,26,70,0,0,0,1.0,1,1.0,1,1.0,1,0.16650362060069773,31
33,3,99,27,72,0,0,0,1.0,1,1.0,1,1.0,1,0.1500865253788712,31
34,1,100,28,72,0,0,0,1.0,1,1.0,1,1.0,1,0.1778471083589019,29
35,1,101,28,73,0,0,0,1.0,1,1.0,1,1.0,1,0.14410274794720912,30
36,3,104,29,75,0,0,0,1.0,1,1.0,1,1.0,1,0.12497642395809438,30
37,1,105,30,75,0,0,0,1.0,1,1.0,1,1.0,1,0.15408672620787492,31
38,1,106,30,76,0,0,0,1.0,1,1.0,1,1.0,1,0.11608185348447758,32
39,2,108,30,78,0,0,0,1.0,1,1.0,1,1.0,1,0.1004648305697811,36
40,1,109,30,79,0,0,0,1.0,1,1.0,1,1.0,1,0.11494272916231868,37
41,0,109,30,79,0,0,0,1.0,1,1.0,1,1.0,1,0.11494272916231868,37
42,1,110,31,79,0,0,0,1.0,1,1.0,1,1.0,1,0.12949429947174018,38
43,5,115,33,82,0,0,0,1.0,1,1.0,1,1.0,1,0.1431971678421963,40
44,0,115,33,82,0,0,0,1.0,1,1.0,1,1.0,1,0.16935487154436432,39
45,1,116,34,82,0,0,0,1.0,1,1.0,1,1.0,1,0.21339872951506728,40
46,0,116,34,82,0,0,0,1.0,1,1.0,1,1.0,1,0.19198211782576335,39
47,2,118,34,84,0,0,0,1.0,1,1.0,1,1.0,1,0.164177655450317,39
48,0,118,34,84,0,0,0,1.0,1,1.0,1,1.0,1,0.164177655450317,39
49,4,122,35,87,0,0,0,1.0,1,1.0,1,1.0,1,0.08987083874698697,37
50,1,123,36,87,0,0,0,1.0,1,1.0,1,1.0,1,0.11657812024613505,35
51,0,123,36,87,0,0,0,1.0,1,1.0,1,1.0,1,0.10354557191323113,34
52,0,123,36,87,0,0,0,1.0,1,1.0,1,1.0,1,0.19006011025874883,34
53,3,126,36,90,0,0,0,1.0,1,1.0,1,1.0,1,0.1241649083417977,35
54,0,126,36,90,0,0,0,1.0,1,1.0,1,1.0,1,0.15189110319220445,36
55,4,130,37,93,0,0,0,1.0,1,1.0,1,1.0,1,0.12753238560929148,36
56,4,134,40,94,0,0,0,1.0,1,1.0,1,1.0,1,0.17102832988415664,36
57,1,135,40,95,0,0,0,1.0,1,1.0,1,1.0,1,0.14847879916739498,37
58,1,136,41,95,0,0,0,1.0,1,1.0,1,1.0,1,0.15356254893281185,38
59,1,137,42,95,0,0,0,1.0,1,1.0,1,1.0,1,0.21150314874517376,37
60,2,139,43,96,0,0,0,1.0,1,1.0,1,1.0,1,0.15834828385302105,38
61,6,145,44,101,0,0,0,1.0,1,1.0,1,1.0,1,0.16635075154434803,37
62,2,147,45,102,0,0,0,1.0,1,1.0,1,1.0,1,0.13939444851454394,39
63,1,148,46,102,0,0,0,1.0,1,1.0,1,1.0,1,0.16621059926797288,39
64,0,148,46,102,0,0,0,1.0,1,1.0,1,1.0,1,0.14853970292774168,38
65,0,148,46,102,0,0,0,1.0,1,1.0,1,1.0,1,0.12798185794942726,39
66,2,150,48,102,0,0,0,1.0,1,1.0,1,1.0,1,0.19011851161999724,39
67,2,152,48,104,0,0,0,1.0,1,1.0,1,1.0,1,0.09519529116839119,36
68,1,153,48,105,0,0,0,1.0,1,1.0,1,1.0,1,0.10398712891295125,36
69,0,153,48,105,0,0,0,1.0,1,1.0,1,1.0,1,0.1071594428014684,37
70,0,153,48,105,0,0,0,1.0,1,1.0,1,1.0,1,0.15157270634331055,36
71,2,155,48,107,0,0,0,1.0,1,1.0,1,1.0,1,0.10641916220984571,38
72,2,157,49,108,0,0,0,1.0,1,1.0,1,1.0,1,0.14158351940448483,38
73,1,158,49,109,0,0,0,1.0,1,1.0,1,1.0,1,0.1201338638962926,37
74,2,160,50,110,0,0,0,1.0,1,1.0,1,1.0,1,0.14494496969766088,38
75,2,162,51,111,0,0,0,1.0,1,1.0,1,1.0,1,0.13743942215097388,38
76,2,164,52,112,0,0,0,1.0,1,1.0,1,1.0,1,0.14857831311340466,39
77,1,165,52,113,0,0,0,1.0,1,1.0,1,1.0,1,0.14792723957922524,40
78,2,167,53,114,0,0,0,1.0,1,1.0,1,1.0,1,0.1374035679253638,41
79,0,167,53,114,0,0,0,1.0,1,1.0,1,1.0,1,0.1374035679253638,41
80,0,167,53,114,0,0,0,1.0,1,1.0,1,1.0,1,0.1374035679253638,41
81,1,168,54,114,0,0,0,1.0,1,1.0,1,1.0,1,0.17652807871405776,41
82,2,170,54,116,0,0,0,1.0,1,1.0,1,1.0,1,0.16810545812691421,44
83,6,176,54,122,0,0,0,1.0,1,1.0,1,1.0,1,0.07734564108500906,44
84,1,177,54,123,0,0,0,1.0,1,1.0,1,1.0,1,0.06027329377514782,45
85,0,177,54,123,0,0,0,1.0,1,1.0,1,1.0,1,0.06027329377514782,45
86,2,179,55,124,0,0,0,1.0,1,1.0,1,1.0,1,0.06459046617860302,45
87,1,180,56,124,0,0,0,1.0,1,1.0,1,1.0,1,0.12188137899071473,44
88,2,182,58,124,0,0,0,1.0,1,1.0,1,1.0,1,0.1624783231611815,44
89,2,184,58,126,0,0,0,1.0,1,1.0,1,1.0,1,0.157697448877188,43
90,0,184,58,126,0,0,0,1.0,1,1.0,1,1.0,1,0.16176257817594417,44
91,0,184,58,126,0,0,0,1.0,1,1.0,1,1.0,1,0.16176257817594417,44
92,0,184,58,126,0,0,0,1.0,1,1.0,1,1.0,1,0.15283992553009032,43
93,0,184,58,126,0,0,0,1.0,1,1.0,1,1.0,1,0.17270320276023118,44
94,1,185,59,126,0,0,0,1.0,1,1.0,1,1.0,1,0.1821505963073666,44
95,1,186,59,127,0,0,0,1.0,1,1.0,1,1.0,1,0.18820231784055952,43
96,2,188,60,128,0,0,0,1.0,1,1.0,1,1.0,1,0.16260517100381455,44
97,0,188,60,128,0,0,0,1.0,1,1.0,1,1.0,1,0.16260517100381455,44
98,1,189,60,129,0,0,0,1.0,1,1.0,1,1.0,1,0.17261213530845065,43
99,1,190,60,130,0,0,0,1.0,1,1.0,1,1.0,1,0.16602960189750168,43
100,3,193,60,133,0,0,0,1.0,1,1.0,1,1.0,1,0.11602571461070604,47
101,0,193,60,133,0,0,0,1.0,1,1.0,1,1.0,1,0.11602571461070604,47
102,1,194,61,133,0,0,0,1.0,1,1.0,1,1.0,1,0.1406122447670236,47
103,3,197,62,135,0,0,0,1.0,1,1.0,1,1.0,1,0.12615241600006752,46
104,6,203,66,137,0,0,0,1.0,1,1.0,1,1.0,1,0.1387026740373946,45
105,2,205,67,138,0,0,0,1.0,1,1.0,1,1.0,1,0.11409079200251797,44
106,3,208,70,138,0,0,0,1.0,1,1.0,1,1.0,1,0.1762310540756167,45
107,2,210,71,139,0,0,0,1.0,1,1.0,1,1.0,1,0.15205307669984147,44
108,5,215,72,143,0,0,0,1.0,1,1.0,1,1.0,1,0.13442266877250686,46
109,3,218,73,145,0,0,0,1.0,1,1.0,1,1.0,1,0.1280479048683956,46
110,4,222,75,147,0,0,0,1.0,1,1.0,1,1.0,1,0.10769643468581676,46
111,1,223,76,147,0,0,0,1.0,1,1.0,1,1.0,1,0.10778337214760196,46
112,1,224,77,147,0,0,0,1.0,1,1.0,1,1.0,1,0.10960656724676589,46
113,3,227,78,149,0,0,0,1.0,1,1.0,1,1.0,1,0.08978843044798453,46
114,2,229,79,150,0,0,0,1.0,1,1.0,1,1.0,1,0.09634129615497294,46
115,2,231,80,151,0,0,0,1.0,1,1.0,1,1.0,1,0.08880021454275643,47
116,4,235,82,153,0,0,0,1.0,1,1.0,1,1.0,1,0.11664500282727706,47
117,1,236,82,154,0,0,0,1.0,1,1.0,1,1.0,1,0.07094262456583544,45
118,0,236,82,154,0,0,0,1.0,1,1.0,1,1.0,1,0.08152515348433073,46
119,0,236,82,154,0,0,0,1.0,1,1.0,1,1.0,1,0.08540520031141273,46
120,2,238,83,155,0,0,0,1.0,1,1.0,1,1.0,1,0.07098434017111882,47
121,0,238,83,155,0,0,0,1.0,1,1.0,1,1.0,1,0.07713231170743717,46
122,1,239,84,155,0,0,0,1.0,1,1.0,1,1.0,1,0.09752496862909504,46
123,0,239,84,155,0,0,0,1.0,1,1.0,1,1.0,1,0.11456083346472376,45
124,1,240,85,155,0,0,0,1.0,1,1.0,1,1.0,1,0.13294074422424124,46
125,4,244,86,158,0,0,0,1.0,1,1.0,1,1.0,1,0.13806607849494382,44
126,3,247,86,161,0,0,0,1.0,1,1.0,1,1.0,1,0.07052628080468162,45
127,0,247,86,161,0,0,0,1.0,1,1.0,1,1.0,1,0.06675959937195945,45
128,1,248,87,161,0,0,0,1.0,1,1.0,1,1.0,1,0.09846714726030478,46
129,3,251,88,163,0,0,0,1.0,1,1.0,1,1.0,1,0.10041176520971157,48
130,0,251,88,163,0,0,0,1.0,1,1.0,1,1.0,1,0.10041176520971157,48
131,1,252,89,163,0,0,0,1.0,1,1.0,1,1.0,1,0.10886877607713509,49
132,4,256,90,166,0,0,0,1.0,1,1.0,1,1.0,1,0.13391682074773725,51
133,4,260,92,168,0,0,0,1.0,1,1.0,1,1.0,1,0.07059297824163964,49
134,2,262,93,169,0,0,0,1.0,1,1.0,1,1.0,1,0.09099795484893529,49
135,4,266,93,173,0,0,0,1.0,1,1.0,1,1.0,1,0.09235343616024956,49
136,6,272,99,173,0,0,0,1.0,1,1.0,1,1.0,1,0.15263736090272262,48
137,2,274,99,175,0,0,0,1.0,1,1.0,1,1.0,1,0.11399644592356431,47
138,0,274,99,175,0,0,0,1.0,1,1.0,1,1.0,1,0.11575546277007212,48
139,1,275,100,175,0,0,0,1.0,1,1.0,1,1.0,1,0.13383896385106833,48
140,5,280,102,178,0,0,0,1.0,1,1.0,1,1.0,1,0.12430854640461603,49
141,3,283,104,179,0,0,0,1.0,1,1.0,1,1.0,1,0.14111309118015797,49
142,3,286,106,180,0,0,0,1.0,1,1.0,1,1.0,1,0.06683868475530054,49
143,3,289,108,181,0,0,0,1.0,1,1.0,1,1.0,1,0.08636182183272453,47
144,2,291,109,182,0,0,0,1.0,1,1.0,1,1.0,1,0.07590215497980271,46
145,1,292,110,182,0,0,0,1.0,1,1.0,1,1.0,1,0.12003749303398466,44
146,1,293,110,183,0,0,0,1.0,1,1.0,1,1.0,1,0.1089111107172359,44
147,3,296,111,185,0,0,0,1.0,1,1.0,1,1.0,1,0.10872878316716847,43
148,0,296,111,185,0,0,0,1.0,1,1.0,1,1.0,1,0.11096961959643895,43
149,3,299,113,186,0,0,0,1.0,1,1.0,1,1.0,1,0.11556870788752178,43
150,0,299,113,186,0,0,0,1.0,1,1.0,1,1.0,1,0.11267025524951632,42
151,2,301,114,187,0,0,0,1.0,1,1.0,1,1.0,1,0.11685781555495632,42
152,0,301,114,187,0,0,0,1.0,1,1.0,1,1.0,1,0.11685781555495632,42
153,0,301,114,187,0,0,0,1.0,1,1.0,1,1.0,1,0.12347114814306084,42
154,4,305,116,189,0,0,0,1.0,1,1.0,1,1.0,1,0.1683428281552802,43
155,2,307,116,191,0,0,0,1.0,1,1.0,1,1.0,1,0.13513319648213803,43
156,3,310,117,193,0,0,0,1.0,1,1.0,1,1.0,1,0.1199710034181906,42
157,2,312,117,195,0,0,0,1.0,1,1.0,1,1.0,1,0.11398619062165119,41
158,1,313,117,196,0,0,0,1.0,1,1.0,1,1.0,1,0.08982159676001927,42
159,0,313,117,196,0,0,0,1.0,1,1.0,1,1.0,1,0.10191902304838324,43
160,4,317,119,198,0,0,0,1.0,1,1.0,1,1.0,1,0.1683981492365511,44
161,2,319,120,199,0,0,0,1.0,1,1.0,1,1.0,1,0.16395371798070593,44
162,5,324,123,201,0,0,0,1.0,1,1.0,1,1.0,1,0.2040618968084141,45
163,3,327,124,203,0,0,0,1.0,1,1.0,1,1.0,1,0.16390361779521379,43
164,3,330,126,204,0,0,0,1.0,1,1.0,1,1.0,1,0.1805672293796688,42
165,4,334,127,207,0,0,0,1.0,1,1.0,1,1.0,1,0.11962046434316993,42
166,2,336,127,209,0,0,0,1.0,1,1.0,1,1.0,1,0.0851052858832584,42
167,2,338,129,209,0,0,0,1.0,1,1.0,1,1.0,1,0.10842596912570747,41
168,0,338,129,209,0,0,0,1.0,1,1.0,1,1.0,1,0.0930177601460019,40
169,1,339,129,210,0,0,0,1.0,1,1.0,1,1.0,1,0.0835964824066101,40
170,0,339,129,210,0,0,0,1.0,1,1.0,1,1.0,1,0.11637920595389784,38
171,2,341,131,210,0,0,0,1.0,1,1.0,1,1.0,1,0.11240007976216078,37
172,8,349,135,214,0,0,0,1.0,1,1.0,1,1.0,1,0.2028446032782327,35
173,5,354,136,218,0,0,0,1.0,1,1.0,1,1.0,1,0.12452185646242099,36
174,0,354,136,218,0,0,0,1.0,1,1.0,1,1.0,1,0.16322128988939172,34
175,7,361,136,225,0,0,0,1.0,1,1.0,1,1.0,1,0.19564796304130372,33
176,3,364,136,228,0,0,0,1.0,1,1.0,1,1.0,1,0.27184220207522153,34
177,8,372,137,235,0,0,0,1.0,1,1.0,1,1.0,1,0.14537930625824566,36
178,4,376,137,239,0,0,0,1.0,1,1.0,1,1.0,1,0.17569448266062876,37
179,0,376,137,239,0,0,0,1.0,1,1.0,1,1.0,1,0.17569448266062876,37
180,0,376,137,239,0,0,0,1.0,1,1.0,1,1.0,1,0.19452809967253798,36
181,1,377,137,240,0,0,0,1.0,1,1.0,1,1.0,1,0.18038430585867393,36
182,3,380,138,242,0,0,0,1.0,1,1.0,1,1.0,1,0.15525200081542373,38
183,1,381,139,242,0,0,0,1.0,1,1.0,1,1.0,1,0.15187743127749936,37
184,3,384,141,243,0,0,0,1.0,1,1.0,1,1.0,1,0.17476926969288153,36
185,2,386,141,245,0,0,0,1.0,1,1.0,1,1.0,1,0.14011671051304117,35
186,2,388,142,246,0,0,0,1.0,1,1.0,1,1.0,1,0.13614346085216428,34
187,1,389,143,246,0,0,0,1.0,1,1.0,1,1.0,1,0.14252700592503448,33
188,0,389,143,246,0,0,0,1.0,1,1.0,1,1.0,1,0.145141994763415,33
189,5,394,147,247,0,0,0,1.0,1,1.0,1,1.0,1,0.21210741531445837,33
190,2,396,148,248,0,0,0,1.0,1,1.0,1,1.0,1,0.18246766736213194,32
191,2,398,148,250,0,0,0,1.0,1,1.0,1,1.0,1,0.13917273223504495,34
192,2,400,149,251,0,0,0,1.0,1,1.0,1,1.0,1,0.16467340936937497,34
193,1,401,149,252,0,0,0,1.0,1,1.0,1,1.0,1,0.11681814856979238,35
194,3,404,150,254,0,0,0,1.0,1,1.0,1,1.0,1,0.1490708601637891,37
195,1,405,150,255,0,0,0,1.0,1,1.0,1,1.0,1,0.15921617527380516,36
196,0,405,150,255,0,0,0,1.0,1,1.0,1,1.0,1,0.15921617527380516,36
197,1,406,150,256,0,0,0,1.0,1,1.0,1,1.0,1,0.1436406102199034,37
198,0,406,150,256,0,0,0,1.0,1,1.0,1,1.0,1,0.1436406102199034,37
199,0,406,150,256,0,0,0,1.0,1,1.0,1,1.0,1,0.1436406102199034,37
200,0,406,150,256,0,0,0,1.0,1,1.0,1,1.0,1,0.1436406102199034,37
201,4,410,150,260,0,0,0,1.0,1,1.0,1,1.0,1,0.13639467531714689,36
202,3,413,151,262,0,0,0,1.0,1,1.0,1,1.0,1,0.13949614137197006,36
203,4,417,153,264,0,0,0,1.0,1,1.0,1,1.0,1,0.09953579773708522,35
204,3,420,155,265,0,0,0,1.0,1,1.0,1,1.0,1,0.18280414889443405,35
205,3,423,156,267,0,0,0,1.0,1,1.0,1,1.0,1,0.12375742844180303,35
206,4,427,157,270,0,0,0,1.0,1,1.0,1,1.0,1,0.13581650881730714,34
207,1,428,157,271,0,0,0,1.0,1,1.0,1,1.0,1,0.13492268788448566,34
208,3,431,158,273,0,0,0,1.0,1,1.0,1,1.0,1,0.2268377041993183,33
209,3,434,159,275,0,0,0,1.0,1,1.0,1,1.0,1,0.18207582863234037,33
210,3,437,161,276,0,0,0,1.0,1,1.0,1,1.0,1,0.1888545181433464,34
211,2,439,162,277,0,0,0,1.0,1,1.0,1,1.0,1,0.20615408528974688,33
212,0,439,162,277,0,0,0,1.0,1,1.0,1,1.0,1,0.20615408528974688,33
213,3,442,164,278,0,0,0,1.0,1,1.0,1,1.0,1,0.222918697484412,35
214,2,444,164,280,0,0,0,1.0,1,1.0,1,1.0,1,0.21371289077428487,34
215,5,449,165,284,0,0,0,1.0,1,1.0,1,1.0,1,0.13887377886782218,35
216,4,453,166,287,0,0,0,1.0,1,1.0,1,1.0,1,0.12834469635808493,36
217,1,454,167,287,0,0,0,1.0,1,1.0,1,1.0,1,0.16683985046627997,36
218,3,457,168,289,0,0,0,1.0,1,1.0,1,1.0,1,0.16742321126663692,36
219,3,460,168,292,0,0,0,1.0,1,1.0,1,1.0,1,0.14858461699574899,37
220,2,462,168,294,0,0,0,1.0,1,1.0,1,1.0,1,0.11122254016360518,38
221,0,462,168,294,0,0,0,1.0,1,1.0,1,1.0,1,0.1189413915768306,37
222,1,463,168,295,0,0,0,1.0,1,1.0,1,1.0,1,0.10661792126296159,38
223,4,467,170,297,0,0,0,1.0,1,1.0,1,1.0,1,0.12866428887954373,38
224,3,470,172,298,0,0,0,1.0,1,1.0,1,1.0,1,0.1562061786831036,38
225,3,473,173,300,0,0,0,1.0,1,1.0,1,1.0,1,0.14347838988629072,36
226,1,474,174,300,0,0,0,1.0,1,1.0,1,1.0,1,0.16919995282140893,37
227,4,478,176,302,0,0,0,1.0,1,1.0,1,1.0,1,0.10273683955415572,35
228,2,480,178,302,0,0,0,1.0,1,1.0,1,1.0,1,0.14438919450956514,35
229,4,484,179,305,0,0,0,1.0,1,1.0,1,1.0,1,0.09939312964922964,35
230,3,487,181,306,0,0,0,1.0,1,1.0,1,1.0,1,0.15912639915197913,35
231,3,490,182,308,0,0,0,1.0,1,1.0,1,1.0,1,0.1556901498530486,35
232,3,493,184,309,0,0,0,1.0,1,1.0,1,1.0,1,0.16309232154689046,36
233,3,496,184,312,0,0,0,1.0,1,1.0,1,1.0,1,0.049538316778459573,36
234,1,497,185,312,0,0,0,1.0,1,1.0,1,1.0,1,0.14081394994763424,34
235,3,500,187,313,0,0,0,1.0,1,1.0,1,1.0,1,0.16762629595947465,33
236,0,500,187,313,0,0,0,1.0,1,1.0,1,1.0,1,0.1528512777479099,31
237,2,502,188,314,0,0,0,1.0,1,1.0,1,1.0,1,0.1850728907832484,32
238,1,503,189,314,0,0,0,1.0,1,1.0,1,1.0,1,0.20563270271562814,31
239,2,505,190,315,0,0,0,1.0,1,1.0,1,1.0,1,0.18245905525920866,30
240,1,506,191,315,0,0,0,1.0,1,1.0,1,1.0,1,0.23030853357667966,27
241,0,506,191,315,0,0,0,1.0,1,1.0,1,1.0,1,0.23030853357667966,27
242,2,508,191,317,0,0,0,1.0,1,1.0,1,1.0,1,0.20961308679314833,28
243,4,512,192,320,0,0,0,1.0,1,1.0,1,1.0,1,0.19786712783694277,28
244,3,515,193,322,0,0,0,1.0,1,1.0,1,1.0,1,0.18104545242762515,27
245,4,519,194,325,0,0,0,1.0,1,1.0,1,1.0,1,0.11752374432403752,27
246,1,520,195,325,0,0,0,1.0,1,1.0,1,1.0,1,0.2039589205764424,25
247,0,520,195,325,0,0,0,1.0,1,1.0,1,1.0,1,0.16831958042929723,24
248,0,520,195,325,0,0,0,1.0,1,1.0,1,1.0,1,0.1718580594139235,24
249,0,520,195,325,0,0,0,1.0,1,1.0,1,1.0,1,0.20147484851566871,25
250,1,521,195,326,0,0,0,1.0,1,1.0,1,1.0,1,0.1354010769070385,27
251,0,521,195,326,0,0,0,1.0,1,1.0,1,1.0,1,0.1354010769070385,27
252,1,522,195,327,0,0,0,1.0,1,1.0,1,1.0,1,0.0900047854996933,27
253,2,524,196,328,0,0,0,1.0,1,1.0,1,1.0,1,0.1284520219107114,29
254,2,526,198,328,0,0,0,1.0,1,1.0,1,1.0,1,0.19163450012016656,30
255,2,528,199,329,0,0,0,1.0,1,1.0,1,1.0,1,0.18936000354490726,31
256,4,532,201,331,0,0,0,1.0,1,1.0,1,1.0,1,0.13839719070837275,31
257,3,535,201,334,0,0,0,1.0,1,1.0,1,1.0,1,0.12672215675321843,33
258,2,537,202,335,0,0,0,1.0,1,1.0,1,1.0,1,0.11806045244632359,33
259,0,537,202,335,0,0,0,1.0,1,1.0,1,1.0,1,0.11806045244632359,33
260,1,538,203,335,0,0,0,1.0,1,1.0,1,1.0,1,0.19900801548911368,35
261,1,539,203,336,0,0,0,1.0,1,1.0,1,1.0,1,0.16552404645340593,35
262,1,540,204,336,0,0,0,1.0,1,1.0,1,1.0,1,0.2048149514750196,35
263,2,542,205,337,0,0,0,1.0,1,1.0,1,1.0,1,0.23345471828462291,34
264,1,543,206,337,0,0,0,1.0,1,1.0,1,1.0,1,0.31842972945245385,32
