,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,16,16,0,16,0,15,15,1.0,1.0,1.0,1.0,1.0,1,0.17127932475025717,26
2,25,41,0,41,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.19274657838240528,27
3,19,60,0,60,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.25005719148237787,28
4,21,81,0,81,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.21992975684437657,29
5,18,99,0,99,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.3226802176014441,29
6,17,116,0,116,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.2008184102669593,32
7,29,145,0,145,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.24610190321588482,33
8,24,169,0,169,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.23773478398705478,35
9,26,195,0,195,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.2608503082144408,35
10,24,219,0,219,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.19394936601116947,35
11,4,223,0,223,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.08033651791299061,35
12,2,225,0,225,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.04907753631066352,34
13,0,225,0,225,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.09312680709071464,32
14,0,225,0,225,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.10776508149273821,31
15,1,226,1,225,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.1285766947771082,30
16,1,227,1,226,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.11753775164362595,30
17,0,227,1,226,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.1062860192247757,29
18,2,229,2,227,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.1048873543867215,29
19,0,229,2,227,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.1281255898969842,28
20,0,229,2,227,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.14341836537897237,28
21,4,233,4,229,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.20264866355033395,28
22,1,234,5,229,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.19937881793444945,28
23,2,236,6,230,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.2491863615127371,27
24,6,242,10,232,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.25675560838310946,28
25,4,246,12,234,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.25267268970704493,28
26,5,251,13,238,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.19738724288468035,30
27,0,251,13,238,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.18425125688451474,30
28,1,252,14,238,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.18857079252824815,31
29,1,253,14,239,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.20688744839832557,30
30,0,253,14,239,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.20688744839832557,30
31,7,260,16,244,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.12701447599486537,31
