,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,11,11,0,11,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10563255821426158,26
2,0,11,0,11,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08261455790200051,27
3,1,12,0,12,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09389601924202101,28
4,1,13,0,13,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07192691488677402,29
5,0,13,0,13,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07192691488677402,29
6,0,13,0,13,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09644228411439598,32
7,1,14,1,13,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1258637908921903,33
8,2,16,1,15,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07382491377191888,35
9,2,18,2,16,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07508568928346386,35
10,2,20,3,17,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07499979054871164,35
11,1,21,4,17,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08344732806675002,35
12,3,24,5,19,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07740094978504539,34
13,2,26,6,20,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07690440717278747,32
14,3,29,9,20,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.17016604477315875,31
15,3,32,9,23,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.14586713588908012,30
16,3,35,9,26,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1251765191799515,30
17,0,35,9,26,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13330020485202557,29
18,3,38,10,28,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12563435148218094,29
19,1,39,11,28,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.14055938284259736,28
20,0,39,11,28,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.14759278625798197,28
21,1,40,11,29,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12948193734159208,28
22,6,46,16,30,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.16085108787836574,28
23,4,50,17,33,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12342727272748252,27
24,3,53,20,33,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2290008654270138,28
25,2,55,21,34,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13177884735407697,28
26,4,59,22,37,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1251756495275311,30
27,3,62,23,39,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10871321450017594,30
28,1,63,24,39,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12140557964483387,31
29,0,63,24,39,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1035966213905869,30
30,0,63,24,39,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1035966213905869,30
31,1,64,24,40,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0986934688428044,31
32,0,64,24,40,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09506916761128534,31
33,2,66,25,41,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10109066381897829,31
34,7,73,27,46,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08170379769676556,29
35,2,75,28,47,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13406937893807727,30
36,2,77,29,48,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11812738729615431,30
37,2,79,29,50,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06348353352946993,31
38,0,79,29,50,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08306742720676476,32
39,1,80,29,51,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05370064210006714,36
40,1,81,29,52,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06522937795991167,37
41,0,81,29,52,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06522937795991167,37
42,1,82,30,52,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07154831100447642,38
43,2,84,32,52,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09326084389570807,40
44,0,84,32,52,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1155444083895102,39
45,3,87,33,54,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.14103827636703456,40
46,2,89,33,56,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08058567187502784,39
47,0,89,33,56,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08058567187502784,39
48,2,91,35,56,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11858606725656386,39
49,2,93,36,57,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09499473007675208,37
50,1,94,37,57,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09280860731251427,35
51,1,95,38,57,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08460799271537069,34
52,3,98,38,60,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08228123577046861,34
53,1,99,38,61,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05204416995286429,35
54,0,99,38,61,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07949676113343632,36
55,0,99,38,61,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07949676113343632,36
56,3,102,39,63,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12814135495645845,36
57,2,104,39,65,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1315310367720801,37
58,2,106,39,67,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11728984669762811,38
59,3,109,40,69,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13851169794243906,37
60,1,110,41,69,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09502605546909049,38
61,4,114,42,72,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13133813579415493,37
62,0,114,42,72,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12772002185449635,39
63,2,116,43,73,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1175031262854446,39
64,2,118,44,74,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0757415719224586,38
65,5,123,46,77,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08437777543264709,39
66,2,125,48,77,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11486704778337158,39
67,6,131,50,81,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06102790950473254,36
68,1,132,50,82,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09405858546044815,36
69,2,134,51,83,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07798165916701938,37
70,1,135,51,84,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06439559613220389,36
71,0,135,51,84,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07244415200390616,38
72,1,136,52,84,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11538742333460263,38
73,3,139,53,86,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08746829618819897,37
74,0,139,53,86,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07501381102631258,38
75,0,139,53,86,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07501381102631258,38
76,5,144,55,89,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1106711262838008,39
77,3,147,55,92,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08570512840353123,40
78,1,148,55,93,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.056007437708674536,41
79,0,148,55,93,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.056007437708674536,41
80,0,148,55,93,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.056007437708674536,41
81,1,149,56,93,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08925285396541469,41
82,3,152,56,96,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04507702763603282,44
83,0,152,56,96,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04507702763603282,44
84,0,152,56,96,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.03101478555827783,45
85,1,153,57,96,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07362820664282656,45
86,1,154,57,97,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07023035699161692,45
87,0,154,57,97,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07019567378194412,44
88,1,155,58,97,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08735996189813089,44
89,0,155,58,97,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06633350351803538,43
90,2,157,58,99,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08696813395877284,44
91,2,159,60,99,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.14346316183925145,44
92,0,159,60,99,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1290499800100109,43
93,4,163,60,103,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08806426194120856,44
94,1,164,61,103,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10306346579037867,44
95,3,167,61,106,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04878910137695957,43
96,0,167,61,106,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.047242503947114725,44
97,1,168,62,106,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07340306327484758,44
98,1,169,62,107,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08773812839737044,43
99,2,171,63,108,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09527153351185294,43
100,3,174,63,111,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05175771625845691,47
101,0,174,63,111,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05175771625845691,47
102,1,175,64,111,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.059334589210410835,47
103,8,183,68,115,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09682336861510113,46
104,2,185,70,115,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12334242760729718,45
105,4,189,72,117,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10317236161008511,44
106,7,196,75,121,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09825507079248293,45
107,1,197,75,122,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08621539521453225,44
108,3,200,76,124,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0669285372923987,46
109,4,204,79,125,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10745114838517347,46
110,3,207,80,127,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07027681153165495,46
111,0,207,80,127,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05409030478670976,46
112,2,209,82,127,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09628497748809513,46
113,2,211,82,129,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05778035622748276,46
114,0,211,82,129,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05778035622748276,46
115,3,214,83,131,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0517414629892961,47
116,1,215,84,131,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.054274937819366924,47
117,4,219,85,134,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.051802896850546995,45
118,2,221,86,135,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04510959007870192,46
119,1,222,86,136,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05297663610209054,46
120,1,223,86,137,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04792179216101743,47
121,0,223,86,137,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.046673076789628634,46
122,2,225,87,138,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06488813070369111,46
123,1,226,87,139,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0644168153134736,45
124,1,227,87,140,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05531824180018636,46
125,0,227,87,140,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05702524431173509,44
126,4,231,88,143,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05632018624764888,45
127,0,231,88,143,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05850395835084845,45
128,0,231,88,143,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0661152730430559,46
129,3,234,90,144,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07867287712810912,48
130,3,237,91,146,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.03916861121539324,48
131,1,238,91,147,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.013805648685002184,49
132,4,242,94,148,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.03802631336926228,51
133,3,245,96,149,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04501967802960605,49
134,2,247,98,149,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.057408398989340734,49
135,1,248,98,150,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.02635394548758488,49
136,5,253,102,151,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0686283267927214,48
137,3,256,103,153,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06109032843730045,47
138,3,259,104,155,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04457608038416277,48
139,4,263,105,158,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04643720569425675,48
140,3,266,107,159,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04721421410203833,49
141,3,269,110,159,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09017192880862716,49
142,7,276,113,163,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08600489665287879,49
143,4,280,115,165,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09608923530877551,47
144,1,281,115,166,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06004480733829877,46
145,2,283,115,168,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.02364506467294534,44
146,0,283,115,168,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.025258357624691707,44
147,0,283,115,168,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.041947040247042794,43
148,1,284,116,168,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08042613004984948,43
149,2,286,118,168,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12107891103886471,43
150,3,289,119,170,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09148248749306015,42
151,3,292,120,172,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09092807776150652,42
152,0,292,120,172,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09092807776150652,42
153,1,293,120,173,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0752670583275519,42
154,6,299,122,177,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10193158864646557,43
155,0,299,122,177,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0703642586553959,43
156,2,301,123,178,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08406323437373542,42
157,3,304,123,181,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0919336358031633,41
158,2,306,123,183,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06057512633160414,42
