,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,27,27,27,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.39050516080563324,26
2,21,48,48,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.379384355868756,27
3,18,66,66,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2989236684515959,28
4,19,85,85,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3156900018763717,29
5,20,105,105,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.38186625874311664,29
6,10,115,115,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.257896971269174,32
7,12,127,127,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1954271024923558,33
8,18,145,145,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2591266787554084,35
9,21,166,166,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3054148213642207,35
10,18,184,184,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2707805166598556,35
11,14,198,198,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3879607336282463,35
12,12,210,210,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.34393569186639383,34
13,13,223,223,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4125951920703137,32
14,9,232,232,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.43407091970603334,31
15,12,244,244,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4597913953105632,30
16,9,253,253,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.41526456677102075,30
17,6,259,259,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3104406987780828,29
18,8,267,267,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3100444933910029,29
19,8,275,275,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.37733048746990183,28
20,7,282,282,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3749381959104199,28
21,7,289,289,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.30382688111329464,28
22,10,299,299,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4071187647217063,28
23,9,308,308,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.34718007853044586,27
24,12,320,320,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.41153425369698243,28
