,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5196676988036508,26
2,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5056816103014682,27
3,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5093750967767954,28
4,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5133055654535106,29
5,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5133055654535106,29
6,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.47211690988450783,32
7,2,2,2,0,0,0,0,0.9901654927049179,0.9675461259262289,0.9901654927049179,0.9675461259262289,1.0,1,0.48432619633533186,33
8,0,2,2,0,0,0,0,0.9907274645503512,0.9675461259262289,0.9907274645503512,0.9675461259262289,1.0,1,0.4632253999127689,35
9,2,4,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4634171877462323,35
10,3,7,7,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.47047976274626896,35
11,0,7,7,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4562071227387044,35
12,2,9,9,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.44731948986566394,34
13,1,10,10,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4265720632437585,32
14,3,13,13,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4445053197042874,31
15,0,13,13,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.43276131507387666,30
16,2,15,15,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.43703354451578796,30
