,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5196675208516938,26
2,3,3,3,0,0,0,0,0.9595205845604203,0.9006414348301224,0.9595205845604203,0.9006414348301224,1.0,1,0.5211594036275065,27
3,5,8,8,0,0,0,0,0.9875240678821309,0.9650673900699667,0.9875240678821309,0.9650673900699667,1.0,1,0.5426773604948483,28
4,2,10,10,0,0,0,0,0.995111099741108,0.9858221892492133,0.995111099741108,0.9858221892492133,1.0,1,0.5320304494798392,29
5,5,15,15,0,0,0,0,0.9758630141188964,0.9363661281316362,0.9758630141188964,0.9363661281316362,1.0,1,0.5848403472506262,29
6,0,15,15,0,0,0,0,0.97812585654525,0.9363661281316362,0.97812585654525,0.9363661281316362,1.0,1,0.5406285751524232,32
7,2,17,17,0,0,0,0,0.9922774722797555,0.9768324168392666,0.9922774722797555,0.9768324168392666,1.0,1,0.5516538879205065,33
8,2,19,19,0,0,0,0,0.9783134936904145,0.9309974799240462,0.9783134936904145,0.9309974799240462,1.0,1,0.486014255045925,35
9,5,24,24,0,0,0,0,0.9513076380637318,0.857980611019218,0.9513076380637318,0.857980611019218,1.0,1,0.46175270273329294,35
10,1,25,25,0,0,0,0,0.9742557231079049,0.9180863917069705,0.9742557231079049,0.9180863917069705,1.0,1,0.47753110962434164,35
11,1,26,26,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4506423146547345,35
12,2,28,28,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.45915320811140914,34
13,2,30,30,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.48496532186190494,32
14,1,31,31,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5133849160969983,31
15,1,32,32,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5221231639367971,30
16,1,33,33,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5314771186027222,30
17,0,33,33,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5170637081306168,29
18,1,34,34,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5165432858884071,29
19,6,40,40,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4590124050496926,28
20,7,47,47,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5003413252284001,28
21,4,51,51,0,0,0,0,0.9622104239022897,0.903808351751283,0.9622104239022897,0.903808351751283,1.0,1,0.6042044940137793,28
22,6,57,57,0,0,0,0,0.999070672922051,0.9973978841817429,0.999070672922051,0.9973978841817429,1.0,1,0.5894087683791733,28
23,3,60,60,0,0,0,0,0.8915347324710753,0.7747259828245412,0.8915347324710753,0.7747259828245412,1.0,1,0.6112575527854707,27
24,7,67,67,0,0,0,0,0.8823087385598302,0.7465111292057881,0.8823087385598302,0.7465111292057881,1.0,1,0.6103599067382193,28
25,2,69,69,0,0,0,0,0.8822010734725011,0.7462792351715407,0.8822010734725011,0.7462792351715407,1.0,1,0.5798765067470275,28
26,5,74,74,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.46846093979207776,30
27,0,74,74,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4595143850870472,30
28,3,77,77,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4129551874492991,31
29,1,78,78,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4347609211744392,30
30,1,79,79,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.45352951893218113,30
31,4,83,83,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5538974956851285,31
32,1,84,84,0,0,0,0,0.9760287480730776,0.9324446536604915,0.9760287480730776,0.9324446536604915,1.0,1,0.5650370250084399,31
33,3,87,87,0,0,0,0,0.890291127690436,0.7570732113145369,0.890291127690436,0.7570732113145369,1.0,1,0.5650129254793177,31
34,1,88,88,0,0,0,0,0.908351150508505,0.7955525665189725,0.908351150508505,0.7955525665189725,1.0,1,0.6058186781952083,29
35,2,90,90,0,0,0,0,0.8485157858424556,0.697031571684911,0.8485157858424556,0.697031571684911,1.0,1,0.5966128015262632,30
36,1,91,91,0,0,0,0,0.8810867978067941,0.745185995300273,0.8810867978067941,0.745185995300273,1.0,1,0.6219991097191884,30
37,2,93,93,0,0,0,0,0.8839679784117157,0.7430719521973703,0.8839679784117157,0.7430719521973703,1.0,1,0.6139943720476433,31
38,2,95,95,0,0,0,0,0.8939309174513205,0.7575563827458756,0.8939309174513205,0.7575563827458756,1.0,1,0.5902073983483276,32
39,1,96,96,0,0,0,0,0.9401529202003596,0.8342696251702261,0.9401529202003596,0.8342696251702261,1.0,1,0.5468565878565289,36
40,0,96,96,0,0,0,0,0.9417704088435931,0.8342696251702261,0.9417704088435931,0.8342696251702261,1.0,1,0.5439468796565369,37
41,1,97,97,0,0,0,0,0.9671630957743055,0.8987528786374419,0.9671630957743055,0.8987528786374419,1.0,1,0.5448140991995466,37
42,1,98,98,0,0,0,0,0.9892538593130423,0.9628769685359642,0.9892538593130423,0.9628769685359642,1.0,1,0.5350488802585215,38
43,2,100,100,0,0,0,0,0.9857038187814731,0.9480138864780835,0.9857038187814731,0.9480138864780835,1.0,1,0.5368997336185869,40
44,1,101,101,0,0,0,0,0.9573081137868505,0.8612513698072645,0.9573081137868505,0.8612513698072645,1.0,1,0.5491600030484535,39
45,2,103,103,0,0,0,0,0.9932268144605965,0.9753702344021691,0.9932268144605965,0.9753702344021691,1.0,1,0.5357079708659114,40
46,0,103,103,0,0,0,0,0.993053143036509,0.9753702344021691,0.993053143036509,0.9753702344021691,1.0,1,0.538761008213962,39
47,0,103,103,0,0,0,0,0.9930531430365093,0.9753702344021691,0.9930531430365093,0.9753702344021691,1.0,1,0.538761008213962,39
48,1,104,104,0,0,0,0,0.971638228815121,0.9078242436491427,0.971638228815121,0.9078242436491427,1.0,1,0.5360141773688621,39
49,0,104,104,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5273079999697902,37
50,4,108,108,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5001232288865326,35
51,0,108,108,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.49245794348350663,34
52,3,111,111,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.530176195086241,34
53,4,115,115,0,0,0,0,0.9347658016163174,0.8243694658900851,0.9347658016163174,0.8243694658900851,1.0,1,0.5112800393173687,35
54,1,116,116,0,0,0,0,0.906409142567351,0.759337795173188,0.906409142567351,0.759337795173188,1.0,1,0.524014276798412,36
