,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
1,1,1,0,1,0,0,0,0.985101638410121,0.7567950042750686,1.0,1.0,0.985101638410121,0.7567950042750686,0.10785875717242081,30
2,0,1,0,1,0,0,0,0.9906979748580924,0.7900056991438724,1.0,1.0,0.9906979748580924,0.7900056991438724,0.10298778700666657,32
3,1,2,0,2,0,0,0,0.9784404914222141,0.46343240044289075,1.0,1.0,0.9784404914222141,0.46343240044289075,0.06794807347803408,33
4,1,3,1,2,0,0,0,0.9830969438458899,0.5955215028090337,1.0,1.0,0.9830969438458899,0.5955215028090337,0.10121778533555349,34
5,1,4,2,2,0,0,0,0.9776776268066784,0.4628979527662133,1.0,1.0,0.9776776268066784,0.4628979527662133,0.11424089927723231,36
6,0,4,2,2,0,0,0,0.9854522391829905,0.6048282983124036,1.0,1.0,0.9854522391829905,0.6048282983124036,0.09664746518902631,38
7,1,5,3,2,0,0,0,0.9762912052975732,0.4196357009772591,1.0,1.0,0.9762912052975732,0.4196357009772591,0.14469123508566248,40
8,1,6,4,2,0,0,0,0.9835314495023869,0.5587000044290561,1.0,1.0,0.9835314495023869,0.5587000044290561,0.16396770047401465,40
9,1,7,4,3,0,0,0,0.9868440980172959,0.6885855745564673,1.0,1.0,0.9868440980172959,0.6885855745564673,0.12054540640672316,40
10,1,8,5,3,0,0,0,0.9672109770981608,0.3972180295888753,1.0,1.0,0.9672109770981608,0.3972180295888753,0.1511370967114112,41
11,2,10,6,4,0,0,0,0.9638807614043218,0.4383306335716587,1.0,1.0,0.9638807614043218,0.4383306335716587,0.10487679415069949,40
12,0,10,6,4,0,0,0,0.9764168331600676,0.6252883073725483,1.0,1.0,0.9764168331600676,0.6252883073725483,0.1066194841597693,39
13,4,14,8,6,0,0,0,0.9813617638423316,0.7287481974844962,1.0,1.0,0.9813617638423316,0.7287481974844962,0.09648565664187692,37
14,0,14,8,6,0,0,0,0.9782915433847115,0.7829459501206278,1.0,1.0,0.9782915433847115,0.7829459501206278,0.1304270031970533,35
15,2,16,9,7,0,0,0,0.9833291272363753,0.8240627189155031,1.0,1.0,0.9833291272363753,0.8240627189155031,0.11005029515474762,36
16,3,19,10,9,0,0,0,0.9862445752975981,0.8413024854569333,1.0,1.0,0.9862445752975981,0.8413024854569333,0.15702744790712966,34
17,0,19,10,9,0,0,0,0.975304979199209,0.7601206321189706,1.0,1.0,0.975304979199209,0.7601206321189706,0.1883173075860485,33
18,1,20,11,9,0,0,0,0.9733569106103078,0.49895496329021993,1.0,1.0,0.9733569106103078,0.49895496329021993,0.24872615418184385,34
19,1,21,11,10,0,0,0,0.968089085661857,0.319862290905807,1.0,1.0,0.968089085661857,0.319862290905807,0.23029025387126453,34
20,1,22,11,11,0,0,0,0.9880931359293335,0.8435550689162751,1.0,1.0,0.9880931359293335,0.8435550689162751,0.20019598098474192,34
21,0,22,11,11,0,0,0,0.9733067454259715,0.44387621373763764,1.0,1.0,0.9733067454259715,0.44387621373763764,0.2269630363303958,36
22,0,22,11,11,0,0,0,0.9762675447066069,0.5741974431339139,1.0,1.0,0.9762675447066069,0.5741974431339139,0.2354081318739147,35
23,1,23,11,12,0,0,0,0.9633345131696176,0.4437370580835563,1.0,1.0,0.9633345131696176,0.4437370580835563,0.22973700052311685,35
24,0,23,11,12,0,0,0,0.9689396500391227,0.5756911641058692,1.0,1.0,0.9689396500391227,0.5756911641058692,0.17265135053083044,35
25,2,25,12,13,0,0,0,0.9725745255376256,0.6746234434854974,1.0,1.0,0.9725745255376256,0.6746234434854974,0.18719423453189188,35
26,2,27,12,15,0,0,0,0.9580548266475082,0.406274626513442,1.0,1.0,0.9580548266475082,0.406274626513442,0.1126148728580517,36
27,1,28,13,15,0,0,0,0.9602561605770679,0.5389252152847755,1.0,1.0,0.9602561605770679,0.5389252152847755,0.12024212836335872,34
