,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
1,0,0,0,0,0,0,0,0.985101638410121,0.7567950042750686,1.0,1.0,0.985101638410121,0.7567950042750686,0.14899064322920705,30
2,0,0,0,0,0,0,0,0.9906979748580924,0.7900056991438724,1.0,1.0,0.9906979748580924,0.7900056991438724,0.1410645407506623,32
3,0,0,0,0,0,0,0,0.9784404914222141,0.46343240044289075,1.0,1.0,0.9784404914222141,0.46343240044289075,0.1543456409349955,33
4,1,1,1,0,0,0,0,0.9830969438458899,0.5955215028090337,1.0,1.0,0.9830969438458899,0.5955215028090337,0.18541047947940065,34
5,1,2,2,0,0,0,0,0.9776776268066784,0.4628979527662133,1.0,1.0,0.9776776268066784,0.4628979527662133,0.1944706314894921,36
6,1,3,3,0,0,0,0,0.9854522391829905,0.6048282983124036,1.0,1.0,0.9854522391829905,0.6048282983124036,0.1295953253831945,38
7,1,4,4,0,0,0,0,0.9762912052975732,0.4196357009772591,1.0,1.0,0.9762912052975732,0.4196357009772591,0.17608965528195578,40
8,1,5,5,0,0,0,0,0.9835314495023869,0.5587000044290561,1.0,1.0,0.9835314495023869,0.5587000044290561,0.19536612067030798,40
9,0,5,5,0,0,0,0,0.9868440980172959,0.6885855745564673,1.0,1.0,0.9868440980172959,0.6885855745564673,0.19536612067030798,40
10,1,6,6,0,0,0,0,0.9672109770981608,0.3972180295888753,1.0,1.0,0.9672109770981608,0.3972180295888753,0.22425289441838653,41
11,1,7,7,0,0,0,0,0.9638807614043218,0.4383306335716587,1.0,1.0,0.9638807614043218,0.4383306335716587,0.22237693050030066,40
12,0,7,7,0,0,0,0,0.9764168331600676,0.6252883073725483,1.0,1.0,0.9764168331600676,0.6252883073725483,0.2260720668569062,39
13,3,10,10,0,0,0,0,0.9813617638423316,0.7287481974844962,1.0,1.0,0.9813617638423316,0.7287481974844962,0.2486303125389447,37
14,1,11,11,0,0,0,0,0.9782915433847115,0.7829459501206278,1.0,1.0,0.9782915433847115,0.7829459501206278,0.21623452057296144,35
15,1,12,12,0,0,0,0,0.9833291272363753,0.8240627189155031,1.0,1.0,0.9833291272363753,0.8240627189155031,0.22278009117604644,36
16,3,15,15,0,0,0,0,0.9862445752975981,0.8413024854569333,1.0,1.0,0.9862445752975981,0.8413024854569333,0.24585817286174,34
17,1,16,16,0,0,0,0,0.975304979199209,0.7601206321189706,1.0,1.0,0.975304979199209,0.7601206321189706,0.2561225798317215,33
18,1,17,17,0,0,0,0,0.9733569106103078,0.49895496329021993,1.0,1.0,0.9733569106103078,0.49895496329021993,0.3148335272254943,34
19,0,17,17,0,0,0,0,0.968089085661857,0.319862290905807,1.0,1.0,0.968089085661857,0.319862290905807,0.3148335272254943,34
20,0,17,17,0,0,0,0,0.9880931359293335,0.8435550689162751,1.0,1.0,0.9880931359293335,0.8435550689162751,0.30009551220426345,34
21,0,17,17,0,0,0,0,0.9733067454259715,0.44387621373763764,1.0,1.0,0.9733067454259715,0.44387621373763764,0.321130125269544,36
22,0,17,17,0,0,0,0,0.9762675447066069,0.5741974431339139,1.0,1.0,0.9762675447066069,0.5741974431339139,0.3330790956113736,35
23,0,17,17,0,0,0,0,0.9633345131696176,0.4437370580835563,1.0,1.0,0.9633345131696176,0.4437370580835563,0.347909165077281,35
24,1,18,18,0,0,0,0,0.9689396500391227,0.5756911641058692,1.0,1.0,0.9689396500391227,0.5756911641058692,0.2701792793449309,35
25,1,19,19,0,0,0,0,0.9725745255376256,0.6746234434854974,1.0,1.0,0.9725745255376256,0.6746234434854974,0.29448541722427823,35
26,0,19,19,0,0,0,0,0.9580548266475082,0.406274626513442,1.0,1.0,0.9580548266475082,0.406274626513442,0.2592403818585307,36
27,3,22,22,0,0,0,0,0.9602561605770679,0.5389252152847755,1.0,1.0,0.9602561605770679,0.5389252152847755,0.190319626941545,34
28,1,23,23,0,0,0,0,0.9663599170090093,0.6438694877085994,1.0,1.0,0.9663599170090093,0.6438694877085994,0.22112704728969204,35
29,2,25,25,0,0,0,0,0.9664107314501479,0.7103703953580708,1.0,1.0,0.9664107314501479,0.7103703953580708,0.15651212392218078,33
30,0,25,25,0,0,0,0,0.9673920932487277,0.7426093474115767,1.0,1.0,0.9673920932487277,0.7426093474115767,0.15651212392218078,33
31,1,26,26,0,0,0,0,0.9529960221697549,0.4749197492279606,1.0,1.0,0.9529960221697549,0.4749197492279606,0.1547420118061093,33
32,0,26,26,0,0,0,0,0.9605743298388061,0.5941330791131031,1.0,1.0,0.9605743298388061,0.5941330791131031,0.15826565936259643,32
33,0,26,26,0,0,0,0,0.9689275858840323,0.6803723390823394,1.0,1.0,0.9689275858840323,0.6803723390823394,0.1322758023746716,33
34,0,26,26,0,0,0,0,0.9730744089537904,0.6838329975316206,1.0,1.0,0.9730744089537904,0.6838329975316206,0.1322758023746716,33
35,0,26,26,0,0,0,0,0.9799799296033387,0.725786887997999,1.0,1.0,0.9799799296033387,0.725786887997999,0.11279700391844945,35
36,1,27,27,0,0,0,0,0.9682200520007965,0.4236781116993835,1.0,1.0,0.9682200520007965,0.4236781116993835,0.07343849764403075,36
37,0,27,27,0,0,0,0,0.9760255415252685,0.5471257649349991,1.0,1.0,0.9760255415252685,0.5471257649349991,0.08473773308392529,37
38,1,28,28,0,0,0,0,0.9789279415980197,0.6525406442726907,1.0,1.0,0.9789279415980197,0.6525406442726907,0.044176437387247657,36
39,1,29,29,0,0,0,0,0.968001050952095,0.4716675451140277,1.0,1.0,0.968001050952095,0.4716675451140277,0.02468365325809238,38
40,1,30,30,0,0,0,0,0.9596301797509389,0.4231400455631668,1.0,1.0,0.9596301797509389,0.4231400455631668,0.04954952063496722,40
41,1,31,31,0,0,0,0,0.9656683107831145,0.5410767243499444,1.0,1.0,0.9656683107831145,0.5410767243499444,0.06760817653533167,40
42,1,32,32,0,0,0,0,0.9699301409274115,0.644734633084935,1.0,1.0,0.9699301409274115,0.644734633084935,0.09354448968835877,40
43,1,33,33,0,0,0,0,0.9629707534954162,0.5158644095794427,1.0,1.0,0.9629707534954162,0.5158644095794427,0.09978262692324746,43
44,0,33,33,0,0,0,0,0.966430511929642,0.6283448846637588,1.0,1.0,0.966430511929642,0.6283448846637588,0.09978262692324746,43
45,2,35,35,0,0,0,0,0.9691337731160066,0.7046674184092372,1.0,1.0,0.9691337731160066,0.7046674184092372,0.08845054880019283,44
46,0,35,35,0,0,0,0,0.9700987433611644,0.743688569478148,1.0,1.0,0.9700987433611644,0.743688569478148,0.08845054880019283,44
47,2,37,37,0,0,0,0,0.9693516476179482,0.7083562308681413,1.0,1.0,0.9693516476179482,0.7083562308681413,0.09591009757914751,44
48,0,37,37,0,0,0,0,0.9696241328343695,0.7198515482478685,1.0,1.0,0.9696241328343695,0.7198515482478685,0.09591009757914751,44
49,2,39,39,0,0,0,0,0.96743555994513,0.7210879100409026,1.0,1.0,0.96743555994513,0.7210879100409026,0.05743237302353654,41
50,0,39,39,0,0,0,0,0.9666301727996703,0.7214368642773926,1.0,1.0,0.9666301727996703,0.7214368642773926,0.04126945330975547,40
51,1,40,40,0,0,0,0,0.9648740287381262,0.7214430443393633,1.0,1.0,0.9648740287381262,0.7214430443393633,0.026547865750825447,38
52,1,41,41,0,0,0,0,0.9639292648045347,0.7216127500583621,1.0,1.0,0.9639292648045347,0.7216127500583621,0.01412353556959988,37
53,0,41,41,0,0,0,0,0.9503885061724272,0.4493804367844479,1.0,1.0,0.9503885061724272,0.4493804367844479,0.0010216158965131096,38
54,1,42,42,0,0,0,0,0.9391184764452603,0.4530416193074252,1.0,1.0,0.9391184764452603,0.4530416193074252,0.04973052467968069,38
55,0,42,42,0,0,0,0,0.9435423893782937,0.5507358143577801,1.0,1.0,0.9435423893782937,0.5507358143577801,0.04973052467968069,38
56,1,43,43,0,0,0,0,0.9231785722675717,0.3915318042249911,1.0,1.0,0.9231785722675717,0.3915318042249911,0.1496901073927452,38
57,3,46,46,0,0,0,0,0.9359839889104485,0.483189689457147,1.0,1.0,0.9359839889104485,0.483189689457147,0.21808804230908688,38
58,1,47,47,0,0,0,0,0.931962280044924,0.5572041112955198,1.0,1.0,0.931962280044924,0.5572041112955198,0.2464582071133147,38
59,2,49,49,0,0,0,0,0.9192013266222043,0.4207507484993335,1.0,1.0,0.9192013266222043,0.4207507484993335,0.2874415994637586,40
60,0,49,49,0,0,0,0,0.9155457401524594,0.40840434806300674,1.0,1.0,0.9155457401524594,0.40840434806300674,0.2874415994637586,40
61,0,49,49,0,0,0,0,0.9333013681382145,0.6344529655454898,1.0,1.0,0.9333013681382145,0.6344529655454898,0.3078443598368327,40
