,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
1,0,0,0,0,0,0,0,0.985101638410121,0.7567950042750686,1.0,1.0,0.985101638410121,0.7567950042750686,0.1489907035661188,30
2,0,0,0,0,0,0,0,0.9906979748580924,0.7900056991438724,1.0,1.0,0.9906979748580924,0.7900056991438724,0.14106459363453125,32
3,0,0,0,0,0,0,0,0.9784404914222141,0.46343240044289075,1.0,1.0,0.9784404914222141,0.46343240044289075,0.15434569733573414,33
4,1,1,1,0,0,0,0,0.9830969438458899,0.5955215028090337,1.0,1.0,0.9830969438458899,0.5955215028090337,0.18541054550275549,34
5,1,2,2,0,0,0,0,0.9776776268066784,0.4628979527662133,1.0,1.0,0.9776776268066784,0.4628979527662133,0.19447069747951276,36
6,1,3,3,0,0,0,0,0.9854522391829905,0.6048282983124036,1.0,1.0,0.9854522391829905,0.6048282983124036,0.12959536742312355,38
7,1,4,4,0,0,0,0,0.9762912052975732,0.4196357009772591,1.0,1.0,0.9762912052975732,0.4196357009772591,0.17608970971806256,40
8,1,5,5,0,0,0,0,0.9835314495023869,0.5587000044290561,1.0,1.0,0.9835314495023869,0.5587000044290561,0.195366181065514,40
9,0,5,5,0,0,0,0,0.9868440980172959,0.6885855745564673,1.0,1.0,0.9868440980172959,0.6885855745564673,0.195366181065514,40
10,1,6,6,0,0,0,0,0.9672109770981608,0.3972180295888753,1.0,1.0,0.9672109770981608,0.3972180295888753,0.224252962163916,41
11,1,7,7,0,0,0,0,0.9638807614043218,0.4383306335716587,1.0,1.0,0.9638807614043218,0.4383306335716587,0.22237699877088957,40
12,0,7,7,0,0,0,0,0.9764168331600676,0.6252883073725483,1.0,1.0,0.9764168331600676,0.6252883073725483,0.2260721374151883,39
13,3,10,10,0,0,0,0,0.9813617638423316,0.7287481974844962,1.0,1.0,0.9813617638423316,0.7287481974844962,0.24863039456582298,37
14,1,11,11,0,0,0,0,0.9782915433847115,0.7829459501206278,1.0,1.0,0.9782915433847115,0.7829459501206278,0.21623459685956128,35
15,1,12,12,0,0,0,0,0.9833291272363753,0.8240627189155031,1.0,1.0,0.9833291272363753,0.8240627189155031,0.22278016734608183,36
16,3,15,15,0,0,0,0,0.9862445752975981,0.8413024854569333,1.0,1.0,0.9862445752975981,0.8413024854569333,0.24585826181518008,34
17,1,16,16,0,0,0,0,0.975304979199209,0.7601206321189706,1.0,1.0,0.975304979199209,0.7601206321189706,0.2561226760190767,33
18,1,17,17,0,0,0,0,0.9733569106103078,0.49895496329021993,1.0,1.0,0.9733569106103078,0.49895496329021993,0.31483364250112905,34
19,0,17,17,0,0,0,0,0.968089085661857,0.319862290905807,1.0,1.0,0.968089085661857,0.319862290905807,0.31483364250112905,34
20,0,17,17,0,0,0,0,0.9880931359293335,0.8435550689162751,1.0,1.0,0.9880931359293335,0.8435550689162751,0.30009562043367766,34
21,0,17,17,0,0,0,0,0.9408771079142427,0.419245301881376,0.9660891405164214,0.9445095026632352,0.9733067454259715,0.44387621373763764,0.3211302344393507,36
22,0,17,17,0,0,0,0,0.9427047292707508,0.5423349414449142,0.9651202588168906,0.9445095026632352,0.9762675447066069,0.5741974431339139,0.33307921305655497,35
23,0,17,17,0,0,0,0,0.9074556701428732,0.4037750633353621,0.9408191429416037,0.9099421740415711,0.9633345131696176,0.4437370580835563,0.34790928742541943,35
24,1,18,18,0,0,0,0,0.9660444476797553,0.5727616048521387,0.9969467386997883,0.9949112311663137,0.9689396500391227,0.5756911641058692,0.2701793746430781,35
25,1,19,19,0,0,0,0,0.969660826137107,0.6711904407318143,0.9969467386997881,0.9949112311663137,0.9725745255376256,0.6746234434854974,0.2944855224094838,35
26,0,19,19,0,0,0,0,0.9580548266475082,0.406274626513442,1.0,1.0,0.9580548266475082,0.406274626513442,0.2592404722204639,36
27,3,22,22,0,0,0,0,0.9602561605770679,0.5389252152847755,1.0,1.0,0.9602561605770679,0.5389252152847755,0.1903196972029117,34
28,1,23,23,0,0,0,0,0.9663599170090093,0.6438694877085994,1.0,1.0,0.9663599170090093,0.6438694877085994,0.2211271262837897,35
29,2,25,25,0,0,0,0,0.9664107314501479,0.7103703953580708,1.0,1.0,0.9664107314501479,0.7103703953580708,0.15651218348321563,33
30,0,25,25,0,0,0,0,0.9673920932487277,0.7426093474115767,1.0,1.0,0.9673920932487277,0.7426093474115767,0.15651218348321563,33
31,1,26,26,0,0,0,0,0.9529960221697549,0.4749197492279606,1.0,1.0,0.9529960221697549,0.4749197492279606,0.15474207121001302,33
32,0,26,26,0,0,0,0,0.9605743298388061,0.5941330791131031,1.0,1.0,0.9605743298388061,0.5941330791131031,0.15826572150268878,32
33,0,26,26,0,0,0,0,0.9689275858840323,0.6803723390823394,1.0,1.0,0.9689275858840323,0.6803723390823394,0.13227585267406958,33
