,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
1,0,0,0,0,0,0,0,0.985101638410121,0.7567950042750686,1.0,1.0,0.985101638410121,0.7567950042750686,0.14899067339765681,30
2,3,3,3,0,0,0,0,0.9909466194753074,0.7979623268947525,1.0,1.0,0.9909466194753074,0.7979623268947525,0.20698138800787666,32
3,0,3,3,0,0,0,0,0.9790246159485286,0.46343240044289075,1.0,1.0,0.9790246159485286,0.46343240044289075,0.21859688013312864,33
4,2,5,5,0,0,0,0,0.9857243385155519,0.5955215028090337,1.0,1.0,0.9857243385155519,0.5955215028090337,0.2712948475101351,34
5,1,6,6,0,0,0,0,0.9776776268066784,0.4628979527662133,1.0,1.0,0.9776776268066784,0.4628979527662133,0.20918605129550277,36
6,1,7,7,0,0,0,0,0.9854522391829905,0.6048282983124036,1.0,1.0,0.9854522391829905,0.6048282983124036,0.20690001658039395,38
7,0,7,7,0,0,0,0,0.9762912052975732,0.4196357009772591,1.0,1.0,0.9762912052975732,0.4196357009772591,0.22852147980278853,40
8,0,7,7,0,0,0,0,0.9835314495023869,0.5587000044290561,1.0,1.0,0.9835314495023869,0.5587000044290561,0.22852147980278853,40
9,0,7,7,0,0,0,0,0.9868440980172959,0.6885855745564673,1.0,1.0,0.9868440980172959,0.6885855745564673,0.22852147980278853,40
10,1,8,8,0,0,0,0,0.9672109770981608,0.3972180295888753,1.0,1.0,0.9672109770981608,0.3972180295888753,0.2588766707243187,41
11,1,9,9,0,0,0,0,0.9638807614043218,0.4383306335716587,1.0,1.0,0.9638807614043218,0.4383306335716587,0.21189773302693124,40
12,1,10,10,0,0,0,0,0.9808283925166947,0.6252883073725483,1.0,1.0,0.9808283925166947,0.6252883073725483,0.23520856784140753,39
13,1,11,11,0,0,0,0,0.9813617638423316,0.7287481974844962,1.0,1.0,0.9813617638423316,0.7287481974844962,0.2022106316805843,37
14,1,12,12,0,0,0,0,0.9835390677652356,0.7896886153161939,1.0,1.0,0.9835390677652356,0.7896886153161939,0.2298750837545223,35
15,3,15,15,0,0,0,0,0.9866955875971359,0.8267490950360468,1.0,1.0,0.9866955875971359,0.8267490950360468,0.1956651340371887,36
16,1,16,16,0,0,0,0,0.9862445752975981,0.8413024854569333,1.0,1.0,0.9862445752975981,0.8413024854569333,0.22235128994254466,34
17,1,17,17,0,0,0,0,0.9785507275230535,0.7601206321189706,1.0,1.0,0.9785507275230535,0.7601206321189706,0.3057971159566075,33
18,0,17,17,0,0,0,0,0.9733569106103078,0.49895496329021993,1.0,1.0,0.9733569106103078,0.49895496329021993,0.3148335848633011,34
19,0,17,17,0,0,0,0,0.968089085661857,0.319862290905807,1.0,1.0,0.968089085661857,0.319862290905807,0.3148335848633011,34
20,0,17,17,0,0,0,0,0.9880931359293335,0.8435550689162751,1.0,1.0,0.9880931359293335,0.8435550689162751,0.3000955663189608,34
21,2,19,19,0,0,0,0,0.9408771079142427,0.419245301881376,0.9660891405164214,0.9445095026632352,0.9733067454259715,0.44387621373763764,0.2665447035319543,36
22,0,19,19,0,0,0,0,0.9427047292707508,0.5423349414449142,0.9651202588168906,0.9445095026632352,0.9762675447066069,0.5741974431339139,0.27681727272986784,35
23,2,21,21,0,0,0,0,0.9074556701428732,0.4037750633353621,0.9408191429416037,0.9099421740415711,0.9633345131696176,0.4437370580835563,0.33833233428963794,35
24,0,21,21,0,0,0,0,0.9660444476797553,0.5727616048521387,0.9969467386997883,0.9949112311663137,0.9689396500391227,0.5756911641058692,0.30679288147872247,35
25,1,22,22,0,0,0,0,0.969660826137107,0.6711904407318143,0.9969467386997881,0.9949112311663137,0.9725745255376256,0.6746234434854974,0.34783902399616334,35
26,2,24,24,0,0,0,0,0.9580548266475082,0.406274626513442,1.0,1.0,0.9580548266475082,0.406274626513442,0.22213831432464395,36
27,1,25,25,0,0,0,0,0.9602561605770679,0.5389252152847755,1.0,1.0,0.9602561605770679,0.5389252152847755,0.21604716302429142,34
28,3,28,28,0,0,0,0,0.9663599170090093,0.6438694877085994,1.0,1.0,0.9663599170090093,0.6438694877085994,0.1392653139977157,35
29,0,28,28,0,0,0,0,0.9664107314501479,0.7103703953580708,1.0,1.0,0.9664107314501479,0.7103703953580708,0.10483953497195402,33
30,2,30,30,0,0,0,0,0.9674354324577878,0.7440395413105627,1.0,1.0,0.9674354324577878,0.7440395413105627,0.03364938579442191,33
31,0,30,30,0,0,0,0,0.9530440058162476,0.4749197492279606,1.0,1.0,0.9530440058162476,0.4749197492279606,0.015378035485617478,33
32,0,30,30,0,0,0,0,0.9605962847569011,0.5941330791131031,1.0,1.0,0.9605962847569011,0.5941330791131031,0.02657409913226578,32
33,2,32,32,0,0,0,0,0.9689275858840323,0.6803723390823394,1.0,1.0,0.9689275858840323,0.6803723390823394,0.022015105033932253,33
34,1,33,33,0,0,0,0,0.9730744089537904,0.6838329975316206,1.0,1.0,0.9730744089537904,0.6838329975316206,0.06030818144526827,33
35,1,34,34,0,0,0,0,0.9799799296033387,0.725786887997999,1.0,1.0,0.9799799296033387,0.725786887997999,0.12281666682831083,35
36,0,34,34,0,0,0,0,0.9682200520007965,0.4236781116993835,1.0,1.0,0.9682200520007965,0.4236781116993835,0.11898265487879493,36
37,0,34,34,0,0,0,0,0.9760255415252685,0.5471257649349991,1.0,1.0,0.9760255415252685,0.5471257649349991,0.11287998312796917,37
38,3,37,37,0,0,0,0,0.9789279415980197,0.6525406442726907,1.0,1.0,0.9789279415980197,0.6525406442726907,0.12554942028042101,36
39,0,37,37,0,0,0,0,0.968001050952095,0.4716675451140277,1.0,1.0,0.968001050952095,0.4716675451140277,0.1387558344382864,38
40,2,39,39,0,0,0,0,0.9596301797509389,0.4231400455631668,1.0,1.0,0.9596301797509389,0.4231400455631668,0.13654408320404915,40
41,0,39,39,0,0,0,0,0.9656683107831145,0.5410767243499444,1.0,1.0,0.9656683107831145,0.5410767243499444,0.13654408320404915,40
42,2,41,41,0,0,0,0,0.9699301409274115,0.644734633084935,1.0,1.0,0.9699301409274115,0.644734633084935,0.09777702402815412,40
43,1,42,42,0,0,0,0,0.9629707534954162,0.5158644095794427,1.0,1.0,0.9629707534954162,0.5158644095794427,0.11979433969262696,43
44,3,45,45,0,0,0,0,0.9664705319672824,0.6283448846637588,1.0,1.0,0.9664705319672824,0.6283448846637588,0.16480860396969482,43
45,0,45,45,0,0,0,0,0.9691711533133437,0.7046674184092372,1.0,1.0,0.9691711533133437,0.7046674184092372,0.14964832489822155,44
46,2,47,47,0,0,0,0,0.9528088014083383,0.7276328211841193,0.9824789462936462,0.9632892208057349,0.9701257454995846,0.743688569478148,0.16593668650218263,44
47,0,47,47,0,0,0,0,0.9520501192804024,0.7083562308681413,0.9824789462936461,0.9632892208057349,0.9693685942148498,0.7083562308681413,0.16593668650218263,44
48,0,47,47,0,0,0,0,0.952317070084982,0.7198515482478685,0.9824789462936462,0.9632892208057349,0.9696357622095367,0.7198515482478685,0.16593668650218263,44
49,0,47,47,0,0,0,0,0.967448564735204,0.7210879100409026,1.0,1.0,0.967448564735204,0.7210879100409026,0.1544441575192484,41
50,0,47,47,0,0,0,0,0.9666435027094963,0.7214368642773926,1.0,1.0,0.9666435027094963,0.7214368642773926,0.17622814212323237,40
51,0,47,47,0,0,0,0,0.9648880602221535,0.7214430443393633,1.0,1.0,0.9648880602221535,0.7214430443393633,0.14564932802559213,38
52,2,49,49,0,0,0,0,0.96394367551786,0.7216127500583621,1.0,1.0,0.96394367551786,0.7216127500583621,0.19473510236930938,37
53,1,50,50,0,0,0,0,0.9504025376564545,0.4493804367844479,1.0,1.0,0.9504025376564545,0.4493804367844479,0.20638113190354482,38
54,2,52,52,0,0,0,0,0.9391325079292877,0.4530416193074252,1.0,1.0,0.9391325079292877,0.4530416193074252,0.2554029638140683,38
