,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.0,0
1,12,12,0,12,0,0,0,1.0,1,1.0,1,1.0,1,0.10467316284141724,30
2,7,19,0,19,0,0,0,1.0,1,1.0,1,1.0,1,0.19450398474826808,32
3,13,32,0,32,0,0,0,1.0,1,1.0,1,1.0,1,0.1711433510605406,33
4,17,49,0,49,0,0,0,1.0,1,1.0,1,1.0,1,0.20802362341875485,34
5,18,67,0,67,0,0,0,1.0,1,1.0,1,1.0,1,0.21496997875625767,36
6,12,79,0,79,0,0,0,1.0,1,1.0,1,1.0,1,0.18367254051707918,38
7,18,97,0,97,0,0,0,1.0,1,1.0,1,1.0,1,0.14640123155220594,40
8,11,108,0,108,0,0,0,1.0,1,1.0,1,1.0,1,0.19825630452659637,40
9,11,119,0,119,0,0,0,1.0,1,1.0,1,1.0,1,0.12224924694089771,40
10,17,136,0,136,0,0,0,1.0,1,1.0,1,1.0,1,0.14320784822943344,41
11,16,152,0,152,0,0,0,1.0,1,1.0,1,1.0,1,0.09433681682524189,40
12,16,168,0,168,0,0,0,1.0,1,1.0,1,1.0,1,0.10836677639644966,39
13,10,178,0,178,0,0,0,1.0,1,1.0,1,1.0,1,0.13734377622089924,37
14,6,184,0,184,0,0,0,1.0,1,1.0,1,1.0,1,0.12580311193351826,35
15,9,193,0,193,0,0,0,1.0,1,1.0,1,1.0,1,0.06253463397727442,36
16,11,204,0,204,0,0,0,1.0,1,1.0,1,1.0,1,0.13739012775270337,34
17,9,213,0,213,0,0,0,1.0,1,1.0,1,1.0,1,0.1424917250550901,33
18,6,219,0,219,0,0,0,1.0,1,1.0,1,1.0,1,0.25626922299794846,34
19,10,229,0,229,0,0,0,1.0,1,1.0,1,1.0,1,0.20213001339292327,34
20,5,234,0,234,0,0,0,1.0,1,1.0,1,1.0,1,0.11312413249446579,34
21,3,237,0,237,0,0,0,1.0,1,1.0,1,1.0,1,0.10786379773415533,36
22,0,237,0,237,0,0,0,1.0,1,1.0,1,1.0,1,0.12117959424922795,35
23,6,243,0,243,0,0,0,1.0,1,1.0,1,1.0,1,0.09389175941351802,35
24,4,247,1,246,0,0,0,1.0,1,1.0,1,1.0,1,0.129239669398861,35
25,4,251,3,248,0,0,0,1.0,1,1.0,1,1.0,1,0.1315062815412281,35
26,1,252,3,249,0,0,0,1.0,1,1.0,1,1.0,1,0.07511790334019851,36
27,1,253,4,249,0,0,0,1.0,1,1.0,1,1.0,1,0.06045908385719406,34
28,0,253,4,249,0,0,0,1.0,1,1.0,1,1.0,1,0.062103149709029644,35
29,1,254,5,249,0,0,0,1.0,1,1.0,1,1.0,1,0.14113855532953848,33
30,0,254,5,249,0,0,0,1.0,1,1.0,1,1.0,1,0.14113855532953848,33
31,2,256,6,250,0,0,0,1.0,1,1.0,1,1.0,1,0.24623661522511958,33
32,0,256,6,250,0,0,0,1.0,1,1.0,1,1.0,1,0.26892202699222384,32
33,1,257,7,250,0,0,0,1.0,1,1.0,1,1.0,1,0.21013342095758406,33
34,0,257,7,250,0,0,0,1.0,1,1.0,1,1.0,1,0.21013342095758406,33
35,0,257,7,250,0,0,0,1.0,1,1.0,1,1.0,1,0.18595671697541766,35
36,0,257,7,250,0,0,0,1.0,1,1.0,1,1.0,1,0.19828018353976856,36
37,1,258,7,251,0,0,0,1.0,1,1.0,1,1.0,1,0.16866567051626583,37
38,2,260,8,252,0,0,0,1.0,1,1.0,1,1.0,1,0.21413886000244112,36
39,1,261,8,253,0,0,0,1.0,1,1.0,1,1.0,1,0.19835902576596978,38
40,0,261,8,253,0,0,0,1.0,1,1.0,1,1.0,1,0.19319825932385395,40
41,2,263,8,255,0,0,0,1.0,1,1.0,1,1.0,1,0.21374034019410848,40
42,1,264,9,255,0,0,0,1.0,1,1.0,1,1.0,1,0.21049789528987917,40
43,4,268,9,259,0,0,0,1.0,1,1.0,1,1.0,1,0.1965395039297402,43
44,2,270,9,261,0,0,0,1.0,1,1.0,1,1.0,1,0.1965395039297402,43
45,0,270,9,261,0,0,0,1.0,1,1.0,1,1.0,1,0.17928126418318938,44
46,3,273,10,263,0,0,0,1.0,1,1.0,1,1.0,1,0.19227621029148664,44
47,2,275,10,265,0,0,0,1.0,1,1.0,1,1.0,1,0.19227621029148664,44
48,1,276,10,266,0,0,0,1.0,1,1.0,1,1.0,1,0.20550812967385243,44
49,4,280,12,268,0,0,0,1.0,1,1.0,1,1.0,1,0.1936669082068893,41
50,2,282,12,270,0,0,0,1.0,1,1.0,1,1.0,1,0.19413012002082797,40
