,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09526785800053934,30
2,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0870140464051099,32
3,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06586408238513262,33
4,1,1,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10232572723234123,34
5,0,1,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07531450202224038,36
6,1,2,2,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07103389444850995,38
7,1,3,3,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0915813687863118,40
8,1,4,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13495341144078174,40
9,2,6,6,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10367360986140783,40
10,2,8,8,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13478882607557094,41
11,2,10,10,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1350054646283213,40
12,0,10,10,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12478638108744067,39
13,2,12,12,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13844657140557284,37
14,1,13,13,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12424873646412411,35
15,2,15,15,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07461551132746543,36
16,2,17,17,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.15193818016163996,34
17,1,18,18,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.21779274562166395,33
18,0,18,18,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.20607883597632345,34
19,0,18,18,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.20607883597632345,34
20,0,18,18,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1613837171844818,34
21,0,18,18,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.17046983733527887,36
22,1,19,19,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.15760731833181682,35
23,0,19,19,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.18009707857188642,35
24,3,22,22,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1103617557513589,35
25,3,25,25,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.18247573771281414,35
26,1,26,26,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13152413195616577,36
27,4,30,30,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07453628190378624,34
28,0,30,30,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08121045874652122,35
29,2,32,32,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1847127042126482,33
30,0,32,32,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1847127042126482,33
31,1,33,33,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3152703564382625,33
32,0,33,33,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3395277429966065,32
33,1,34,34,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2914446637610757,33
34,0,34,34,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2914446637610757,33
35,0,34,34,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.25817015887146266,35
36,1,35,35,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.23103714955876337,36
37,0,35,35,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.20429911243338497,37
38,2,37,37,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.21170812422534876,36
39,1,38,38,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.22184198999217591,38
40,1,39,39,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.25033072635902764,40
41,0,39,39,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.25033072635902764,40
42,2,41,41,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2663294130558532,40
43,0,41,41,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2676603818041366,43
44,1,42,42,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.29048039993341906,43
45,1,43,43,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.26097870047742494,44
46,1,44,44,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.27941329837734125,44
47,1,45,45,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2665733615208378,44
48,0,45,45,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2665733615208378,44
49,2,47,47,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.23294721891952988,41
50,0,47,47,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2197765355515288,40
51,1,48,48,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.20453651913167942,38
52,1,49,49,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.20002847475992347,37
53,0,49,49,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.19212653905979957,38
54,1,50,50,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1583441684066195,38
55,1,51,51,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.16183786291757085,38
