,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09526785800053934,30
2,2,2,2,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.16008871763449706,32
3,0,2,2,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.14972645231742207,33
4,2,4,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.24512758260227926,34
5,1,5,5,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.17707114084475145,36
6,2,7,7,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.19905405380509572,38
7,2,9,9,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.16491805494519915,40
8,2,11,11,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.16809603887633534,40
9,0,11,11,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.16809603887633534,40
10,1,12,12,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2119126611825954,41
11,1,13,13,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.169593768600381,40
12,1,14,14,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.14138767543836786,39
13,2,16,16,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10768523187195632,37
14,2,18,18,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1654197837267295,35
15,2,20,20,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11442909233270124,36
16,2,22,22,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1573557362603084,34
17,0,22,22,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.19182366508244864,33
18,1,23,23,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.17495805868198902,34
19,0,23,23,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.17495805868198902,34
20,1,24,24,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.18501166465859223,34
21,4,28,28,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.17415069967444793,36
22,2,30,30,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.27303172080962124,35
23,2,32,32,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3107391970742606,35
24,3,35,35,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2549449397818512,35
25,1,36,36,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3105688021016252,35
26,2,38,38,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.14703906789784937,36
27,0,38,38,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11138470461349918,34
28,2,40,40,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.031998587932400686,35
29,0,40,40,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0699281656293658,33
30,2,42,42,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0888793457772823,33
31,0,42,42,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.15857696868497487,33
32,0,42,42,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1792662731551468,32
33,1,43,43,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.19108165860381726,33
34,1,44,44,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2054415577076382,33
35,1,45,45,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.22063190164627647,35
36,0,45,45,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.22154869583897743,36
37,0,45,45,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.19315492957625838,37
38,3,48,48,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2503823040862792,36
39,4,52,52,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.18830759961200777,38
40,2,54,54,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.21705503708855095,40
41,0,54,54,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.21705503708855095,40
42,1,55,55,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.24277984020134172,40
43,1,56,56,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2567916623643011,43
44,3,59,59,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.28012337088556527,43
45,0,59,59,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.26134114781990453,44
46,2,61,61,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2896920231737143,44
47,0,61,61,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2896920231737143,44
48,0,61,61,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2896920231737143,44
49,0,61,61,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2636545406097273,41
50,0,61,61,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.26401679405166384,40
51,0,61,61,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.23593446151296527,38
52,2,63,63,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2680965517097452,37
53,3,66,66,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.221967886558889,38
54,3,69,69,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2303252949599749,38
55,3,72,72,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.24998566265213767,38
