,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06997369532729268,30
2,0,1,0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.061092470671198204,32
3,0,1,0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04190006598698161,33
4,2,3,1,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.049583863550595714,34
5,0,3,1,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.02237453644979027,36
6,1,4,1,3,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.023298919573327293,38
7,1,5,2,3,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05986237001971996,40
8,1,6,3,3,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10323443055148573,40
9,2,8,4,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08066396476088711,40
10,5,13,6,7,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08016891107150491,41
11,2,15,8,7,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.075751473689105,40
12,0,15,8,7,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0645477889591039,39
13,2,17,9,8,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0600286969963288,37
14,1,18,10,8,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1025195221432838,35
15,1,19,10,9,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05637774047972243,36
16,4,23,13,10,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1263875527002703,34
17,2,25,13,12,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08860246840906263,33
18,0,25,13,12,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09264399543725217,34
19,0,25,13,12,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09264399543725217,34
20,0,25,13,12,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.049652171155542935,34
21,1,26,13,13,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05724179863462784,36
22,1,27,14,13,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0873275423192072,35
23,1,28,14,14,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06707601304954995,35
24,1,29,15,14,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.029071962602839292,35
25,3,32,17,15,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11884188592012292,35
26,1,33,18,15,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06613198599849432,36
27,0,33,18,15,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.03365005257669397,34
28,1,34,18,16,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.021610982836125937,35
29,4,38,20,18,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10554585973719885,33
30,2,40,20,20,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05641300649115947,33
31,2,42,21,21,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1505202392489174,33
32,2,44,21,23,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11165521069880915,32
33,3,47,21,26,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0760424549150814,33
34,0,47,21,26,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0760424549150814,33
35,0,47,21,26,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07322228788006176,35
36,1,48,21,27,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.051305947291260985,36
37,0,48,21,27,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.03511250968709012,37
38,1,49,22,27,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07947531714148517,36
39,3,52,23,29,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06643646946522426,38
40,1,53,24,29,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07354695836809984,40
41,1,54,25,29,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10219049820094431,40
42,0,54,25,29,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10219049820094431,40
43,2,56,26,30,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1402074594449908,43
44,0,56,26,30,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1402074594449908,43
45,2,58,28,30,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.14705159842488857,44
46,1,59,28,31,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13854681186610485,44
