,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09526788372102163,30
2,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08701406815231044,32
3,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06586409843042759,33
4,1,1,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10232575152397856,34
5,0,1,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.075314519059961,36
6,1,2,2,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07103390981047986,38
7,1,3,3,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09158138766053099,40
8,1,4,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1349534392536471,40
9,2,6,6,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10367363122774541,40
10,2,8,8,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13478885322152617,41
11,2,10,10,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13500549225978667,40
12,0,10,10,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12478640705175953,39
13,2,12,12,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13844660185596974,37
14,1,13,13,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12424876568706036,35
15,2,15,15,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07461552833516358,36
16,2,17,17,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.15193821680992478,34
17,1,18,18,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.21779280014998903,33
18,0,18,18,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.20607888627986645,34
19,0,18,18,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.20607888627986645,34
20,0,18,18,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.16138375598648597,34
21,0,18,18,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.17046987596999102,36
22,1,19,19,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.15760735538050585,35
23,0,19,19,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1800971207946643,35
24,3,22,22,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11036178170269106,35
25,3,25,25,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.18247578116429988,35
26,1,26,26,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13152416251923352,36
27,4,30,30,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07453630024843391,34
28,0,30,30,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08121047808727415,35
29,2,32,32,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1847127510745216,33
30,0,32,32,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1847127510745216,33
31,1,33,33,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.31527043712432345,33
32,0,33,33,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3395278318694542,32
33,1,34,34,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.291444737644518,33
34,0,34,34,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.291444737644518,33
35,0,34,34,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.25817022155721414,35
36,1,35,35,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.23103720390518587,36
37,0,35,35,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2042991590377526,37
38,2,37,37,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.21170817383725693,36
39,1,38,38,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.22184203887726528,38
40,1,39,39,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2503307786802566,40
41,0,39,39,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2503307786802566,40
42,2,41,41,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.26632946872094226,40
43,0,41,41,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2676604345114762,43
44,1,42,42,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2904804571344475,43
45,1,43,43,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2609787509319942,44
46,1,44,44,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2794133523958399,44
47,1,45,45,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2665734130570133,44
48,0,45,45,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2665734130570133,44
49,2,47,47,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.23294726783351813,41
50,0,47,47,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.21977658292426494,40
51,1,48,48,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.20453656576702953,38
52,1,49,49,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2000285215856517,37
53,0,49,49,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.19212658289180753,38
54,1,50,50,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1583442047238946,38
55,1,51,51,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.16183790003614776,38
56,3,54,54,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.20795496730199914,38
57,1,55,55,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.19482073069774486,38
58,4,59,59,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2124469423807752,38
59,0,59,59,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2014973996440859,40
60,2,61,61,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.27824448365314347,40
61,1,62,62,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.24112827136942147,40
62,1,63,63,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.21962963809138675,42
63,0,63,63,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2400898422372023,40
64,0,63,63,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.22244142362649558,41
65,0,63,63,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.22244142362649558,41
66,2,65,65,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1814730901917974,41
67,3,68,68,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1610311655775378,41
68,1,69,69,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10324586663256474,41
69,3,72,72,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11567824315542927,41
70,0,72,72,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13135044738033058,42
71,2,74,74,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1511934191248391,44
72,1,75,75,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1247692938495414,44
73,2,77,77,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1138431543980714,46
74,1,78,78,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1449970735676134,44
75,3,81,81,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08218419157448426,44
76,1,82,82,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11661381512058143,45
77,0,82,82,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1130473718630255,44
78,1,83,83,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.15028198462944276,44
79,0,83,83,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1394855701308566,43
80,1,84,84,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.18021311781515,43
81,3,87,87,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2602871934920818,44
82,1,88,88,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.22855321130930056,45
83,2,90,90,0,0,0,0,0.9851787079303453,0.9696837207666156,0.9851787079303453,0.9696837207666156,1.0,1,0.32125622512311536,45
84,0,90,90,0,0,0,0,0.9851787079303453,0.9696837207666156,0.9851787079303453,0.9696837207666156,1.0,1,0.32125622512311536,45
85,2,92,92,0,0,0,0,0.9851787079303453,0.9696837207666156,0.9851787079303453,0.9696837207666156,1.0,1,0.315346312952732,45
86,0,92,92,0,0,0,0,0.9851787079303456,0.9696837207666156,0.9851787079303456,0.9696837207666156,1.0,1,0.315346312952732,45
87,0,92,92,0,0,0,0,0.9848418603833078,0.9696837207666156,0.9848418603833078,0.9696837207666156,1.0,1,0.3263167012754157,44
88,0,92,92,0,0,0,0,0.9851787079303453,0.9696837207666156,0.9851787079303453,0.9696837207666156,1.0,1,0.3149744983575792,45
89,0,92,92,0,0,0,0,0.9568176984388208,0.9136353968776418,0.9568176984388208,0.9136353968776418,1.0,1,0.3149744983575792,46
90,1,93,93,0,0,0,0,0.9795775685951551,0.9591551371903101,0.9795775685951551,0.9591551371903101,1.0,1,0.3273398559701033,44
91,1,94,94,0,0,0,0,0.9800314004041515,0.9591551371903101,0.9800314004041515,0.9591551371903101,1.0,1,0.30146964482889327,45
92,1,95,95,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2698906459101549,46
93,0,95,95,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2698906459101549,46
94,0,95,95,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2698906459101549,46
95,0,95,95,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.28583639926215737,46
96,0,95,95,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.28583639926215737,46
97,2,97,97,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.22663686859796028,47
98,3,100,100,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2181176596426021,47
99,2,102,102,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2243053955374619,46
100,1,103,103,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2404142438249953,48
101,0,103,103,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.23953152597795965,49
102,2,105,105,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.26286601205040944,49
103,1,106,106,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.26331985353815973,48
104,1,107,107,0,0,0,0,0.9898064993345438,0.9782834116257672,0.9898064993345438,0.9782834116257672,1.0,1,0.2791876850468015,49
105,2,109,109,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.27854789445802475,48
106,1,110,110,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.26986635448420837,48
107,3,113,113,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1845395818984172,47
108,2,115,115,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13766847304942553,47
109,2,117,117,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0782531989694879,47
110,4,121,121,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.02985700524416394,47
111,2,123,123,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10412543982668651,46
112,2,125,125,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.15576413892536595,46
113,4,129,129,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.27858594446233786,45
114,0,129,129,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2535284291328031,46
115,2,131,131,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3041439884552484,47
116,0,131,131,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.28708216631569555,48
117,2,133,133,0,0,0,0,0.9846985089794077,0.9650251633815031,0.9846985089794077,0.9650251633815031,1.0,1,0.2965419314429426,48
118,1,134,134,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2811991774620582,49
119,0,134,134,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2675708157337394,50
120,1,135,135,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.26029091280007965,51
121,1,136,136,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.24978557820528002,51
122,2,138,138,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2300103909438249,51
123,0,138,138,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2300103909438249,51
124,1,139,139,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.21895070568821767,51
125,1,140,140,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.237827020226121,50
126,1,141,141,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.24439357850001978,52
127,1,142,142,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2869248244264471,50
128,3,145,145,0,0,0,0,0.989573839317435,0.975175807898655,0.989573839317435,0.975175807898655,1.0,1,0.28418571104955603,50
129,0,145,145,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.24372498334150608,52
130,1,146,146,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.23435654998787858,52
131,2,148,148,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1873100469187115,54
132,1,149,149,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.17724749459205424,54
133,0,149,149,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.19011809563389623,52
134,3,152,152,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.22278020417282202,52
