,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.0,0
1,10,10,0,10,0,0,0,1.0,1,1.0,1,1.0,1,0.21889430173007304,30
2,0,10,0,10,0,0,0,1.0,1,1.0,1,1.0,1,0.21070160537953114,32
3,0,10,0,10,0,0,0,1.0,1,1.0,1,1.0,1,0.1997623411700264,33
4,0,10,0,10,0,0,0,1.0,1,1.0,1,1.0,1,0.2134266384767192,34
5,1,11,0,11,0,0,0,1.0,1,1.0,1,1.0,1,0.16651333604154914,36
6,0,11,0,11,0,0,0,1.0,1,1.0,1,1.0,1,0.19293654058448578,38
7,1,12,1,11,0,0,0,1.0,1,1.0,1,1.0,1,0.21012018703671528,40
8,0,12,1,11,0,0,0,1.0,1,1.0,1,1.0,1,0.21012018703671528,40
9,1,13,2,11,0,0,0,1.0,1,1.0,1,1.0,1,0.2604000319485269,40
10,3,16,5,11,0,0,0,1.0,1,1.0,1,1.0,1,0.29704156942213134,41
11,3,19,7,12,0,0,0,1.0,1,1.0,1,1.0,1,0.2932533375835804,40
12,1,20,7,13,0,0,0,1.0,1,1.0,1,1.0,1,0.2853638550830774,39
13,2,22,8,14,0,0,0,1.0,1,1.0,1,1.0,1,0.2856613033508295,37
14,0,22,8,14,0,0,0,1.0,1,1.0,1,1.0,1,0.3343145465310769,35
15,2,24,9,15,0,0,0,1.0,1,1.0,1,1.0,1,0.2828531727679025,36
16,2,26,11,15,0,0,0,1.0,1,1.0,1,1.0,1,0.3219697935687229,34
17,1,27,11,16,0,0,0,1.0,1,1.0,1,1.0,1,0.34630537379118675,33
18,2,29,12,17,0,0,0,1.0,1,1.0,1,1.0,1,0.3337131503343425,34
19,2,31,13,18,0,0,0,1.0,1,1.0,1,1.0,1,0.29613529136888517,34
20,0,31,13,18,0,0,0,1.0,1,1.0,1,1.0,1,0.2678089041492805,34
21,1,32,13,19,0,0,0,1.0,1,1.0,1,1.0,1,0.2540600286364274,36
22,1,33,13,20,0,0,0,1.0,1,1.0,1,1.0,1,0.2318973195478142,35
23,2,35,14,21,0,0,0,1.0,1,1.0,1,1.0,1,0.24827234640116336,35
24,2,37,16,21,0,0,0,1.0,1,1.0,1,1.0,1,0.20096038613443276,35
25,5,42,20,22,0,0,0,1.0,1,1.0,1,1.0,1,0.26839848790437887,35
26,2,44,21,23,0,0,0,1.0,1,1.0,1,1.0,1,0.2573132846649678,36
27,1,45,21,24,0,0,0,1.0,1,1.0,1,1.0,1,0.1978669401810977,34
28,2,47,22,25,0,0,0,1.0,1,1.0,1,1.0,1,0.21477445421957683,35
29,2,49,23,26,0,0,0,1.0,1,1.0,1,1.0,1,0.166498704597429,33
30,3,52,25,27,0,0,0,1.0,1,1.0,1,1.0,1,0.22215224938263609,33
31,2,54,27,27,0,0,0,1.0,1,1.0,1,1.0,1,0.2813038725935852,33
32,2,56,28,28,0,0,0,1.0,1,1.0,1,1.0,1,0.2768659533565337,32
33,1,57,28,29,0,0,0,1.0,1,1.0,1,1.0,1,0.2640602471992796,33
34,0,57,28,29,0,0,0,1.0,1,1.0,1,1.0,1,0.2640602471992796,33
35,0,57,28,29,0,0,0,1.0,1,1.0,1,1.0,1,0.257478144903179,35
36,0,57,28,29,0,0,0,1.0,1,1.0,1,1.0,1,0.2727474267579088,36
37,1,58,29,29,0,0,0,1.0,1,1.0,1,1.0,1,0.27697022406871546,37
38,2,60,29,31,0,0,0,1.0,1,1.0,1,1.0,1,0.22265959381535264,36
39,1,61,29,32,0,0,0,1.0,1,1.0,1,1.0,1,0.23786479468193253,38
40,0,61,29,32,0,0,0,1.0,1,1.0,1,1.0,1,0.2627833705563567,40
41,0,61,29,32,0,0,0,1.0,1,1.0,1,1.0,1,0.2627833705563567,40
42,3,64,31,33,0,0,0,1.0,1,1.0,1,1.0,1,0.26038264419677326,40
43,4,68,33,35,0,0,0,1.0,1,1.0,1,1.0,1,0.30705694294645347,43
44,1,69,33,36,0,0,0,1.0,1,1.0,1,1.0,1,0.2804812843457166,43
45,2,71,34,37,0,0,0,1.0,1,1.0,1,1.0,1,0.25167212013735163,44
46,0,71,34,37,0,0,0,1.0,1,1.0,1,1.0,1,0.25167212013735163,44
47,0,71,34,37,0,0,0,1.0,1,1.0,1,1.0,1,0.25167212013735163,44
48,3,74,36,38,0,0,0,1.0,1,1.0,1,1.0,1,0.28703501359788774,44
49,0,74,36,38,0,0,0,1.0,1,1.0,1,1.0,1,0.2590800841319249,41
50,0,74,36,38,0,0,0,1.0,1,1.0,1,1.0,1,0.2566966450185884,40
51,0,74,36,38,0,0,0,1.0,1,1.0,1,1.0,1,0.2717284748274854,38
52,1,75,37,38,0,0,0,1.0,1,1.0,1,1.0,1,0.32349997826090526,37
53,0,75,37,38,0,0,0,1.0,1,1.0,1,1.0,1,0.34521439699721124,38
54,3,78,38,40,0,0,0,1.0,1,1.0,1,1.0,1,0.3386016457887637,38
55,2,80,38,42,0,0,0,1.0,1,1.0,1,1.0,1,0.3106022059646981,38
56,3,83,40,43,0,0,0,1.0,1,1.0,1,1.0,1,0.30029392050029463,38
57,1,84,41,43,0,0,0,1.0,1,1.0,1,1.0,1,0.2932299844484561,38
58,3,87,44,43,0,0,0,1.0,1,1.0,1,1.0,1,0.3162515466226466,38
59,1,88,44,44,0,0,0,1.0,1,1.0,1,1.0,1,0.3091839590052813,40
60,2,90,45,45,0,0,0,1.0,1,1.0,1,1.0,1,0.28715253476587593,40
61,1,91,45,46,0,0,0,1.0,1,1.0,1,1.0,1,0.27300026607598216,40
62,1,92,46,46,0,0,0,1.0,1,1.0,1,1.0,1,0.29049811734564845,42
