,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.0,0
1,29,29,29,0,0,0,0,1.0,1,1.0,1,1.0,1,0.40018429152536605,30
2,24,53,53,0,0,0,0,1.0,1,1.0,1,1.0,1,0.44075828643011394,32
3,19,72,72,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3848825931220686,33
4,15,87,87,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3948803090496027,34
5,14,101,101,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4047114105740037,36
6,15,116,116,0,0,0,0,1.0,1,1.0,1,1.0,1,0.42351061654002004,38
7,11,127,127,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3950795397685976,40
8,14,141,141,0,0,0,0,1.0,1,1.0,1,1.0,1,0.41176181027335723,40
9,11,152,152,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3598827505910546,40
10,5,157,157,0,0,0,0,1.0,1,1.0,1,1.0,1,0.36373471329764107,41
11,6,163,163,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4068763631869,40
12,5,168,168,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2878365541396807,39
13,8,176,176,0,0,0,0,1.0,1,1.0,1,1.0,1,0.40820433613853013,37
14,3,179,179,0,0,0,0,1.0,1,1.0,1,1.0,1,0.39138117797696026,35
15,6,185,185,0,0,0,0,1.0,1,1.0,1,1.0,1,0.38542386950226337,36
16,8,193,193,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4504377878172933,34
17,2,195,195,0,0,0,0,1.0,1,1.0,1,1.0,1,0.47399572951623314,33
18,4,199,199,0,0,0,0,1.0,1,1.0,1,1.0,1,0.5149524856359267,34
19,6,205,205,0,0,0,0,1.0,1,1.0,1,1.0,1,0.42992937552744925,34
20,7,212,212,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4302997787035113,34
21,8,220,220,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3871784308671155,36
22,7,227,227,0,0,0,0,1.0,1,1.0,1,1.0,1,0.39076966954670894,35
23,13,240,240,0,0,0,0,1.0,1,1.0,1,1.0,1,0.34437511176434876,35
24,14,254,254,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4049214276052008,35
25,14,268,268,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3734522183165466,35
26,10,278,278,0,0,0,0,1.0,1,1.0,1,1.0,1,0.272093412379933,36
27,13,291,291,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3109065856997468,34
28,11,302,302,0,0,0,0,1.0,1,1.0,1,1.0,1,0.32078231948850006,35
29,9,311,311,0,0,0,0,1.0,1,1.0,1,1.0,1,0.30925593343070296,33
30,10,321,321,0,0,0,0,1.0,1,1.0,1,1.0,1,0.325825717734038,33
31,11,332,332,0,0,0,0,1.0,1,1.0,1,1.0,1,0.31798010201283744,33
32,11,343,343,0,0,0,0,1.0,1,1.0,1,1.0,1,0.42088636486176356,32
33,17,360,360,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3272988376094802,33
34,13,373,373,0,0,0,0,1.0,1,1.0,1,1.0,1,0.34569433464627697,33
35,14,387,387,0,0,0,0,1.0,1,1.0,1,1.0,1,0.34714725750685854,35
36,8,395,395,0,0,0,0,1.0,1,1.0,1,1.0,1,0.2962491343226278,36
37,10,405,405,0,0,0,0,1.0,1,1.0,1,1.0,1,0.37262520609873634,37
38,18,423,423,0,0,0,0,1.0,1,1.0,1,1.0,1,0.39714953560116534,36
39,9,432,432,0,0,0,0,1.0,1,1.0,1,1.0,1,0.3528065370356758,38
40,12,444,444,0,0,0,0,1.0,1,1.0,1,1.0,1,0.449881197498255,40
41,11,455,455,0,0,0,0,1.0,1,1.0,1,1.0,1,0.44324603201941337,40
42,9,464,464,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4275382624487219,40
43,14,478,478,0,0,0,0,1.0,1,1.0,1,1.0,1,0.43337863065701604,43
44,11,489,489,0,0,0,0,1.0,1,1.0,1,1.0,1,0.45993666455620746,43
45,11,500,500,0,0,0,0,1.0,1,1.0,1,1.0,1,0.45862989966608547,44
46,8,508,508,0,0,0,0,1.0,1,1.0,1,1.0,1,0.5015568989155796,44
47,8,516,516,0,0,0,0,1.0,1,1.0,1,1.0,1,0.4903176089784731,44
