,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1,1.0,1,1.0,1,0.0,0
1,22,22,0,22,0,0,0,1.0,1,1.0,1,1.0,1,0.2666439998729147,30
2,23,45,0,45,0,0,0,1.0,1,1.0,1,1.0,1,0.2713985427960271,32
3,23,68,0,68,0,0,0,1.0,1,1.0,1,1.0,1,0.2399327401436092,33
4,6,74,0,74,0,0,0,1.0,1,1.0,1,1.0,1,0.13967791034500066,34
5,1,75,0,75,0,0,0,1.0,1,1.0,1,1.0,1,0.12559176116673051,36
6,2,77,0,77,0,0,0,1.0,1,1.0,1,1.0,1,0.12705458134387884,38
7,1,78,0,78,0,0,0,1.0,1,1.0,1,1.0,1,0.13529922857317087,40
8,0,78,0,78,0,0,0,1.0,1,1.0,1,1.0,1,0.13529922857317087,40
9,0,78,0,78,0,0,0,1.0,1,1.0,1,1.0,1,0.13529922857317087,40
10,0,78,0,78,0,0,0,1.0,1,1.0,1,1.0,1,0.15178367230453751,41
11,0,78,0,78,0,0,0,1.0,1,1.0,1,1.0,1,0.18596441173020656,40
12,3,81,2,79,0,0,0,1.0,1,1.0,1,1.0,1,0.14102489288902056,39
13,3,84,4,80,0,0,0,1.0,1,1.0,1,1.0,1,0.15974924829242473,37
14,0,84,4,80,0,0,0,1.0,1,1.0,1,1.0,1,0.18767413829601737,35
15,1,85,4,81,0,0,0,1.0,1,1.0,1,1.0,1,0.16012653034159036,36
16,6,91,6,85,0,0,0,1.0,1,1.0,1,1.0,1,0.1522224811540892,34
17,0,91,6,85,0,0,0,1.0,1,1.0,1,1.0,1,0.19177143547640646,33
18,1,92,6,86,0,0,0,1.0,1,1.0,1,1.0,1,0.20030804465572044,34
19,4,96,7,89,0,0,0,1.0,1,1.0,1,1.0,1,0.1626118205252985,34
20,0,96,7,89,0,0,0,1.0,1,1.0,1,1.0,1,0.15492604738512616,34
21,1,97,8,89,0,0,0,1.0,1,1.0,1,1.0,1,0.18066637400359628,36
22,1,98,8,90,0,0,0,1.0,1,1.0,1,1.0,1,0.16835372066729493,35
23,4,102,10,92,0,0,0,1.0,1,1.0,1,1.0,1,0.16784428435700766,35
