,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,35,35,35,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.36887455958080895,30
2,18,53,53,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4407587821394536,32
3,22,75,75,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.37499386938851803,33
4,13,88,88,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.383573438741962,34
5,16,104,104,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4134649690220547,36
6,13,117,117,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.40915521007202493,38
7,8,125,125,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4079874548605515,40
8,11,136,136,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.41961079001952073,40
9,12,148,148,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.35988308435198707,40
10,6,154,154,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3362270420769063,41
11,8,162,162,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3664474366140736,40
12,6,168,168,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.28783682364559204,39
13,8,176,176,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4082047401567733,37
14,3,179,179,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.39138159220970054,35
15,6,185,185,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.38542426483942677,36
16,8,193,193,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.45043827673320314,34
17,2,195,195,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4739962635464109,33
18,4,199,199,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5149530512822398,34
19,5,204,204,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4515038578201066,34
20,6,210,210,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.41487227513570407,34
21,8,218,218,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4144572310752045,36
22,7,225,225,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.40464882946061365,35
23,15,240,240,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4003276155317673,35
24,17,257,257,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4927320609650293,35
25,11,268,268,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3734526184889765,35
26,10,278,278,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2220593052010702,36
27,12,290,290,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.28442374658172725,34
28,14,304,304,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.26881418763431886,35
29,10,314,314,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.31637656801845404,33
30,10,324,324,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.26572409925611845,33
31,12,336,336,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.30239602074588173,33
32,15,351,351,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.37281404940630347,32
33,13,364,364,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3235540165520088,33
34,10,374,374,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3404713806605761,33
35,10,384,384,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3102803536522108,35
36,9,393,393,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.25558807347066836,36
37,14,407,407,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2947460491598547,37
38,19,426,426,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2959343652712309,36
39,8,434,434,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3026638606740558,38
40,13,447,447,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3857232338253031,40
41,12,459,459,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3815614329895584,40
42,13,472,472,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3878822037263739,40
43,13,485,485,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4194586626164631,43
44,10,495,495,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4237880125713036,43
45,12,507,507,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.41428957340165845,44
46,9,516,516,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4842604111357828,44
47,6,522,522,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4540905375186682,44
48,10,532,532,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4653275731715774,44
49,2,534,534,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4871057149064481,41
50,10,544,544,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4617961826613916,40
51,2,546,546,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.46503653026084846,38
52,10,556,556,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4497389333881158,37
53,8,564,564,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.41580000936859307,38
54,14,578,578,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3465641616751279,38
55,12,590,590,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4112496792477761,38
56,23,613,613,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4028159796292893,38
57,13,626,626,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3764884407844628,38
58,10,636,636,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.41059686314842125,38
59,11,647,647,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3611742412687595,40
60,10,657,657,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4072795757814542,40
61,11,668,668,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.41429630591210254,40
62,8,676,676,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.46744652757336025,42
63,14,690,690,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.43764114455491965,40
64,10,700,700,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.33102467723768625,41
65,19,719,719,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4123162920750507,41
66,18,737,737,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.29862516065216066,41
67,15,752,752,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3345144066798297,41
68,12,764,764,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3103707663738141,41
69,17,781,781,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3482023095578311,41
70,11,792,792,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.27766619080933064,42
71,16,808,808,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3594157470853087,44
72,11,819,819,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3523243664130433,44
73,16,835,835,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.35262470236521337,46
74,15,850,850,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.39351336875199383,44
75,10,860,860,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3430199286445175,44
76,11,871,871,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.34241637396413854,45
77,6,877,877,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.34370209942528723,44
78,5,882,882,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.37532560996806674,44
79,8,890,890,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3090142176043138,43
80,7,897,897,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3573903813924954,43
81,10,907,907,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.45287332653554846,44
82,8,915,915,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.37929730242766657,45
83,18,933,933,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3892458350131678,45
84,14,947,947,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3881257250917682,45
85,8,955,955,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4068799091907237,45
86,10,965,965,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.38324790316845697,45
87,10,975,975,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.38658196913702625,44
88,9,984,984,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.39586920605638476,45
89,9,993,993,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.37747351818677677,46
90,10,1003,1003,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3842009275187877,44
91,11,1014,1014,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4156389301942246,45
92,16,1030,1030,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3898018935701007,46
93,13,1043,1043,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.35122840423865165,46
94,13,1056,1056,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.31844772896451556,46
95,16,1072,1072,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.38135931576447407,46
96,11,1083,1083,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4082720836594815,46
97,11,1094,1094,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.37077149933503023,47
98,15,1109,1109,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4042521980967084,47
99,11,1120,1120,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.46985859611563113,46
100,13,1133,1133,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4176694893938229,48
101,11,1144,1144,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3882896439314665,49
102,12,1156,1156,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.41882397518514747,49
103,13,1169,1169,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3160941693557804,48
104,15,1184,1184,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4062106914921576,49
105,13,1197,1197,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3874669012144836,48
106,16,1213,1213,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.39289134412658755,48
107,17,1230,1230,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.28650175093267477,47
108,9,1239,1239,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3395340801777449,47
109,14,1253,1253,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.2704806613092988,47
110,18,1271,1271,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.29641709680595846,47
111,20,1291,1291,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3431792399114386,46
112,13,1304,1304,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.26319107597750035,46
113,8,1312,1312,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3410704544307067,45
