,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5618422704929911,30
2,1,1,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.49595479726955594,32
3,7,8,8,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.6000195040190757,33
4,0,8,8,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5791047522807294,34
5,3,11,11,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5906430323510166,36
6,3,14,14,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5803259468676701,38
7,2,16,16,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5337332867990683,40
8,6,22,22,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4967170570424304,40
9,3,25,25,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5301576368630553,40
10,1,26,26,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5116348394436476,41
11,1,27,27,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.48220996642925834,40
12,0,27,27,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.48283749884110233,39
13,1,28,28,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4879165280182806,37
14,1,29,29,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.47643197852556385,35
15,4,33,33,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4838210868033849,36
16,0,33,33,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5014203338376687,34
17,2,35,35,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5403417809929045,33
18,1,36,36,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5151383567675705,34
19,5,41,41,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.47754266629458353,34
20,1,42,42,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4786643488086344,34
21,6,48,48,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.45084107809505813,36
22,2,50,50,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4465473753727123,35
