,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,23,23,0,23,0,15,15,1.0,1.0,1.0,1.0,1.0,1,0.315733198631431,30
2,21,44,0,44,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.3115547478885524,32
3,27,71,0,71,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.2904100619068511,33
4,33,104,0,104,0,0,15,1.0,1.0,1.0,1.0,1.0,1,0.35177044756087594,34
5,26,130,0,130,0,6,21,1.0,1.0,1.0,1.0,1.0,1,0.2370874388030448,36
6,28,158,0,158,0,0,21,1.0,1.0,1.0,1.0,1.0,1,0.1986909305803097,38
7,35,193,0,193,0,0,21,1.0,1.0,1.0,1.0,1.0,1,0.2670106777640067,40
8,30,223,0,223,0,7,28,1.0,1.0,1.0,1.0,1.0,1,0.33770332946833415,40
9,28,251,0,251,0,3,31,1.0,1.0,1.0,1.0,1.0,1,0.27385256856408624,40
10,22,273,0,273,0,2,33,1.0,1.0,1.0,1.0,1.0,1,0.24537571491639737,41
11,29,302,0,302,0,0,33,1.0,1.0,1.0,1.0,1.0,1,0.21221924792589186,40
12,22,324,0,324,0,2,35,1.0,1.0,1.0,1.0,1.0,1,0.19771945350555695,39
13,26,350,1,349,0,8,43,1.0,1.0,1.0,1.0,1.0,1,0.32597407214977236,37
14,30,380,1,379,0,0,43,1.0,1.0,1.0,1.0,1.0,1,0.31796746184991326,35
15,24,404,2,402,0,2,45,1.0,1.0,1.0,1.0,1.0,1,0.22712996185100082,36
16,21,425,2,423,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.3157333232537571,34
17,20,445,2,443,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.2681306394010187,33
18,23,468,2,466,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.31998034025091765,34
19,16,484,3,481,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.2600081100949992,34
20,15,499,3,496,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.2596258324195158,34
21,8,507,3,504,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.13529818693598206,36
22,2,509,3,506,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.15052287178973092,35
23,7,516,4,512,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.18177424879130685,35
24,5,521,4,517,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.13771742263651515,35
25,6,527,4,523,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.1463239250720244,35
26,4,531,6,525,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.11434434326689859,36
27,8,539,7,532,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.17848194457284872,34
28,9,548,10,538,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.12441100165604514,35
29,4,552,11,541,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.1534162621204508,33
30,5,557,13,544,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.148102027180962,33
31,11,568,15,553,0,0,45,1.0,1.0,1.0,1.0,1.0,1,0.25968619753747063,33
