,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,16,16,0,16,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07041063592432646,30
2,1,17,0,17,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07427081437179607,32
3,0,17,0,17,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07200710858637817,33
4,1,18,0,18,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07878186756330166,34
5,1,19,0,19,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07971403827414228,36
6,1,20,0,20,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05534628813367295,38
7,5,25,2,23,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12385575268423296,40
8,1,26,2,24,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09472600282122261,40
9,3,29,3,26,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08782933007218657,40
10,4,33,4,29,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08798572861440222,41
11,3,36,5,31,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08748908224764486,40
12,3,39,6,33,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08777724405176014,39
13,2,41,7,34,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1168204981009312,37
14,2,43,7,36,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12219485016116526,35
15,1,44,7,37,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09450653154631634,36
16,5,49,9,40,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.134566601530877,34
17,3,52,9,43,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1027582524115388,33
18,0,52,9,43,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11687898322551346,34
19,1,53,10,43,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13323738546671407,34
20,0,53,10,43,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10135663230336511,34
21,3,56,11,45,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10909692181861357,36
22,2,58,12,46,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10509234836848033,35
23,3,61,14,47,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1243651066537184,35
24,2,63,15,48,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06941146993814827,35
25,4,67,17,50,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10091055561265994,35
26,6,73,19,54,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07898598369901128,36
27,0,73,19,54,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0621163929108963,34
28,1,74,20,54,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09198508543876391,35
29,2,76,20,56,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08062423468030966,33
30,3,79,22,57,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.14807142898860667,33
31,2,81,23,58,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11210378963493782,33
32,3,84,23,61,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09494942364391083,32
33,1,85,23,62,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09417469751608291,33
34,1,86,24,62,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11087779986917273,33
35,2,88,24,64,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10154067470673561,35
36,4,92,26,66,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13427274246239107,36
37,2,94,27,67,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10966625035067887,37
38,3,97,28,69,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09876111917899126,36
39,3,100,29,71,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06262823644777718,38
40,0,100,29,71,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07829091355850075,40
41,0,100,29,71,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07829091355850075,40
42,1,101,30,71,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0942488181302439,40
43,6,107,32,75,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09579133842685694,43
44,0,107,32,75,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09579133842685694,43
45,1,108,33,75,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08634849022823526,44
46,0,108,33,75,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08634849022823526,44
47,0,108,33,75,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08634849022823526,44
48,3,111,34,77,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1048899748662064,44
49,3,114,34,80,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08207249803939959,41
50,1,115,35,80,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12479532188887152,40
51,1,116,35,81,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08734290245296175,38
52,1,117,35,82,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11962837508409997,37
53,0,117,35,82,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.14036492856136487,38
54,5,122,37,85,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10670894909800438,38
55,1,123,37,86,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09176727056987188,38
56,2,125,37,88,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09915498760121107,38
57,2,127,38,89,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10721746118927425,38
58,5,132,41,91,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.13556876516397637,38
59,1,133,41,92,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10607038538222982,40
60,0,133,41,92,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10607038538222982,40
61,0,133,41,92,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12741705919260427,40
62,4,137,42,95,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11513580844039084,42
63,2,139,43,96,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11991831016227317,40
64,1,140,43,97,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09367959458793193,41
65,1,141,44,97,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10925182403393083,41
66,3,144,45,99,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07550224640800612,41
67,0,144,45,99,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07550224640800612,41
68,0,144,45,99,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08740673557448538,41
69,6,150,47,103,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06513902303762469,41
70,1,151,47,104,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06942218440598144,42
71,1,152,48,104,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08841822153970434,44
72,2,154,49,105,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07705366266925853,44
73,3,157,50,107,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06736508583683462,46
74,1,158,50,108,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05687431764127062,44
75,0,158,50,108,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05687431764127062,44
76,3,161,52,109,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10506644104631978,45
77,2,163,53,110,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08207634259772141,44
78,4,167,55,112,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08300347669712134,44
79,2,169,56,113,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07726390404162647,43
80,1,170,57,113,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10000455139238906,43
81,8,178,60,118,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1129104167313151,44
82,4,182,62,120,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06906017581459797,45
83,4,186,63,123,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07026200027625733,45
84,0,186,63,123,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07026200027625733,45
85,0,186,63,123,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07026200027625733,45
86,0,186,63,123,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07026200027625733,45
87,1,187,63,124,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07748772408314386,44
88,0,187,63,124,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08052989050585083,45
89,2,189,64,125,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.11512874184619226,46
90,2,191,64,127,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.10680687374720232,44
91,0,191,64,127,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09532197000473547,45
92,2,193,64,129,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09034808977504498,46
93,1,194,64,130,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07441729573151153,46
94,0,194,64,130,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.07441729573151153,46
95,1,195,65,130,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12315433161605038,46
96,2,197,65,132,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09428396803588064,46
97,4,201,66,135,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06858597271614886,47
98,1,202,66,136,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05841663371671125,47
99,2,204,67,137,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08160909361702685,46
100,1,205,67,138,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09030281583164491,48
101,0,205,67,138,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.09461866233778968,49
102,2,207,69,138,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.12309023712985552,49
