,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,29,29,29,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.40018465616721177,30
2,24,53,53,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.44075865821201415,32
3,19,72,72,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.38488290956914833,33
4,15,87,87,0,0,0,0,0.9888018704901939,0.9653875996969625,0.9888018704901939,0.9653875996969625,1.0,1,0.38956821650525675,34
5,14,101,101,0,0,0,0,0.989423988796294,0.9653875996969625,0.989423988796294,0.9653875996969625,1.0,1,0.3997526208873139,36
6,15,116,116,0,0,0,0,0.9828012193046725,0.9405860303252319,0.9828012193046725,0.9405860303252319,1.0,1,0.4154261658075254,38
7,11,127,127,0,0,0,0,0.9565349494827338,0.8551164982757792,0.9565349494827338,0.8551164982757792,1.0,1,0.37254225617290054,40
8,14,141,141,0,0,0,0,0.9836611583394388,0.9405860303252319,0.9836611583394388,0.9405860303252319,1.0,1,0.40386947962113223,40
9,11,152,152,0,0,0,0,0.961746777120233,0.8724892570674435,0.961746777120233,0.8724892570674435,1.0,1,0.3391870321932032,40
10,5,157,157,0,0,0,0,0.9626797825563249,0.8724892570674435,0.9626797825563249,0.8724892570674435,1.0,1,0.34367573062338763,41
11,6,163,163,0,0,0,0,0.961746777120233,0.8724892570674435,0.961746777120233,0.8724892570674435,1.0,1,0.3881544511178898,40
12,5,168,168,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.28783675626906685,39
13,8,176,176,0,0,0,0,0.9733961304913505,0.9105142571072703,0.9733961304913505,0.9105142571072703,1.0,1,0.3948557877062368,37
14,3,179,179,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.39138148865143324,35
15,6,185,185,0,0,0,0,0.9851926352213614,0.9515395334517279,0.9851926352213614,0.9515395334517279,1.0,1,0.37801099033747776,36
16,8,193,193,0,0,0,0,0.9783742102782296,0.9331566499508913,0.9783742102782296,0.9331566499508913,1.0,1,0.44075975451854754,34
17,2,195,195,0,0,0,0,0.977718883316964,0.9331566499508913,0.977718883316964,0.9331566499508913,1.0,1,0.4644818713373875,33
18,4,199,199,0,0,0,0,0.9180635423671762,0.7857046492679994,0.9180635423671762,0.7857046492679994,1.0,1,0.4810090823093612,34
19,6,205,205,0,0,0,0,0.9434799127682192,0.8398597528432875,0.9434799127682192,0.8398597528432875,1.0,1,0.4015783145268851,34
20,7,212,212,0,0,0,0,0.9741076340279688,0.9199690506319036,0.9741076340279688,0.9199690506319036,1.0,1,0.41798841954392624,34
21,8,220,220,0,0,0,0,0.9505610745077936,0.8516832235233807,0.9505610745077936,0.8516832235233807,1.0,1,0.36114252888951304,36
22,7,227,227,0,0,0,0,0.9748474159128838,0.9199690506319036,0.9748474159128838,0.9199690506319036,1.0,1,0.37770315865644655,35
23,13,240,240,0,0,0,0,0.974847415912884,0.9199690506319036,0.974847415912884,0.9199690506319036,1.0,1,0.3301304993654574,35
24,14,254,254,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.40492174896058486,35
25,14,268,268,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3734525184457887,35
26,10,278,278,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.27209362577446805,36
27,13,291,291,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3109068439527228,34
28,11,302,302,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.32078257732571464,35
29,9,311,311,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.30925619822869327,33
30,10,321,321,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3258259967197774,33
31,11,332,332,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.3179803766688329,33
