,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5618426117878546,30
2,1,1,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.49595507616326323,32
3,7,8,8,0,0,0,0,0.9494734732351693,0.913330927074798,0.9494734732351693,0.913330927074798,1.0,1,0.6000198329063351,33
4,0,8,8,0,0,0,0,0.950959547551782,0.913330927074798,0.950959547551782,0.913330927074798,1.0,1,0.5791050616033631,34
5,3,11,11,0,0,0,0,0.9214493162011137,0.782475029480007,0.9214493162011137,0.782475029480007,1.0,1,0.5906433329867392,36
6,3,14,14,0,0,0,0,0.9056860894990274,0.8085426182463753,0.9056860894990274,0.8085426182463753,1.0,1,0.5803262292489393,38
7,2,16,16,0,0,0,0,0.9441800431234117,0.8205614257208822,0.9441800431234117,0.8205614257208822,1.0,1,0.5337335342953975,40
8,6,22,22,0,0,0,0,0.9781590345024368,0.9205783072815883,0.9781590345024368,0.9205783072815883,1.0,1,0.49671728737404236,40
9,3,25,25,0,0,0,0,0.9489919220634377,0.829973073544792,0.9489919220634377,0.829973073544792,1.0,1,0.5301578827013276,40
10,1,26,26,0,0,0,0,0.9787961205286277,0.9209673583339765,0.9787961205286277,0.9209673583339765,1.0,1,0.5116350712866288,41
11,1,27,27,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4822101884897817,40
12,0,27,27,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.48283772488529,39
13,1,28,28,0,0,0,0,0.9783434852863654,0.9271553595995933,0.9783434852863654,0.9271553595995933,1.0,1,0.48791676947477813,37
14,1,29,29,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4764322306502637,35
15,4,33,33,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.483821334935988,36
16,0,33,33,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5014206059644588,34
17,2,35,35,0,0,0,0,0.9957629121811287,0.9860176101977248,0.9957629121811287,0.9860176101977248,1.0,1,0.540342085382585,33
18,1,36,36,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5151386396928115,34
19,5,41,41,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4775429285714499,34
20,1,42,42,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4786646077540034,34
21,6,48,48,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4508413079936078,36
